orf	hom | growth (pooled culture, microarray) | time [5 gen], benzo[a]pyrene [82.5 uM] | YPD + DMSO [1%] | O'Connor STF~Vulpe CD, 2012	hom | growth (pooled culture, microarray) | time [5 gen], benzo[a]pyrene [165 uM] | YPD + DMSO [1%] | O'Connor STF~Vulpe CD, 2012	hom | growth (pooled culture, microarray) | time [5 gen], benzo[a]pyrene [330 uM] | YPD + DMSO [1%] | O'Connor STF~Vulpe CD, 2012	hom | growth (pooled culture, microarray) | time [15 gen], benzo[a]pyrene [82.5 uM] | YPD + DMSO [1%] | O'Connor STF~Vulpe CD, 2012	hom | growth (pooled culture, microarray) | time [15 gen], benzo[a]pyrene [165 uM] | YPD + DMSO [1%] | O'Connor STF~Vulpe CD, 2012	hom | growth (pooled culture, microarray) | time [15 gen], benzo[a]pyrene [330 uM] | YPD + DMSO [1%] | O'Connor STF~Vulpe CD, 2012
YOR230W	-2.4	-2.2	-2.1	2.2	1.9	0.0
YOR234C	-4.6	-4.6	-4.6	4.1	4.1	3.9
YOR239W	-1.6	-1.5	-1.6	1.8	1.9	1.8
YOR248W	0.0	0.0	0.0	-1.4	-1.6	-1.6
YOR251C	-1.9	-1.6	-1.7	1.9	1.7	1.6
YOR258W	-3.7	-3.1	-3.3	3.6	3.6	4.1
YOR266W	-1.6	-1.6	-1.6	2.5	2.4	2.4
YOR269W	0.0	0.0	0.0	-1.1	-1.4	-1.2
YOR276W	-3.0	-3.0	-2.9	2.7	2.7	2.9
YOR280C	0.0	0.0	0.0	1.4	1.3	1.2
YOR285W	0.0	0.0	0.0	0.0	1.0	0.0
YOR298C-A	1.6	1.6	1.6	0.0	0.0	0.0
YOR300W	0.0	0.0	0.0	1.2	1.4	1.3
YOR312C	0.0	-1.9	0.0	0.0	0.0	0.0
YOR321W	0.0	0.0	0.0	1.2	1.2	1.2
YOR351C	-0.9	-1.0	0.0	1.1	1.1	1.1
YOR359W	-1.1	0.0	0.0	0.0	0.0	0.0
YOR381W	-1.5	-1.5	-1.5	2.1	2.1	2.0
YPL004C	-1.3	-1.3	-1.3	0.0	0.0	0.0
YPL008W	-2.3	-3.5	-3.1	0.0	0.0	0.0
YPL009C	-1.6	-1.6	0.0	1.2	-0.6	0.0
YPL013C	-1.8	-2.0	-1.8	0.0	0.0	0.0
YPL015C	-1.2	-1.1	-1.3	0.0	0.0	0.0
YPL026C	-1.4	-1.3	-1.4	0.0	0.0	0.0
YPL027W	-1.7	-1.6	-1.7	0.0	0.0	0.0
YPL032C	-1.6	-1.7	-1.9	0.0	0.0	0.0
YPL033C	-2.1	-2.1	-2.1	0.0	0.0	0.0
YPL035C	0.0	0.0	0.0	-1.8	-2.5	-2.6
YPL039W	-1.3	-1.4	-1.3	0.0	0.0	0.0
YPL046C	0.0	0.0	0.0	-1.4	-1.6	-1.6
YPL047W	-1.4	-1.5	-1.4	0.0	0.0	0.0
YPL051W	-1.2	-1.4	0.0	0.0	0.0	0.0
YPL060W	-2.2	-2.2	-2.2	0.0	0.0	0.0
YPL069C	-2.7	-2.8	-2.9	2.1	2.0	1.7
YPL079W	-1.3	0.0	-1.3	0.0	0.0	0.0
YPL091W	0.0	0.0	0.0	-1.5	-1.9	-1.8
YPL102C	-1.5	-1.7	-1.4	0.0	0.0	0.0
YPL103C	0.0	0.0	0.0	0.0	-0.9	-1.0
YPL106C	-1.6	0.0	-1.5	0.0	0.0	0.0
YPL110C	-1.6	-1.5	-1.5	1.1	1.3	0.0
YPL123C	0.0	0.0	0.0	0.0	0.0	-1.1
YPL132W	0.0	0.0	0.0	-1.3	-1.4	0.0
YPL133C	0.0	0.0	0.0	1.5	1.5	1.5
YPL138C	0.0	0.0	0.0	1.7	1.7	1.9
YPL149W	-1.1	-1.1	0.0	-1.2	-1.0	-1.1
YPL156C	-1.0	-1.2	0.0	0.0	0.0	0.0
YPL157W	0.0	0.0	0.0	-2.1	-2.7	-2.3
YPL161C	-3.0	-3.3	-3.1	1.9	1.9	2.2
YPL171C	-1.1	-1.0	-1.0	0.0	0.0	0.0
YPL173W	-1.6	-1.8	-1.6	2.3	2.2	2.0
YPL182C	-1.3	-1.6	-1.3	0.0	0.0	0.0
YPL183C	0.0	0.0	0.0	-1.4	-1.3	-1.5
YPL186C	0.0	0.0	0.0	-2.1	-2.9	-2.9
YPL203W	0.0	0.0	0.0	0.0	1.1	0.0
YPL219W	0.0	0.0	0.0	1.5	1.5	1.5
YPL221W	-2.8	-2.8	-2.8	-2.0	-1.6	-1.7
YPL222W	0.0	0.0	0.0	1.0	0.0	0.0
YPL225W	0.0	0.0	0.0	1.1	0.0	0.0
