orf	hom | amylase production (AmyL of Bacillus licheniformis) | expression of AmyL [prTDH3-AmyL] | SC - Ura, starch, pH 6 | Hoshida H~Akada R, 2013
YBL081W	10.17461189789209
YBL082C	10.17461189789209
YDR120C	10.17461189789209
YDR179C	10.17461189789209
YDR179W-A	10.17461189789209
YDR229W	10.17461189789209
YDR257C	10.17461189789209
YDR276C	10.17461189789209
YDR388W	10.17461189789209
YDR435C	10.17461189789209
YEL072W	10.17461189789209
YER020W	10.17461189789209
YGL027C	10.17461189789209
YGL203C	10.17461189789209
YGL226C-A	10.17461189789209
YGL237C	10.17461189789209
YGL242C	10.17461189789209
YGL251C	10.17461189789209
YGR042W	10.17461189789209
YGR054W	10.17461189789209
YGR061C	10.17461189789209
YGR227W	10.17461189789209
YJL007C	10.17461189789209
YKL007W	10.17461189789209
YKL032C	10.17461189789209
YLR024C	10.17461189789209
YLR210W	10.17461189789209
YLR232W	10.17461189789209
YLR357W	10.17461189789209
YLR407W	10.17461189789209
YNL179C	10.17461189789209
YNL219C	10.17461189789209
YNR030W	10.17461189789209
YNR032C-A	10.17461189789209
YOR002W	10.17461189789209
YOR058C	10.17461189789209
YOR067C	10.17461189789209
YOR179C	10.17461189789209
YOR355W	10.17461189789209
YPL023C	10.17461189789209
YPL221W	10.17461189789209
YPL227C	10.17461189789209
YPL253C	10.17461189789209
YPR101W	10.17461189789209
