orf	hom | growth (pooled culture) | macbecin II [200-400 uM], temperature [30 C] | YPD + DMSO | McClellan AJ~Frydman J, 2007	hom | growth (pooled culture) | macbecin II [200-400 uM], temperature [37 C] | YPD + DMSO | McClellan AJ~Frydman J, 2007
YAL002W	-3.0446974171362267	-0.35713628220969135
YAL004W	0.01728905082066137	0.3049687269024793
YAL005C	0.48174767236468413	0.13595882263133993
YAL007C	-0.1031261473574186	0.10513378075303108
YAL008W	-0.18913700319890334	0.008436046641623602
YAL011W	-2.081375831711587	0.13141951851912323
YAL014C	-0.1719348320306062	-0.24930141824156601
YAL015C	-0.7224043094161147	-0.1630651966306394
YAL017W	-0.8170162508417489	-0.08150551390741506
YAL018C	-0.18053591761475477	0.22357794851831425
YAL022C	-0.2579456878720919	-0.07242690568298142
YAL024C	0.15490642016703848	-0.8060523458655438
YAL026C	-2.279200800147004	-0.47901131936211505
YAL027W	-0.12032831852571574	0.1100953457128958
YAL028W	-0.455770656307509	0.008013785793975346
YAL029C	-0.9460325346039774	-0.13448869376605635
YAL030W	-0.0773228906049729	-0.011304647985923746
YAL031C	-0.395563057218469	0.09732195507154175
YAL036C	-0.4041641428026176	0.1190683887254172
YAL037W	-0.9202292778515317	0.0041078729532306795
YAL040C	0.6967748119683984	0.24215742581482907
YAL042C-A	-0.7396064805844118	0.24310751272203734
YAL042W	-0.5847869400697375	0.13891464856487656
YAL045C	-0.29235003020868616	-0.11150714713281018
YAL046C	-0.060120719436675754	-0.1786994045148091
YAL048C	-0.6277923679904804	0.06860821743147323
YAL049C	-0.576185854485589	-0.02492256032257385
YAL051W	-0.08592397618912147	-0.019222038879324853
YAL053W	-1.143857503039394	-0.21049564634270854
YAL054C	-0.060120719436675754	0.058051696240271525
YAL055W	-0.29235003020868616	0.09816647676683803
YAL056C-A	0.2753216183451185	-0.5502678374027266
YAL058W	-0.8514205931783432	-0.16749893553094408
YAL059W	-1.307278129138217	-0.3007327894851007
YAL060W	-0.30095111579283473	-0.06852099284223699
YAL061W	-0.12032831852571574	-0.01024899586680346
YAL062W	-0.060120719436675754	-0.07158238398768538
YAL064C-A	-0.2579456878720919	0.08845447727093235
YAL065C	-0.395563057218469	0.05847395708791955
YAL066W	0.03449122198895851	0.09236039011167702
YAL067C	-0.6449945391587775	0.07525882578193027
YAL068C	-0.42136631397091473	0.01582561147546468
YAR002C-A	0.3957368165231984	0.19423081960677346
YAR003W	0.3183270462658613	-0.32196195360060736
YAR014C	0.2667205327609699	-0.13370751119790747
YAR020C	-0.9116281922673832	-0.05595873262470694
YAR023C	-0.06872180502082433	0.18652455913719612
YAR027W	-0.4041641428026176	0.03451065398389175
YAR028W	-0.2837489446245376	0.15390490865638295
YAR029W	0.18931076250363277	0.06364665247160828
YAR030C	-0.4041641428026176	0.03261048016947541
YAR031W	-0.8944260210990861	-0.06978777538518105
YAR035W	0.2667205327609699	0.11885725830159319
YAR042W	-1.6556220952962335	-0.42517306128698645
YAR047C	-0.11172723294156717	-0.0524750806316103
YAR050W	-0.1461315752781605	-0.09670690442274547
YBL001C	-0.12032831852571574	0.1563329085303593
YBL002W	0.782785667809884	-0.08921177437699215
YBL003C	0.29252378951341557	0.14926003933225426
YBL005W	-0.1031261473574186	-0.06039247152501164
YBL006C	-2.046971489374993	-0.5852521486303689
YBL008W	-0.9632347057722741	0.2188275139822733
YBL009W	-0.16333374644645762	-0.24056061869525106
YBL010C	-0.2837489446245376	0.010125090032215688
YBL011W	-0.03431746268423005	-0.08530586153624772
YBL012C	-0.6449945391587775	-0.03474012503039152
YBL013W	0.6107639561269127	0.166150473238177
YBL015W	0.30112487509756414	-0.09459560018450514
YBL017C	0.32692813185000985	-0.0029649962448743843
YBL019W	0.645168298463507	0.01498108978016864
YBL021C	1.023616064166043	0.04105569712243678
YBL022C	-0.7912129940893032	-0.26081858286116705
YBL024W	-0.3181532869611319	-0.4406594778744793
YBL027W	0.4903487579488327	0.4313302855611636
YBL028C	0.6623704696318041	0.092043694475941
YBL029W	-0.44716957072336044	0.0005186557482222618
YBL031W	-1.0578466471979084	-0.5162125000399099
YBL032W	0.1807096769194842	0.1308916924595632
