ORF	hom | growth (relative abundance in pooled culture) | Macbecin II [200-400 uM], temperature [30°C] | McClellan AJ~Frydman J, 2007	hom | growth (relative abundance in pooled culture) | Macbecin II [200-400 uM], temperature [37ºC] | McClellan AJ~Frydman J, 2007
YDR512C	1.282	1.886
YDR513W	1.112	1.072
YDR514C	1.214	1.210
YDR515W	1.320	1.179
YDR516C	1.504	2.831
YDR517W	1.368	1.810
YDR518W	1.762	1.337
YDR520C	1.032	1.066
YDR521W	1.104	1.083
YDR522C	1.158	1.283
YDR523C	1.376	1.177
YDR524C	1.050	1.030
YDR525W	1.616	6.461
YDR525W-A	1.222	1.101
YDR528W	1.146	1.076
YDR530C	1.194	1.004
YDR534C	1.304	1.234
YDR535C	1.258	1.228
YDR536W	1.244	1.093
YDR537C	1.050	0.764
YDR538W	1.156	0.942
YDR539W	1.170	0.948
YDR540C	1.394	0.885
YDR541C	1.106	0.959
YEL001C	1.800	1.052
YEL003W	1.158	0.542
YEL004W	1.286	0.868
YEL005C	1.312	0.866
YEL006W	0.996	1.028
YEL007W	1.462	0.725
YEL008W	1.188	0.841
YEL009C	0.974	0.989
YEL010W	0.980	0.972
YEL011W	1.114	1.161
YEL012W	1.038	1.426
YEL013W	0.576	1.088
YEL014C	1.246	1.165
YEL015W	1.308	1.194
YEL016C	1.298	1.018
YEL017C-A	1.240	1.264
YEL017W	1.232	0.967
YEL018W	1.226	0.910
YEL020C	1.040	0.833
YEL023C	1.148	1.051
YEL024W	1.466	2.344
YEL025C	1.210	1.027
YEL028W	0.870	1.149
YEL030W	1.038	0.922
YEL031W	1.090	1.599
YEL033W	NaN	2.195
YEL037C	1.094	1.358
YEL038W	1.090	0.887
YEL039C	1.126	1.104
YEL040W	1.280	1.145
YEL041W	1.378	1.165
YEL042W	1.314	1.248
YEL043W	1.178	1.194
YEL047C	1.144	1.088
YEL048C	0.816	0.324
YEL049W	1.122	1.286
YEL050C	NaN	2.962
YEL052W	1.178	0.991
YEL053C	0.770	0.740
YEL054C	NaN	2.135
YEL056W	1.200	1.643
YEL057C	0.968	0.719
YEL059W	1.090	0.831
YEL060C	1.038	0.866
YEL061C	NaN	4.143
YEL062W	1.038	0.845
YEL063C	1.036	0.987
YEL064C	1.266	1.219
YEL065W	1.118	0.947
YEL066W	1.106	0.953
YEL067C	1.144	1.045
YEL068C	1.064	0.958
YEL071W	1.098	1.084
YEL072W	1.080	0.584
YER001W	1.436	1.093
YER002W	1.278	3.165
YER005W	2.432	1.485
YER007C-A	1.828	0.722
YER007W	1.064	1.231
YER010C	1.714	1.550
YER011W	2.124	1.016
YER016W	NaN	4.231
YER017C	NaN	3.758
YER019C-A	1.270	1.404
YER019W	NaN	0.504
YER020W	0.944	1.819
YER022W	1.468	1.181
YER024W	0.996	1.000
YER028C	NaN	4.439
YER030W	1.398	1.324
YER031C	0.868	0.923
YER032W	1.182	1.222
YER033C	1.120	1.063
YER034W	1.024	1.040
YER038W-A	1.090	1.097
YER039C	1.186	1.051
YER039C-A	1.130	0.910
YER040W	NaN	4.388
YER041W	1.056	0.777
YER042W	1.112	0.969
YER044C-A	1.066	0.948
YER045C	1.004	0.978
YER046W	1.068	0.921
YER046W-A	0.976	1.063
YER047C	1.174	1.372
YER048C	0.846	0.493
YER049W	1.338	0.984
YER051W	1.190	0.931
YER052C	1.208	1.316
YER053C	1.110	1.096
YER055C	0.978	0.997
YER056C	0.992	1.016
YER056C-A	NaN	2.633
YER057C	1.074	1.093
YER058W	1.468	1.225
YER059W	0.968	0.996
YER060W	1.016	1.003
YER060W-A	1.146	1.105
YER061C	NaN	1.174
YER062C	1.022	1.085
YER063W	1.136	0.944
YER064C	1.012	0.876
YER065C	1.090	0.911
YER066C-A	1.104	1.167
YER066W	1.322	1.052
YER067C-A	1.020	0.959
YER067W	1.070	1.106
YER068C-A	1.316	0.983
YER069W	1.182	1.043
YER071C	1.068	0.849
YER072W	0.798	0.469
YER073W	1.300	1.246
YER074W	NaN	1.109
YER075C	1.204	0.987
YER078C	1.232	NaN
YER079W	1.048	0.891
YER080W	1.108	1.057
YER081W	1.008	0.914
YER084W	1.116	0.646
YER085C	1.178	1.050
YER086W	0.936	1.098
YER087C-B	1.050	1.303
YER087W	NaN	5.459
YER088C	1.284	0.993
YER089C	1.064	0.936
YER090W	NaN	1.003
YER091C	1.038	1.127
YER091C-A	1.106	0.820
YER092W	1.138	0.785
YER093C-A	1.138	1.084
YER095W	NaN	6.157
YER096W	1.068	1.239
YER097W	1.220	1.169
YER098W	1.072	0.964
YER101C	1.070	0.819
YER103W	1.042	1.081
YER106W	0.964	1.037
YER107C	1.190	0.963
YER108C	1.024	0.869
YER110C	NaN	1.289
YER111C	NaN	6.627
YER113C	1.110	1.234
YER114C	0.914	0.990
YER115C	1.028	0.930
YER116C	NaN	12.454
YER117W	NaN	1.663
YER118C	1.044	0.826
YER119C	1.104	0.945
YER119C-A	0.430	0.330
YER120W	0.502	0.342
YER121W	1.002	0.989
YER122C	NaN	3.235
YER123W	0.656	0.887
YER124C	0.934	1.075
YER128W	0.958	0.936
YER129W	0.990	1.020
YER130C	0.954	0.901
YER131W	1.158	0.916
YER132C	0.918	0.936
YER134C	0.892	0.943
YER135C	0.914	0.983
YER137C	1.242	0.792
YER139C	1.350	NaN
YER140W	1.138	1.115
YER141W	1.498	1.073
YER142C	1.090	1.041
YER143W	0.986	1.276
YER144C	1.108	0.875
YER145C	1.068	0.802
YER149C	1.060	0.796
YER150W	1.058	0.993
YER151C	0.787	1.135
YER152C	1.078	0.965
YER153C	NaN	1.800
YER154W	NaN	5.134
YER156C	1.188	1.638
YER158C	1.212	1.053
YER161C	1.232	1.145
YER162C	1.332	1.186
YER163C	1.240	1.201
YER164W	0.998	0.959
YER166W	0.888	0.881
YER167W	1.706	4.435
YER169W	1.282	0.903
YER170W	1.144	1.032
YER173W	1.054	0.889
YER174C	1.120	0.976
YER175C	1.000	0.877
YER176W	0.976	0.895
YER177W	0.460	0.821
YER178W	NaN	1.192
YER179W	1.138	0.900
YER180C	1.002	0.990
YER181C	1.044	1.052
YER182W	1.152	0.918
YER183C	1.070	1.024
YER184C	1.018	0.902
YER185W	0.978	0.963
YER186C	1.036	0.996
YER187W	1.020	0.878
YER188W	1.148	1.178
YFL003C	1.186	1.113
YFL004W	1.180	1.341
YFL007W	0.960	1.188
YFL010C	1.116	1.331
YFL010W-A	1.104	1.250
YFL011W	0.846	1.094
YFL012W	1.052	1.048
YFL012W-A	1.130	1.101
YFL013C	0.906	1.078
YFL014W	1.202	1.113
YFL015C	1.298	1.030
YFL018C	NaN	1.630
YFL019C	1.038	1.147
YFL020C	1.152	1.017
YFL021W	1.012	1.153
YFL025C	NaN	0.399
YFL027C	1.112	1.034
YFL028C	1.160	1.247
YFL030W	1.230	1.176
YFL031W	1.132	1.165
YFL032W	1.130	1.151
YFL033C	1.174	1.058
YFL034C-A	1.342	0.981
YFL034W	1.140	0.895
YFL040W	1.064	0.998
YFL041W	1.248	0.984
YFL042C	1.255	1.144
YFL044C	1.142	1.380
YFL046W	1.308	1.260
YFL047W	1.314	1.315
YFL048C	1.130	1.077
YFL049W	1.198	0.790
YFL050C	1.298	1.300
YFL051C	1.330	1.083
YFL052W	1.338	1.035
YFL053W	1.162	1.151
YFL054C	1.396	1.376
YFL055W	1.200	1.081
YFL063W	1.408	1.078
YFR006W	1.232	1.174
YFR007W	1.240	0.732
YFR008W	1.328	1.477
YFR009W	1.156	1.309
YFR010W	1.366	1.650
YFR012W	1.122	1.026
YFR014C	1.076	1.156
YFR015C	1.278	1.171
YFR016C	1.128	1.198
YFR017C	1.140	1.044
YFR018C	1.268	1.166
YFR020W	1.168	1.096
YFR021W	1.112	0.957
YFR022W	1.242	1.256
YFR023W	1.120	0.996
YFR024C-A	1.116	1.328
YFR025C	1.042	0.984
YFR026C	1.158	0.983
YFR030W	1.250	0.932
YFR031C-A	1.328	1.440
YFR032C	1.140	0.967
YFR032C-A	1.462	2.896
YFR033C	1.292	1.346
YFR035C	1.230	1.397
YFR036W	0.248	NaN
YFR038W	1.132	1.255
YFR039C	1.142	1.002
YFR040W	0.942	NaN
YFR041C	1.026	1.011
YFR043C	0.982	0.849
YFR044C	1.054	1.105
YFR045W	1.144	0.976
YFR046C	1.030	0.975
YFR047C	1.138	1.054
YFR048W	1.342	1.266
YFR049W	1.128	0.978
YFR053C	1.132	1.006
YFR054C	1.116	0.971
YFR055W	1.136	0.912
YFR056C	1.136	1.037
YFR057W	1.630	0.882
YGL002W	1.346	NaN
YGL003C	NaN	0.940
YGL004C	1.470	1.876
YGL005C	0.266	NaN
YGL006W	1.454	1.563
YGL007W	NaN	3.025
YGL009C	1.264	1.368
YGL010W	1.338	1.307
YGL013C	0.158	0.139
YGL014W	1.158	1.027
YGL015C	1.170	1.040
YGL016W	1.218	1.699
YGL017W	1.328	0.870
YGL019W	1.136	1.714
YGL021W	1.342	0.804
YGL026C	1.520	1.254
YGL027C	1.232	0.696
YGL028C	1.354	1.144
YGL031C	NaN	1.446
YGL032C	1.242	1.316
YGL033W	1.154	0.829
YGL034C	1.162	0.766
YGL037C	1.302	0.771
YGL039W	1.274	0.910
YGL042C	NaN	0.842
YGL043W	NaN	0.836
YGL045W	NaN	0.441
YGL049C	1.424	1.382
YGL050W	1.550	1.057
YGL051W	1.458	1.311
YGL053W	1.308	0.989
YGL056C	1.570	1.045
YGL059W	1.402	1.138
YGL060W	1.638	4.391
YGL062W	1.192	0.853
YGL063W	1.290	1.171
YGL064C	NaN	6.096
YGL067W	1.370	1.012
YGL077C	1.428	1.785
YGL078C	NaN	1.714
YGL079W	1.038	1.017
YGL080W	1.316	1.080
YGL081W	1.272	1.363
YGL082W	1.172	0.797
YGL083W	1.312	1.095
YGL085W	1.334	1.125
YGL086W	0.894	0.599
YGL087C	1.290	2.371
YGL088W	NaN	4.423
YGL089C	1.264	1.251
YGL090W	1.240	1.212
YGL094C	0.820	0.628
YGL096W	1.118	0.925
YGL101W	1.264	1.026
YGL107C	1.814	1.585
YGL108C	1.134	1.149
YGL109W	1.118	0.983
YGL110C	1.018	1.069
YGL114W	1.252	1.093
YGL117W	1.350	0.946
YGL121C	1.448	1.396
YGL124C	0.942	NaN
YGL125W	1.162	1.194
YGL126W	1.312	1.041
YGL131C	1.294	1.296
YGL132W	1.126	1.378
YGL133W	1.122	0.825
YGL136C	1.550	1.540
YGL138C	1.346	1.088
YGL139W	1.344	1.217
YGL140C	1.266	1.074
YGL141W	1.316	1.724
YGL144C	1.428	1.189
YGL146C	1.344	1.222
YGL147C	NaN	1.574
YGL148W	1.016	1.873
YGL149W	1.532	1.070
YGL151W	0.920	0.436
YGL152C	1.416	1.341
YGL153W	1.164	1.204
YGL154C	1.070	1.150
YGL156W	1.328	1.272
YGL157W	1.340	1.037
YGL158W	1.120	0.946
YGL159W	1.286	1.174
YGL160W	1.256	0.839
YGL161C	1.198	1.332
YGL162W	1.250	0.972
YGL163C	NaN	3.770
YGL164C	1.420	0.955
YGL165C	1.398	1.230
YGL166W	1.254	0.928
YGL170C	1.400	1.239
YGL175C	1.372	2.000
YGL176C	1.196	1.140
YGL177W	1.162	1.244
YGL179C	1.140	1.179
YGL180W	1.132	1.054
YGL181W	1.374	1.149
YGL194C	1.286	1.587
YGL196W	1.044	1.039
YGL197W	0.892	1.444
YGL198W	1.220	1.141
YGL199C	1.072	1.108
YGL202W	1.164	0.936
YGL203C	1.096	1.265
YGL205W	1.266	1.626
YGL208W	1.006	1.062
YGL209W	1.232	0.961
YGL210W	1.820	1.143
YGL211W	NaN	3.442
YGL212W	0.460	0.727
YGL213C	2.024	1.033
YGL214W	1.678	0.602
YGL215W	1.046	2.454
YGL216W	1.034	1.020
YGL217C	1.140	0.793
YGL221C	1.130	0.924
YGL222C	1.394	1.479
YGL223C	NaN	2.010
YGL224C	1.048	1.433
YGL226C-A	0.992	1.219
YGL226W	1.390	1.003
YGL227W	1.128	1.320
YGL228W	1.232	1.513
YGL229C	1.162	1.363
YGL230C	1.166	1.173
YGL231C	1.160	0.993
YGL232W	1.160	7.337
YGL234W	0.710	0.616
YGL235W	0.994	0.908
YGL236C	1.520	2.474
YGL237C	0.796	1.370
YGL241W	0.976	1.183
YGL242C	1.134	1.356
YGL243W	1.040	1.122
YGL244W	NaN	6.324
YGL248W	0.922	1.083
YGL249W	1.176	1.625
YGL250W	0.936	2.033
YGL251C	1.148	3.828
YGL252C	0.720	1.128
YGL253W	0.908	1.171
YGL254W	1.170	1.300
YGL255W	1.216	1.400
YGL256W	1.170	1.166
YGL257C	1.020	1.264
YGL258W	1.040	1.555
YGL259W	1.252	1.229
YGL260W	1.154	1.130
YGL261C	1.124	1.375
YGL262W	1.162	1.152
YGL263W	1.076	1.172
YGR001C	1.196	1.183
YGR003W	1.094	1.081
YGR004W	1.046	1.407
YGR007W	1.104	0.925
YGR008C	1.164	1.226
YGR010W	1.276	1.175
YGR011W	1.176	1.071
YGR012W	1.008	1.194
YGR014W	1.246	1.189
YGR015C	1.362	1.203
YGR017W	1.268	1.222
YGR018C	1.184	1.124
YGR019W	1.232	1.069
YGR021W	1.924	1.066
YGR022C	1.298	1.016
YGR023W	1.316	1.079
YGR025W	1.232	1.031
YGR026W	1.250	1.203
YGR027C	1.700	3.060
YGR028W	1.306	1.454
YGR031W	1.378	1.173
YGR032W	1.192	1.141
YGR033C	1.352	1.144
YGR034W	1.594	3.375
YGR035C	1.610	1.799
YGR038W	1.374	1.619
YGR039W	1.302	1.224
YGR040W	1.346	1.111
YGR041W	1.250	1.142
YGR042W	1.174	1.101
YGR043C	1.296	1.149
YGR044C	1.262	1.151
YGR045C	1.456	1.205
YGR049W	1.348	1.116
YGR050C	1.270	1.087
YGR051C	1.070	1.037
YGR052W	1.144	1.156
YGR053C	1.202	1.154
YGR054W	1.016	0.741
YGR055W	1.246	1.099
YGR056W	NaN	0.689
YGR057C	1.238	1.235
YGR058W	1.162	1.481
YGR059W	1.220	0.963
YGR061C	0.964	0.985
YGR062C	1.456	1.415
YGR063C	NaN	0.538
YGR064W	0.698	0.537
YGR066C	1.380	1.290
YGR067C	1.222	1.010
YGR068C	1.310	1.657
YGR069W	1.208	1.148
YGR070W	1.204	1.344
YGR071C	1.572	1.413
YGR072W	1.288	1.518
YGR076C	2.438	3.810
YGR077C	1.280	1.170
YGR079W	1.332	1.187
YGR080W	1.210	1.022
YGR081C	NaN	1.113
YGR084C	1.206	1.125
YGR085C	NaN	2.301
YGR087C	1.222	0.977
YGR088W	1.224	1.135
YGR089W	1.104	1.117
YGR093W	1.480	1.245
YGR096W	1.644	1.244
YGR097W	1.440	1.466
YGR100W	1.472	1.140
YGR101W	NaN	4.856
YGR102C	2.424	3.185
YGR106C	0.974	0.581
YGR107W	1.294	1.159
YGR108W	1.356	1.090
YGR109C	1.270	1.066
YGR110W	1.424	NaN
YGR111W	1.274	1.163
YGR112W	1.304	1.296
YGR117C	1.014	1.206
YGR118W	NaN	3.896
YGR121C	0.998	1.079
YGR122C-A	1.032	0.837
YGR122W	0.668	0.584
YGR123C	1.126	1.149
YGR124W	1.082	1.051
YGR125W	1.288	1.042
YGR126W	1.130	1.014
YGR127W	1.098	0.807
YGR129W	1.148	1.062
YGR130C	1.080	1.015
YGR131W	1.132	1.063
YGR132C	1.212	0.995
YGR133W	1.234	1.134
YGR134W	0.982	0.885
YGR135W	1.886	1.604
YGR136W	1.210	0.963
YGR137W	1.314	1.002
YGR138C	1.366	1.020
YGR139W	1.138	0.987
YGR141W	1.250	1.028
YGR142W	1.246	1.157
YGR143W	1.076	1.160
YGR144W	0.944	0.799
YGR146C	1.162	0.820
YGR147C	NaN	2.326
YGR148C	1.618	1.780
YGR149W	1.388	0.906
YGR150C	2.154	1.995
YGR151C	1.180	0.956
YGR152C	1.180	0.995
YGR153W	1.396	1.270
YGR154C	1.070	1.017
YGR157W	1.040	0.790
YGR159C	NaN	2.740
YGR161C	1.494	1.091
YGR163W	1.332	0.977
YGR164W	0.650	0.664
YGR165W	NaN	9.594
YGR166W	0.936	1.058
YGR168C	1.276	0.920
YGR169C	1.350	1.076
YGR170W	1.518	1.252
YGR171C	2.026	1.530
YGR173W	1.300	1.385
YGR174C	1.760	1.261
YGR176W	1.262	1.065
YGR177C	1.126	0.989
YGR178C	0.922	0.741
YGR181W	1.264	0.994
YGR182C	1.216	1.024
YGR183C	1.418	1.026
YGR184C	1.052	1.013
YGR187C	0.636	0.758
YGR189C	1.022	0.880
YGR192C	1.200	1.089
YGR193C	1.044	1.434
YGR194C	1.190	1.000
YGR196C	1.034	0.621
YGR197C	1.134	0.826
YGR199W	1.128	1.072
YGR200C	NaN	3.340
YGR201C	1.352	1.297
YGR202C	1.400	1.335
YGR203W	1.212	1.309
YGR204W	1.158	1.000
YGR205W	1.126	1.028
YGR206W	0.932	0.674
YGR207C	1.164	1.025
YGR208W	1.266	1.076
YGR209C	1.004	0.886
YGR210C	1.086	0.932
YGR212W	1.142	0.993
YGR213C	1.100	0.962
YGR214W	1.590	2.954
YGR215W	NaN	3.514
YGR217W	1.370	1.116
YGR219W	NaN	5.513
YGR220C	1.736	2.370
YGR221C	1.082	0.952
YGR222W	1.494	2.053
YGR223C	1.184	1.291
YGR224W	1.158	0.987
YGR225W	1.162	1.193
YGR226C	1.190	0.862
YGR227W	1.218	0.980
YGR228W	0.928	0.995
YGR230W	1.072	1.113
YGR231C	1.334	1.305
YGR232W	1.298	1.222
YGR233C	1.180	2.113
YGR234W	1.100	1.023
YGR235C	1.208	1.075
YGR236C	1.306	1.171
YGR237C	1.080	0.879
YGR238C	1.230	1.012
YGR239C	1.098	1.485
YGR241C	1.198	1.048
YGR242W	1.166	0.896
YGR243W	1.156	1.008
YGR244C	1.230	1.080
YGR247W	1.084	0.948
YGR248W	1.290	1.104
YGR249W	1.322	1.161
YGR250C	1.108	0.949
YGR252W	NaN	0.715
YGR254W	1.172	0.803
YGR255C	NaN	1.518
YGR256W	1.036	0.818
YGR257C	NaN	2.473
YGR258C	1.266	0.846
YGR259C	1.388	1.212
YGR260W	1.184	0.901
YGR261C	0.760	NaN
YGR263C	1.386	NaN
YGR266W	1.092	0.986
YGR268C	1.308	0.960
YGR269W	NaN	1.198
YGR270W	1.590	2.272
YGR271W	1.304	2.390
YGR273C	1.132	0.974
YGR274C	0.986	1.166
YGR275W	1.196	1.242
YGR276C	1.084	1.127
YGR279C	1.372	1.216
YGR281W	1.080	2.190
YGR282C	0.892	1.101
YGR283C	1.182	0.929
YGR284C	1.206	1.227
YGR286C	1.076	1.105
YGR287C	1.162	1.129
YGR288W	1.034	1.051
YGR289C	0.934	0.465
YGR290W	1.072	1.045
YGR291C	1.038	0.992
YGR292W	1.058	1.018
YGR295C	1.064	1.064
YHL002W	1.008	0.728
YHL003C	1.024	0.894
YHL005C	1.750	1.437
YHL006C	1.234	1.266
YHL007C	1.010	0.667
YHL008C	1.174	1.184
YHL009C	0.982	1.062
YHL010C	0.964	1.038
YHL012W	1.254	1.761
YHL013C	1.062	1.156
YHL014C	0.860	0.695
YHL016C	1.110	1.027
YHL017W	1.208	1.160
YHL019C	1.008	0.943
YHL020C	NaN	1.611
YHL021C	1.046	1.129
YHL022C	1.052	0.913
YHL023C	0.890	0.863
YHL024W	1.022	1.036
YHL026C	1.046	0.981
YHL027W	0.646	0.428
YHL028W	1.070	1.095
YHL029C	0.766	0.750
YHL030W	1.026	1.469
YHL032C	1.042	0.998
YHL033C	NaN	2.038
YHL034C	0.914	2.119
YHL035C	1.386	1.434
YHL036W	1.022	0.953
YHL037C	1.004	1.026
YHL038C	1.224	1.181
YHL039W	1.090	1.154
YHL040C	1.036	0.986
YHL041W	0.970	0.943
YHL042W	1.086	1.052
YHL043W	1.080	1.157
YHL044W	0.866	1.003
YHL045W	1.030	0.946
YHL046C	0.976	1.144
YHR001W-A	1.148	0.698
YHR003C	1.106	1.052
YHR004C	0.682	0.930
YHR006W	1.194	1.026
YHR009C	1.246	1.006
YHR012W	0.736	0.886
YHR013C	NaN	1.827
YHR014W	0.992	0.948
YHR015W	0.990	0.949
YHR016C	1.212	0.974
YHR017W	1.444	1.006
YHR018C	1.110	1.228
YHR021W-A	1.438	0.966
YHR022C	1.174	1.182
YHR025W	0.796	1.559
YHR028C	1.016	1.016
YHR029C	1.116	0.633
YHR030C	1.394	1.323
YHR031C	1.588	2.670
YHR032W	1.142	1.005
YHR033W	1.150	1.066
YHR034C	NaN	3.033
YHR035W	1.076	1.154
YHR037W	1.096	0.938
YHR039C	1.442	1.412
YHR043C	1.000	0.977
YHR044C	1.164	1.057
YHR045W	0.978	0.740
YHR046C	1.378	1.058
YHR048W	1.190	1.002
YHR049C-A	1.104	1.114
YHR049W	1.070	0.847
YHR051W	NaN	1.977
YHR057C	0.896	0.971
YHR061C	1.026	0.881
YHR066W	NaN	2.728
YHR067W	NaN	2.790
YHR073W	0.548	0.305
YHR075C	1.086	0.900
YHR076W	1.122	1.192
YHR077C	1.330	2.041
YHR078W	1.174	1.334
YHR079C	0.798	0.469
YHR079C-A	1.452	1.222
YHR080C	1.056	1.244
YHR082C	1.104	1.003
YHR086W	0.998	0.888
YHR087W	1.020	0.644
YHR091C	NaN	4.608
YHR092C	1.184	0.597
YHR093W	1.242	1.143
YHR094C	1.160	0.964
YHR095W	1.152	0.931
YHR096C	1.114	0.975
YHR097C	1.082	0.990
YHR103W	1.448	2.277
YHR104W	0.952	0.629
YHR105W	1.076	0.966
YHR106W	0.922	0.953
YHR108W	0.926	1.162
YHR109W	1.052	0.882
YHR110W	1.176	0.933
YHR111W	NaN	1.584
YHR112C	1.272	1.034
YHR113W	1.194	1.149
YHR114W	1.162	0.886
YHR115C	1.020	0.880
YHR116W	1.364	1.153
YHR117W	1.224	0.963
YHR121W	1.266	1.050
YHR123W	1.250	1.059
YHR124W	1.032	0.988
YHR125W	1.024	1.290
YHR126C	1.190	1.060
YHR127W	1.002	0.884
YHR129C	0.704	0.548
YHR130C	1.286	0.842
YHR131C	1.138	1.164
YHR132C	1.102	1.014
YHR132W-A	1.084	1.041
YHR133C	1.058	0.905
YHR134W	1.344	1.551
YHR135C	1.060	0.656
YHR136C	1.192	0.989
YHR137W	0.920	1.099
YHR138C	1.002	0.948
YHR139C	1.198	1.296
YHR139C-A	1.220	1.044
YHR140W	1.086	1.019
YHR142W	1.310	1.076
YHR143W	1.220	1.374
YHR146W	1.160	1.131
YHR150W	1.028	1.008
YHR151C	1.164	1.477
YHR152W	1.166	1.435
YHR153C	0.986	0.980
YHR154W	NaN	1.513
YHR155W	1.366	0.898
YHR156C	0.914	1.290
YHR157W	0.922	1.454
YHR158C	1.098	1.121
YHR159W	1.038	0.886
YHR160C	0.870	1.071
YHR161C	1.054	0.875
YHR162W	1.088	0.962
YHR163W	1.470	1.267
YHR167W	0.328	NaN
YHR168W	NaN	4.114
YHR171W	0.960	0.824
YHR176W	NaN	1.180
YHR177W	1.102	0.886
YHR178W	NaN	1.619
YHR179W	0.936	0.774
YHR180W	1.026	1.072
YHR181W	1.058	1.068
YHR182W	1.090	1.264
YHR184W	1.034	1.021
YHR185C	1.014	1.199
YHR189W	1.334	1.563
YHR193C	0.994	0.667
YHR195W	1.206	1.115
YHR198C	1.168	1.314
YHR199C	1.200	1.203
YHR200W	NaN	1.399
YHR202W	1.006	1.008
YHR203C	NaN	3.558
YHR204W	1.132	1.650
YHR206W	0.976	1.178
YHR207C	1.444	1.138
YHR209W	1.168	1.126
YHR210C	1.056	1.230
YIL001W	1.296	0.843
YIL002C	1.688	1.286
YIL005W	1.108	0.504
YIL006W	1.082	1.045
YIL007C	1.454	1.236
YIL009C-A	1.990	3.032
YIL009W	1.026	1.031
YIL010W	1.046	0.965
YIL011W	1.080	0.796
YIL012W	1.140	1.171
YIL013C	1.234	1.275
YIL014W	1.034	0.838
YIL015W	1.360	0.751
YIL016W	1.692	0.891
YIL017C	NaN	0.634
YIL018W	1.084	0.809
YIL020C	1.364	0.924
YIL023C	1.444	0.910
YIL024C	1.324	0.917
YIL025C	1.652	1.031
YIL026C	1.136	1.333
YIL027C	0.848	0.888
YIL028W	1.604	0.935
YIL029C	1.238	0.382
YIL030C	1.056	0.764
YIL032C	1.986	1.012
YIL035C	0.282	0.412
YIL037C	NaN	1.196
YIL038C	3.882	2.267
YIL039W	1.968	3.022
YIL041W	NaN	0.344
YIL042C	1.286	1.022
YIL043C	1.176	1.213
YIL044C	0.844	0.893
YIL045W	1.250	0.729
YIL047C	1.036	0.596
YIL050W	1.040	0.796
YIL052C	0.530	0.598
YIL053W	NaN	0.396
YIL054W	1.182	1.220
YIL055C	1.106	0.808
YIL056W	1.182	0.941
YIL057C	1.208	0.543
YIL058W	1.166	1.099
YIL059C	1.110	1.163
YIL060W	NaN	3.906
YIL062C	NaN	1.451
YIL063C	NaN	1.116
YIL064W	1.222	0.793
YIL065C	1.062	0.503
YIL066C	1.368	1.258
YIL067C	1.022	1.593
YIL069C	1.534	1.043
YIL070C	NaN	4.067
YIL071C	1.106	1.016
YIL072W	0.934	0.895
YIL073C	0.974	0.773
YIL074C	1.160	0.952
YIL075C	NaN	1.335
YIL076W	1.088	0.732
YIL077C	0.982	0.518
YIL084C	0.992	0.752
YIL085C	1.020	0.971
YIL086C	1.142	1.105
YIL087C	1.100	0.955
YIL088C	1.058	0.943
YIL089W	1.046	0.959
YIL090W	1.394	0.998
YIL091C	NaN	1.585
YIL092W	1.004	1.183
YIL093C	NaN	3.829
YIL094C	1.126	1.671
YIL095W	1.072	0.883
YIL096C	0.986	0.807
YIL098C	1.300	NaN
YIL099W	1.166	1.411
YIL100W	1.188	0.962
YIL101C	1.306	0.847
YIL102C	1.228	1.402
YIL103W	NaN	1.943
YIL105C	1.018	0.551
YIL107C	1.244	0.749
YIL108W	1.162	1.229
YIL110W	NaN	1.748
YIL111W	1.234	0.893
YIL112W	1.664	2.157
YIL113W	1.260	1.191
YIL114C	1.042	1.083
YIL116W	1.342	1.161
YIL117C	1.110	0.967
YIL119C	1.214	1.311
YIL120W	1.090	1.107
YIL121W	1.190	0.498
YIL123W	1.338	0.885
YIL124W	1.144	0.565
YIL125W	1.600	1.063
YIL130W	1.228	1.295
YIL131C	1.230	1.517
YIL132C	1.132	2.099
YIL133C	NaN	2.404
YIL135C	1.162	0.839
YIL136W	1.082	1.584
YIL137C	1.140	0.890
YIL138C	1.318	0.969
YIL139C	1.138	1.317
YIL140W	1.350	1.176
YIL141W	1.312	0.964
YIL145C	1.194	1.120
YIL146C	1.092	0.880
YIL148W	NaN	1.135
YIL149C	1.142	1.219
YIL152W	0.972	0.933
YIL153W	1.548	1.217
YIL154C	0.798	0.398
YIL155C	1.108	0.897
YIL156W	0.846	0.908
YIL157C	1.338	1.174
YIL158W	1.096	0.865
YIL159W	1.198	1.161
YIL160C	0.986	0.865
YIL161W	1.100	0.758
YIL162W	1.016	1.015
YIL163C	1.056	1.085
YIL164C	1.078	0.748
YIL165C	1.214	0.801
YIL166C	1.176	1.042
YIL167W	1.070	1.161
YIL173W	1.078	0.961
YIR001C	1.104	0.735
YIR002C	1.336	2.083
YIR003W	0.966	1.129
YIR004W	1.190	1.064
YIR007W	1.010	0.947
YIR013C	1.090	1.120
YIR014W	1.126	1.014
YIR016W	1.244	1.201
YIR017C	1.322	1.014
YIR018W	1.180	1.061
YIR019C	1.156	0.960
YIR020C	1.046	1.051
YIR020W-A	1.338	1.237
YIR021W	1.350	1.210
YIR023W	1.148	1.171
YIR024C	1.294	1.761
YIR025W	1.156	1.488
YIR027C	1.378	1.010
YIR028W	1.074	1.379
YIR029W	1.198	1.194
YIR030C	1.240	1.213
YIR031C	0.888	1.074
YIR032C	1.326	1.238
YIR033W	1.268	NaN
