ORF	hom | growth (relative abundance in pooled culture) | Macbecin II [200-400 uM], temperature [30°C] | McClellan AJ~Frydman J, 2007	hom | growth (relative abundance in pooled culture) | Macbecin II [200-400 uM], temperature [37ºC] | McClellan AJ~Frydman J, 2007
YBR172C	1.434	1.055
YBR173C	NaN	1.690
YBR174C	1.614	1.892
YBR175W	1.608	1.859
YBR176W	1.210	1.093
YBR177C	1.190	0.984
YBR180W	1.102	1.052
YBR181C	NaN	3.442
YBR183W	1.156	1.146
YBR184W	1.068	0.988
YBR185C	1.222	1.082
YBR186W	1.116	0.945
YBR187W	1.412	0.856
YBR188C	1.284	1.868
YBR195C	1.132	0.615
YBR199W	1.294	0.935
YBR201W	1.126	2.147
YBR203W	1.346	0.904
YBR204C	1.180	0.922
YBR205W	1.100	0.973
YBR206W	1.194	1.160
YBR207W	1.366	0.920
YBR208C	NaN	0.739
YBR210W	1.202	1.026
YBR212W	1.194	0.895
YBR213W	1.128	1.301
YBR214W	1.242	1.142
YBR215W	0.850	0.993
YBR216C	1.026	1.006
YBR217W	1.072	1.022
YBR218C	1.044	1.150
YBR219C	1.152	0.937
YBR220C	1.470	0.915
YBR221C	NaN	1.779
YBR222C	1.268	1.335
YBR223C	1.348	1.188
YBR224W	1.220	1.679
YBR225W	1.024	1.928
YBR226C	1.156	1.394
YBR227C	1.156	1.186
YBR228W	1.194	1.137
YBR229C	1.044	0.677
YBR230C	1.214	1.050
YBR231C	NaN	2.033
YBR232C	1.246	0.828
YBR233W	1.288	1.032
YBR235W	1.252	1.087
YBR238C	1.472	1.634
YBR239C	1.120	1.063
YBR240C	1.474	1.166
YBR241C	1.350	1.117
YBR242W	1.292	1.262
YBR244W	1.106	1.062
YBR245C	1.080	0.793
YBR246W	0.902	0.656
YBR248C	1.138	1.050
YBR249C	1.208	1.077
YBR250W	1.190	1.053
YBR251W	NaN	6.376
YBR255W	1.226	1.170
YBR258C	1.126	1.256
YBR259W	1.236	0.891
YBR260C	0.950	1.116
YBR261C	1.320	1.283
YBR262C	1.182	0.951
YBR263W	1.256	1.172
YBR264C	1.164	1.107
YBR267W	NaN	0.753
YBR268W	NaN	5.061
YBR269C	1.058	1.394
YBR270C	1.140	1.102
YBR271W	1.228	1.181
YBR272C	1.474	1.477
YBR273C	1.096	0.951
YBR275C	1.236	1.691
YBR276C	1.166	1.081
YBR277C	NaN	2.983
YBR278W	NaN	3.210
YBR280C	0.794	1.265
YBR281C	0.938	1.212
YBR283C	NaN	2.593
YBR284W	1.116	1.130
YBR285W	1.250	1.312
YBR286W	0.932	1.022
YBR287W	1.114	0.888
YBR288C	0.828	0.566
YBR290W	0.612	0.640
YBR291C	0.646	1.113
YBR292C	1.048	1.414
YBR293W	1.322	1.140
YBR294W	1.120	1.012
YBR295W	1.024	1.560
YBR296C	0.970	1.099
YBR297W	0.902	1.404
YBR298C	0.798	0.835
YBR299W	1.144	1.060
YBR300C	0.980	1.039
YBR301W	1.174	1.125
YCL001W	1.240	1.284
YCL001W-A	0.750	0.784
YCL002C	1.080	0.599
YCL005W	0.804	0.414
YCL006C	1.282	1.023
YCL008C	0.212	0.180
YCL009C	1.124	1.016
YCL010C	0.844	0.678
YCL011C	1.274	1.158
YCL013W	1.242	0.961
YCL014W	1.306	1.051
YCL022C	1.188	1.259
YCL023C	1.082	1.008
YCL024W	1.180	1.145
YCL025C	1.254	0.980
YCL026C	1.526	0.954
YCL026C-A	1.232	1.170
YCL027W	1.180	1.034
YCL028W	1.170	1.067
YCL030C	1.322	1.240
YCL032W	1.634	1.017
YCL033C	1.366	0.966
YCL034W	1.396	1.068
YCL035C	1.268	1.005
YCL036W	1.252	1.348
YCL037C	NaN	2.502
YCL038C	1.214	0.923
YCL039W	1.316	1.238
YCL040W	1.272	1.095
YCL042W	1.666	1.568
YCL044C	1.288	0.854
YCL045C	1.378	0.998
YCL046W	1.090	1.346
YCL047C	1.314	0.977
YCL048W	1.320	1.061
YCL049C	1.240	1.074
YCL050C	1.428	1.201
YCL051W	1.324	1.244
YCL055W	1.416	1.174
YCL056C	1.404	1.309
YCL057W	1.210	1.274
YCL058C	NaN	2.539
YCL061C	2.512	2.043
YCL063W	0.845	0.927
YCL064C	1.302	1.132
YCL069W	1.320	1.120
YCL074W	1.204	1.108
YCL075W	1.260	1.039
YCL076W	1.152	1.113
YCR001W	1.236	1.194
YCR003W	NaN	10.374
YCR004C	1.410	1.124
YCR005C	1.266	1.128
YCR006C	1.434	1.344
YCR007C	1.220	1.307
YCR008W	1.124	0.843
YCR011C	1.322	1.115
YCR014C	1.358	1.141
YCR015C	1.284	1.147
YCR016W	1.522	1.174
YCR017C	1.154	0.931
YCR019W	1.314	0.889
YCR020C	1.230	0.812
YCR020C-A	1.214	1.092
YCR021C	1.322	1.084
YCR022C	1.240	0.995
YCR023C	1.244	1.050
YCR024C	1.874	4.732
YCR024C-A	0.940	3.340
YCR025C	1.260	2.755
YCR026C	0.828	4.749
YCR027C	NaN	1.424
YCR030C	1.142	0.927
YCR031C	1.398	1.937
YCR032W	1.254	1.556
YCR033W	1.342	1.325
YCR036W	NaN	0.788
YCR037C	1.198	0.953
YCR043C	1.218	1.504
YCR045C	0.866	0.890
YCR046C	NaN	2.823
YCR048W	1.218	1.001
YCR049C	0.956	1.196
YCR051W	NaN	2.972
YCR053W	1.130	0.936
YCR060W	1.014	0.908
YCR061W	1.072	0.867
YCR065W	NaN	0.693
YCR066W	1.974	3.393
YCR067C	1.064	0.994
YCR068W	0.692	0.838
YCR071C	NaN	6.359
YCR073C	1.154	1.102
YCR073W-A	1.164	0.997
YCR075C	1.312	1.126
YCR076C	1.178	1.241
YCR079W	0.960	2.071
YCR082W	0.920	1.528
YCR083W	1.254	1.269
YCR085W	0.884	1.136
YCR086W	NaN	2.594
YCR087C-A	NaN	1.182
YCR087W	0.778	NaN
YCR088W	1.116	0.788
YCR089W	1.266	1.325
YCR090C	1.306	1.155
YCR091W	1.510	1.003
YCR092C	1.302	0.982
YCR094W	0.960	0.632
YCR095C	1.140	1.040
YCR098C	1.030	0.654
YCR099C	1.316	1.008
YCR100C	1.264	1.047
YCR101C	1.208	1.354
YCR102C	1.140	1.141
YCR102W-A	1.170	0.958
YCR105W	1.288	0.995
YCR106W	1.238	0.919
YCR107W	0.940	1.178
YDL001W	1.308	1.343
YDL002C	1.444	1.344
YDL009C	1.378	1.486
YDL010W	1.208	1.122
YDL011C	1.174	1.250
YDL012C	1.228	0.945
YDL018C	1.376	1.358
YDL019C	1.362	1.274
YDL021W	0.970	0.537
YDL022W	1.176	1.312
YDL023C	1.058	0.502
YDL024C	1.430	0.995
YDL025C	1.046	1.932
YDL026W	1.298	1.085
YDL027C	1.304	1.344
YDL033C	NaN	3.243
YDL034W	1.466	1.307
YDL035C	0.834	1.586
YDL036C	1.500	1.401
YDL037C	NaN	1.633
YDL039C	1.374	1.327
YDL041W	NaN	1.423
YDL046W	1.246	1.273
YDL048C	1.628	2.421
YDL049C	1.394	1.138
YDL050C	1.396	1.157
YDL051W	1.554	1.394
YDL052C	1.328	1.077
YDL053C	1.186	1.096
YDL054C	1.346	1.406
YDL056W	NaN	8.992
YDL057W	1.378	1.085
YDL059C	1.568	2.211
YDL061C	NaN	3.222
YDL062W	NaN	1.943
YDL063C	NaN	1.964
YDL065C	1.184	1.187
YDL067C	1.338	1.518
YDL068W	NaN	2.462
YDL069C	1.602	1.111
YDL070W	1.084	1.214
YDL071C	1.236	1.177
YDL072C	1.076	1.059
YDL073W	1.186	0.718
YDL074C	NaN	1.606
YDL076C	1.570	0.981
YDL077C	0.346	NaN
YDL078C	1.106	1.119
YDL079C	1.176	1.002
YDL080C	1.504	0.938
YDL082W	NaN	2.403
YDL085W	1.064	0.981
YDL086W	1.168	0.771
YDL089W	NaN	0.872
YDL091C	1.046	0.749
YDL093W	1.096	1.135
YDL094C	1.226	1.561
YDL095W	0.960	0.945
YDL096C	0.960	0.578
YDL099W	1.238	1.129
YDL101C	NaN	1.532
YDL104C	1.508	1.688
YDL109C	1.410	1.244
YDL110C	1.286	1.395
YDL112W	1.660	1.350
YDL113C	1.500	1.213
YDL114W	1.476	1.192
YDL117W	0.164	1.071
YDL118W	NaN	0.631
YDL119C	NaN	0.776
YDL121C	1.252	1.291
YDL122W	1.232	1.187
YDL123W	1.286	1.174
YDL124W	1.236	1.149
YDL125C	1.308	1.935
YDL127W	1.110	1.302
YDL128W	1.226	1.024
YDL129W	1.254	1.074
YDL130W	NaN	2.351
YDL130W-A	1.352	1.127
YDL131W	1.278	1.176
YDL133C-A	1.341	1.253
YDL133W	1.162	0.662
YDL134C	1.098	1.010
YDL135C	1.232	1.480
YDL136W	NaN	0.630
YDL137W	1.326	1.010
YDL138W	1.044	1.100
YDL144C	1.308	0.842
YDL146W	0.984	0.738
YDL149W	1.070	1.194
YDL154W	1.278	1.131
YDL155W	1.152	1.003
YDL156W	1.280	1.207
YDL157C	1.244	1.059
YDL160C	NaN	1.587
YDL161W	1.016	1.078
YDL162C	1.440	1.786
YDL167C	1.388	0.836
YDL168W	1.296	1.226
YDL169C	1.224	1.342
YDL170W	1.238	1.027
YDL171C	1.084	1.012
YDL172C	1.048	2.792
YDL173W	0.940	1.927
YDL174C	1.186	1.015
YDL175C	0.972	0.805
YDL176W	1.224	1.117
YDL177C	1.222	1.264
YDL178W	1.282	1.119
YDL179W	1.216	1.020
YDL180W	1.148	1.292
YDL182W	0.966	1.181
YDL183C	1.152	0.868
YDL184C	1.346	1.278
YDL186W	1.226	1.210
YDL187C	1.288	1.149
YDL188C	1.326	1.225
YDL189W	1.358	1.238
YDL190C	1.148	0.823
YDL194W	1.374	2.586
YDL197C	1.250	1.105
YDL198C	NaN	4.838
YDL199C	1.126	1.100
YDL200C	1.090	0.992
YDL201W	1.196	0.946
YDL202W	NaN	4.584
YDL203C	1.018	1.284
YDL204W	1.102	1.045
YDL210W	1.032	1.227
YDL211C	1.078	1.083
YDL213C	1.550	0.611
YDL214C	1.366	1.065
YDL215C	1.224	1.155
YDL216C	1.374	0.838
YDL218W	1.224	1.084
YDL219W	1.198	1.419
YDL222C	1.126	1.096
YDL223C	1.372	1.239
YDL224C	1.174	0.956
YDL225W	1.224	0.991
YDL226C	1.484	2.786
YDL229W	1.214	0.857
YDL230W	1.274	1.256
YDL231C	1.194	1.236
YDL233W	1.168	0.859
YDL234C	1.290	1.165
YDL236W	1.100	0.828
YDL237W	1.126	0.893
YDL238C	1.396	1.238
YDL239C	1.188	1.060
YDL240W	0.948	0.883
YDL241W	1.104	0.869
YDL242W	1.158	0.863
YDL243C	1.158	1.077
YDR001C	1.328	1.993
YDR003W	1.252	0.895
YDR004W	NaN	1.699
YDR005C	1.390	0.848
YDR006C	1.092	0.879
YDR007W	1.332	1.021
YDR008C	0.990	0.821
YDR009W	1.268	0.833
YDR010C	1.154	0.815
YDR011W	1.236	0.801
YDR014W	1.210	1.580
YDR015C	1.264	1.042
YDR018C	1.276	0.828
YDR019C	1.240	1.088
YDR020C	1.382	1.225
YDR024W	NaN	5.196
YDR026C	1.428	1.173
YDR028C	NaN	1.091
YDR029W	1.296	0.870
YDR030C	1.352	1.382
YDR031W	1.394	1.367
YDR032C	1.398	1.536
YDR033W	1.492	1.258
YDR034C	1.352	1.146
YDR035W	1.356	0.933
YDR036C	1.576	1.165
YDR042C	1.258	0.780
YDR043C	1.268	1.252
YDR046C	1.542	1.234
YDR048C	NaN	1.054
YDR049W	NaN	0.660
YDR051C	1.442	0.984
YDR055W	1.274	1.336
YDR056C	1.250	1.121
YDR057W	1.218	0.847
YDR058C	1.096	0.824
YDR059C	1.348	1.092
YDR061W	1.236	1.047
YDR063W	1.308	1.318
YDR066C	1.172	1.569
YDR067C	NaN	1.134
YDR068W	1.196	1.260
YDR070C	1.336	1.119
YDR071C	1.178	0.732
YDR072C	1.274	1.453
YDR073W	0.990	0.600
YDR074W	1.638	1.065
YDR075W	NaN	0.604
YDR076W	NaN	2.382
YDR077W	1.046	1.095
YDR078C	1.170	1.322
YDR079W	NaN	1.542
YDR083W	NaN	2.469
YDR084C	1.152	1.431
YDR085C	1.232	1.172
YDR086C	NaN	1.036
YDR089W	1.044	1.178
YDR090C	1.364	0.974
YDR093W	1.008	1.087
YDR094W	1.278	0.902
YDR095C	1.254	1.310
YDR096W	1.434	0.708
YDR097C	1.492	1.099
YDR098C	1.280	1.173
YDR099W	1.154	1.211
YDR100W	1.178	1.167
YDR102C	1.368	0.943
YDR104C	1.086	1.175
YDR105C	1.318	1.084
YDR107C	1.240	1.016
YDR108W	1.344	0.887
YDR109C	1.284	1.260
YDR110W	1.242	1.538
YDR111C	1.280	1.391
YDR112W	1.118	1.182
YDR114C	NaN	8.709
YDR115W	NaN	6.241
YDR116C	1.488	1.517
YDR117C	1.238	1.397
YDR119W	1.284	1.110
YDR120C	0.644	1.050
YDR121W	NaN	3.731
YDR122W	1.288	1.268
YDR123C	1.262	1.058
YDR124W	1.298	1.185
YDR125C	NaN	2.034
YDR126W	NaN	0.869
YDR127W	1.334	1.675
YDR128W	1.230	1.066
YDR130C	1.234	1.171
YDR131C	1.300	1.258
YDR132C	1.340	1.130
YDR133C	1.310	1.217
YDR134C	1.154	1.141
YDR135C	1.218	0.994
YDR136C	0.262	NaN
YDR139C	1.156	0.864
YDR140W	NaN	2.822
YDR142C	NaN	0.864
YDR143C	1.302	1.785
YDR144C	0.924	0.946
YDR146C	1.224	0.950
YDR147W	1.150	0.964
YDR148C	1.248	1.167
YDR149C	NaN	0.577
YDR151C	1.192	0.833
YDR152W	1.138	1.610
YDR153C	1.096	0.889
YDR154C	1.128	0.840
YDR155C	1.154	0.861
YDR156W	1.376	3.467
YDR157W	1.210	1.762
YDR162C	0.712	NaN
YDR163W	1.200	2.647
YDR165W	1.134	1.310
YDR169C	1.200	1.228
YDR175C	NaN	5.862
YDR178W	1.296	0.961
YDR179C	1.324	1.185
YDR179W-A	1.198	1.086
YDR181C	1.650	2.848
YDR183W	1.048	1.085
YDR184C	1.588	2.121
YDR193W	1.020	1.055
YDR194C	NaN	4.783
YDR197W	1.368	1.002
YDR198C	1.588	1.523
YDR199W	1.432	1.520
YDR200C	NaN	4.694
YDR202C	0.872	0.795
YDR203W	0.956	0.773
YDR204W	NaN	2.073
YDR205W	1.242	1.293
YDR206W	1.248	1.466
YDR209C	1.218	1.041
YDR210W	1.134	1.239
YDR213W	1.204	1.261
YDR214W	1.248	1.091
YDR215C	1.326	1.167
YDR216W	1.516	1.425
YDR217C	1.284	1.228
YDR218C	1.100	1.124
YDR219C	1.164	1.123
YDR220C	1.028	0.938
YDR221W	1.302	1.152
YDR222W	1.280	1.161
YDR223W	1.068	1.000
