orf	hom | growth (pooled culture) | macbecin II [200-400 uM], temperature [30 C] | YPD + DMSO | McClellan AJ~Frydman J, 2007	hom | growth (pooled culture) | macbecin II [200-400 uM], temperature [37 C] | YPD + DMSO | McClellan AJ~Frydman J, 2007
YBR101C	1.108	1.0225
YBR103W	1.408	2.4308
YBR104W	1.216	1.0471
YBR105C	1.04	1.1205
YBR107C	0.888	0.80517
YBR108W	1.006	1.0044
YBR113W	1.068	1.2495
YBR114W	1.218	1.4125
YBR115C	1.03	1.0516
YBR116C	1.026	0.99352
YBR118W	1.068	1.2119
YBR120C	1.236	1.2697
YBR125C	1.288	0.77301
YBR128C	0.986	1.8208
YBR129C	0.984	1.4547
YBR130C	1.13	1.0687
YBR131W	0.922	0.87897
YBR134W	1.136	1.2847
YBR137W	1.144	1.4875
YBR139W	1.368	1.52
YBR141C	1.1	1.0483
YBR148W	1.266	1.1858
YBR149W	1.058	1.0438
YBR150C	1.066	1.0488
YBR151W	1.132	1.822
YBR157C	1.16	1.7985
YBR158W	1.062	1.4369
YBR159W	1.082	1.3596
YBR161W	1.226	1.2392
YBR162C	1.376	2.4371
YBR162W-A	1.112	1.0304
YBR164C	0.366	0.48244
YBR165W	1.162	0.9507
YBR169C	1.012	0.90114
YBR170C	1.006	1.3522
YBR172C	1.434	1.0551
YBR174C	1.614	1.8916
YBR175W	1.608	1.8585
YBR176W	1.21	1.0925
YBR177C	1.19	0.98414
YBR180W	1.102	1.0517
YBR183W	1.156	1.1458
YBR184W	1.068	0.98811
YBR185C	1.222	1.082
YBR186W	1.116	0.94476
YBR187W	1.412	0.85599
YBR188C	1.284	1.8676
YBR195C	1.132	0.61478
YBR199W	1.294	0.93484
YBR201W	1.126	2.1473
YBR203W	1.346	0.90421
YBR204C	1.18	0.92235
YBR205W	1.1	0.97304
YBR206W	1.194	1.1596
YBR207W	1.366	0.91953
YBR210W	1.202	1.0258
YBR212W	1.194	0.89537
YBR213W	1.128	1.3006
YBR214W	1.242	1.1419
YBR215W	0.85	0.99252
YBR216C	1.026	1.0062
YBR217W	1.072	1.022
YBR218C	1.044	1.1497
YBR219C	1.152	0.93703
YBR220C	1.47	0.91513
YBR222C	1.268	1.335
YBR223C	1.348	1.1879
YBR224W	1.22	1.6785
YBR225W	1.024	1.9277
YBR226C	1.156	1.3938
YBR227C	1.156	1.1864
YBR228W	1.194	1.1374
YBR229C	1.044	0.67666
YBR230C	1.214	1.0503
YBR232C	1.246	0.82834
YBR233W	1.288	1.0324
YBR235W	1.252	1.0865
YBR238C	1.472	1.6337
YBR239C	1.12	1.0632
YBR240C	1.474	1.166
YBR241C	1.35	1.1169
YBR242W	1.292	1.2616
YBR244W	1.106	1.0622
YBR245C	1.08	0.7926
YBR246W	0.902	0.65611
YBR248C	1.138	1.0501
YBR249C	1.208	1.0765
YBR250W	1.19	1.0532
YBR255W	1.226	1.1704
YBR258C	1.126	1.2557
YBR259W	1.236	0.89126
YBR260C	0.95	1.1158
YBR261C	1.32	1.2826
YBR262C	1.182	0.95092
YBR263W	1.256	1.1724
YBR264C	1.164	1.1073
YBR269C	1.058	1.3941
YBR270C	1.14	1.102
YBR271W	1.228	1.1813
YBR272C	1.474	1.4767
YBR273C	1.096	0.95103
YBR275C	1.236	1.6908
YBR276C	1.166	1.0809
YBR280C	0.794	1.2647
YBR281C	0.938	1.2118
YBR284W	1.116	1.1303
YBR285W	1.25	1.3124
YBR286W	0.932	1.0216
YBR287W	1.114	0.88764
YBR288C	0.828	0.56557
YBR290W	0.612	0.64034
YBR291C	0.646	1.1134
YBR292C	1.048	1.4142
YBR293W	1.322	1.1401
YBR294W	1.12	1.0123
YBR295W	1.024	1.5603
YBR296C	0.97	1.0986
YBR297W	0.902	1.4041
YBR298C	0.798	0.83457
YBR299W	1.144	1.0595
YBR300C	0.98	1.0394
YBR301W	1.174	1.125
YCL001W	1.24	1.2839
YCL001W-A	0.75	0.78408
YCL002C	1.08	0.59947
YCL005W	0.804	0.41422
YCL008C	0.212	0.18005
YCL009C	1.124	1.0164
YCL010C	0.844	0.67812
YCL011C	1.274	1.1583
YCL014W	1.306	1.05119
YCL022C	1.188	1.2589
YCL023C	1.082	1.0079
YCL024W	1.18	1.1451
YCL025C	1.254	0.97958
YCL026C-A	1.232	1.1699
YCL027W	1.18	1.0338
YCL028W	1.17	1.0665
YCL030C	1.322	1.2401
YCL032W	1.634	1.0166
YCL033C	1.366	0.96647
YCL034W	1.396	1.0684
YCL035C	1.268	1.0049
YCL036W	1.252	1.3484
YCL038C	1.214	0.92288
YCL039W	1.316	1.2375
YCL040W	1.272	1.0952
YCL042W	1.666	1.5681
YCL044C	1.288	0.85434
YCL045C	1.378	0.99827
YCL046W	1.09	1.346
YCL047C	1.314	0.97698
YCL048W	1.32	1.0607
YCL049C	1.24	1.0744
YCL050C	1.428	1.201
YCL051W	1.324	1.2439
YCL055W	1.416	1.1739
YCL056C	1.404	1.3091
YCL057W	1.21	1.2745
YCL061C	2.512	2.0426
YCL063W	0.845	0.92653
YCL064C	1.302	1.1322
YCL069W	1.32	1.1201
YCL076W	1.152	1.113
YCR001W	1.236	1.1943
