orf	hom | growth (pooled culture) | macbecin II [200-400 uM], temperature [30 C] | YPD + DMSO | McClellan AJ~Frydman J, 2007	hom | growth (pooled culture) | macbecin II [200-400 uM], temperature [37 C] | YPD + DMSO | McClellan AJ~Frydman J, 2007
YEL009C	0.974	0.989
YEL010W	0.98	0.97212
YEL011W	1.114	1.1614
YEL012W	1.038	1.4259
YEL013W	0.576	1.0878
YEL014C	1.246	1.1647
YEL015W	1.308	1.1941
YEL016C	1.298	1.0184
YEL017C-A	1.24	1.2638
YEL017W	1.232	0.96671
YEL018W	1.226	0.91021
YEL020C	1.04	0.83327
YEL023C	1.148	1.0508
YEL024W	1.466	2.3439
YEL028W	0.87	1.1493
YEL030W	1.038	0.92174
YEL031W	1.09	1.5993
YEL037C	1.094	1.3582
YEL038W	1.09	0.88694
YEL039C	1.126	1.1037
YEL040W	1.28	1.1445
YEL041W	1.378	1.1651
YEL042W	1.314	1.2483
YEL043W	1.178	1.1938
YEL047C	1.144	1.0883
YEL048C	0.816	0.32395
YEL049W	1.122	1.2859
YEL052W	1.178	0.99145
YEL053C	0.77	0.73997
YEL056W	1.2	1.643
YEL057C	0.968	0.71919
YEL059W	1.09	0.83066
YEL060C	1.038	0.86619
YEL062W	1.038	0.84549
YEL063C	1.036	0.98683
YEL064C	1.266	1.2189
YEL065W	1.118	0.9465
YEL066W	1.106	0.95308
YEL067C	1.144	1.0454
YEL068C	1.064	0.9576
YEL071W	1.098	1.084
YEL072W	1.08	0.58354
YER001W	1.436	1.0928
YER002W	1.278	3.165
YER005W	2.432	1.485
YER007C-A	1.828	0.72226
YER007W	1.064	1.2306
YER010C	1.714	1.5501
YER011W	2.124	1.0161
YER019C-A	1.27	1.4044
YER020W	0.944	1.8186
YER022W	1.468	1.1812
YER024W	0.996	1.0004
YER030W	1.398	1.3243
YER031C	0.868	0.92292
YER032W	1.182	1.2221
YER033C	1.12	1.0633
YER034W	1.024	1.0399
YER038W-A	1.09	1.0966
YER039C	1.186	1.0514
YER039C-A	1.13	0.90996
YER041W	1.056	0.77656
YER042W	1.112	0.96864
YER044C-A	1.066	0.94844
YER045C	1.004	0.9783
YER046W	1.068	0.92061
YER046W-A	0.976	1.063
YER047C	1.174	1.3716
YER048C	0.846	0.49303
YER049W	1.338	0.98399
YER051W	1.19	0.93095
YER052C	1.208	1.3164
YER053C	1.11	1.0964
YER055C	0.978	0.99713
YER056C	0.992	1.0162
YER057C	1.074	1.0925
YER058W	1.468	1.2252
YER059W	0.968	0.99628
YER060W	1.016	1.0026
YER060W-A	1.146	1.1054
YER062C	1.022	1.0854
YER063W	1.136	0.94394
YER064C	1.012	0.87609
YER065C	1.09	0.91104
YER066C-A	1.104	1.1673
YER066W	1.322	1.0515
YER067C-A	1.02	0.95923
YER067W	1.07	1.1062
YER068C-A	1.316	0.98264
YER069W	1.182	1.043
YER071C	1.068	0.84872
YER072W	0.798	0.46903
YER073W	1.3	1.2458
YER075C	1.204	0.98749
YER078C	1.232	
YER079W	1.048	0.8912
YER080W	1.108	1.0569
YER081W	1.008	0.91442
YER084W	1.116	0.64596
YER085C	1.178	1.0496
YER086W	0.936	1.0979
YER087C-B	1.05	1.303
YER088C	1.284	0.993
YER089C	1.064	0.93553
YER091C	1.038	1.1271
YER091C-A	1.106	0.81979
YER092W	1.138	0.78512
YER093C-A	1.138	1.0844
YER096W	1.068	1.2392
YER097W	1.22	1.1689
YER098W	1.072	0.96432
YER101C	1.07	0.81922
YER103W	1.042	1.0808
YER106W	0.964	1.0373
YER107C	1.19	0.96256
YER113C	1.11	1.2338
YER114C	0.914	0.99
YER115C	1.028	0.92993
YER118C	1.044	0.82604
YER119C	1.104	0.94468
YER119C-A	0.43	0.33018
YER120W	0.502	0.34184
YER121W	1.002	0.98863
YER123W	0.656	0.88705
YER124C	0.934	1.0748
YER128W	0.958	0.93629
YER130C	0.954	0.90076
YER131W	1.158	0.91616
YER132C	0.918	0.93575
YER134C	0.892	0.94337
YER135C	0.914	0.98306
YER137C	1.242	0.79223
YER139C	1.35	
YER140W	1.138	1.1155
YER141W	1.498	1.0726
YER142C	1.09	1.0407
YER143W	0.986	1.2761
YER144C	1.108	0.87521
YER145C	1.068	0.80177
YER149C	1.06	0.7959
YER150W	1.058	0.99338
YER151C	0.7869999999999999	1.1347
YER152C	1.078	0.96549
YER156C	1.188	1.6377
YER158C	1.212	1.0531
YER161C	1.232	1.1452
YER162C	1.332	1.1863
YER163C	1.24	1.2006
YER164W	0.998	0.95891
YER166W	0.888	0.88127
YER167W	1.706	4.4346
YER169W	1.282	0.90309
YER170W	1.144	1.0318
YER173W	1.054	0.88866
YER174C	1.12	0.97588
YER175C	1.0	0.8772
YER176W	0.976	0.89484
YER177W	0.46	0.82109
YER179W	1.138	0.90037
YER180C	1.002	0.99035
YER181C	1.044	1.0519
YER182W	1.152	0.91753
YER183C	1.07	1.024
YER184C	1.018	0.90208
YER185W	0.978	0.96296
YER186C	1.036	0.99576
YER187W	1.02	0.87843
YER188W	1.148	1.1782
YFL003C	1.186	1.1127
YFL004W	1.18	1.3408
YFL007W	0.96	1.1878
YFL010C	1.116	1.3312
YFL010W-A	1.104	1.2502
YFL011W	0.846	1.0944
YFL012W	1.052	1.0479
YFL012W-A	1.13	1.1009
YFL013C	0.906	1.0781
YFL014W	1.202	1.1132
YFL015C	1.298	1.0305
YFL019C	1.038	1.1472
YFL020C	1.152	1.0169
YFL021W	1.012	1.1532
YFL027C	1.112	1.0338
YFL028C	1.16	1.2474
YFL030W	1.23	1.1757
YFL031W	1.132	1.1646
YFL032W	1.13	1.1515
YFL033C	1.174	1.0577
YFL034C-A	1.342	0.980755
YFL034W	1.14	0.89478
YFL040W	1.064	0.99768
YFL041W	1.248	0.98445
YFL042C	1.255	1.14375
YFL044C	1.142	1.3799
YFL046W	1.308	1.2596
YFL047W	1.314	1.315
YFL048C	1.13	1.0771
YFL049W	1.198	0.79044
YFL050C	1.298	1.2998
YFL051C	1.33	1.0831
YFL052W	1.338	1.0352
YFL053W	1.162	1.1513
YFL054C	1.396	1.3763
YFL055W	1.2	1.0808
YFL063W	1.408	1.0783
YFR006W	1.232	1.1736
YFR007W	1.24	0.73231
YFR008W	1.328	1.4774
YFR009W	1.156	1.3086
YFR010W	1.366	1.6498
YFR012W	1.122	1.0264
YFR014C	1.076	1.1562
YFR015C	1.278	1.1706
YFR016C	1.128	1.1984
YFR017C	1.14	1.0436
YFR018C	1.268	1.1656
YFR020W	1.168	1.0957
YFR021W	1.112	0.95673
YFR022W	1.242	1.2563
YFR023W	1.12	0.99553
YFR024C-A	1.116	1.3284500000000001
YFR025C	1.042	0.98441
YFR026C	1.158	0.98272
YFR030W	1.25	0.93208
YFR031C-A	1.328	1.4395
YFR032C	1.14	0.96685
YFR032C-A	1.462	2.8956
YFR033C	1.292	1.3463
YFR035C	1.23	1.3971
YFR036W	0.248	
YFR038W	1.132	1.2548
YFR039C	1.142	1.0022
YFR040W	0.942	
YFR041C	1.026	1.0108
YFR043C	0.982	0.8485
YFR044C	1.054	1.1052
YFR045W	1.144	0.9764
YFR046C	1.03	0.97523
YFR047C	1.138	1.0545
YFR048W	1.342	1.2665
YFR049W	1.128	0.9777
YFR053C	1.132	1.0061
YFR054C	1.116	0.97141
YFR055W	1.136	0.91182
YFR056C	1.136	1.0368
YFR057W	1.63	0.88157
YGL002W	1.346	
YGL004C	1.47	1.8761
YGL005C	0.266	
YGL006W	1.454	1.5635
YGL009C	1.264	1.3681
YGL010W	1.338	1.3072
YGL013C	0.158	0.13884
YGL014W	1.158	1.0273
YGL015C	1.17	1.04
YGL016W	1.218	1.6992
YGL017W	1.328	0.87011
YGL019W	1.136	1.7142
YGL021W	1.342	0.8044
YGL026C	1.52	1.2543
YGL027C	1.232	0.69615
YGL028C	1.354	1.1438
YGL032C	1.242	1.3161
YGL033W	1.154	0.82908
YGL034C	1.162	0.76552
YGL037C	1.302	0.77092
YGL039W	1.274	0.91007
YGL049C	1.424	1.3819
YGL050W	1.55	1.057
YGL051W	1.458	1.3112
YGL053W	1.308	0.989
YGL056C	1.57	1.0452
YGL059W	1.402	1.1384
YGL060W	1.638	4.3914
YGL062W	1.192	0.85312
YGL063W	1.29	1.1707
YGL067W	1.37	1.0118
YGL077C	1.428	1.785
YGL079W	1.038	1.0171
YGL080W	1.316	1.0797
YGL081W	1.272	1.3625
YGL082W	1.172	0.79746
YGL083W	1.312	1.0947
YGL085W	1.334	1.125
YGL086W	0.894	0.59945
YGL087C	1.29	2.3711
YGL089C	1.264	1.251
YGL090W	1.24	1.2115
YGL094C	0.82	0.62788
YGL096W	1.118	0.92467
YGL101W	1.264	1.0255
YGL107C	1.814	1.5845
YGL108C	1.134	1.1488
YGL109W	1.118	0.98339
YGL110C	1.018	1.0689
YGL114W	1.252	1.093
YGL117W	1.35	0.94639
YGL121C	1.448	1.3962
YGL124C	0.942	
YGL125W	1.162	1.1942
YGL126W	1.312	1.0408
YGL131C	1.294	1.2964
YGL132W	1.126	1.3781
YGL133W	1.122	0.8248
YGL136C	1.55	1.5397
YGL138C	1.346	1.0876
YGL139W	1.344	1.2168
YGL140C	1.266	1.0741
YGL141W	1.316	1.7241
YGL144C	1.428	1.1888
YGL146C	1.344	1.2225
YGL148W	1.016	1.8729
YGL149W	1.532	1.0701
YGL151W	0.92	0.43591
YGL152C	1.416	1.3408
YGL153W	1.164	1.2044
YGL154C	1.07	1.1501
YGL156W	1.328	1.2717
YGL157W	1.34	1.0372
YGL158W	1.12	0.9463
YGL159W	1.286	1.1736
YGL160W	1.256	0.83853
YGL161C	1.198	1.3321
YGL162W	1.25	0.97167
YGL164C	1.42	0.95483
YGL165C	1.398	1.2297
YGL166W	1.254	0.92833
YGL170C	1.4	1.2392
YGL175C	1.372	1.9995
YGL176C	1.196	1.1399
YGL177W	1.162	1.2436
YGL179C	1.14	1.1795
YGL180W	1.132	1.0538
YGL181W	1.374	1.1488
YGL194C	1.286	1.5866
YGL196W	1.044	1.0387
YGL197W	0.892	1.4435
YGL198W	1.22	1.1415
YGL199C	1.072	1.108
YGL202W	1.164	0.9363
YGL203C	1.096	1.265
YGL205W	1.266	1.6262
YGL208W	1.006	1.0619
YGL209W	1.232	0.96101
YGL210W	1.82	1.1427
YGL212W	0.46	0.72664
YGL213C	2.024	1.0333
YGL214W	1.678	0.60154
YGL215W	1.046	2.4539
YGL216W	1.034	1.0197
YGL217C	1.14	0.79276
YGL221C	1.13	0.92367
YGL222C	1.394	1.4787
YGL224C	1.048	1.4326
YGL226C-A	0.992	1.2188
YGL226W	1.39	1.0033
YGL227W	1.128	1.3203
YGL228W	1.232	1.5133
YGL229C	1.162	1.3635
YGL230C	1.166	1.1729
YGL231C	1.16	0.99279
YGL232W	1.16	7.3366
YGL234W	0.71	0.61561
YGL235W	0.994	0.90848
YGL236C	1.52	2.4738
YGL237C	0.796	1.3704
YGL241W	0.976	1.1826
YGL242C	1.134	1.356
YGL243W	1.04	1.1217
YGL248W	0.922	1.0831
YGL249W	1.176	1.625
YGL250W	0.936	2.033
YGL251C	1.148	3.8281
YGL252C	0.72	1.1277
YGL253W	0.908	1.1708
YGL254W	1.17	1.2998
YGL255W	1.216	1.4001
YGL256W	1.17	1.1662
YGL257C	1.02	1.2642
YGL258W	1.04	1.5549
YGL259W	1.252	1.2292
YGL260W	1.154	1.1299
YGL261C	1.124	1.3755
YGL262W	1.162	1.1519
YGL263W	1.076	1.1716
YGR001C	1.196	1.1829
YGR003W	1.094	1.0807
YGR004W	1.046	1.4069
YGR007W	1.104	0.92534
YGR008C	1.164	1.226
YGR010W	1.276	1.1745
YGR011W	1.176	1.0714
YGR012W	1.008	1.1937
YGR014W	1.246	1.1888
YGR015C	1.362	1.203
YGR017W	1.268	1.222
YGR018C	1.184	1.1236
YGR019W	1.232	1.069
YGR021W	1.924	1.0658
YGR022C	1.298	1.0165
YGR023W	1.316	1.0795
YGR025W	1.232	1.0306
YGR026W	1.25	1.2028
YGR027C	1.7	3.0596
YGR028W	1.306	1.4536
YGR031W	1.378	1.1727
YGR032W	1.192	1.1415
YGR033C	1.352	1.1443
YGR034W	1.594	3.3747
YGR035C	1.61	1.7992
YGR038W	1.374	1.6187
YGR039W	1.302	1.224
YGR040W	1.346	1.1112
YGR041W	1.25	1.1421
YGR042W	1.174	1.1008
YGR043C	1.296	1.1491
YGR044C	1.262	1.1505
YGR045C	1.456	1.205
YGR049W	1.348	1.1156
YGR050C	1.27	1.0875
YGR051C	1.07	1.0373
YGR052W	1.144	1.1561
YGR053C	1.202	1.1538
YGR054W	1.016	0.74069
YGR055W	1.246	1.0992
YGR057C	1.238	1.2347
YGR058W	1.162	1.481
YGR059W	1.22	0.96291
YGR061C	0.964	0.98517
YGR062C	1.456	1.4146
YGR064W	0.698	0.53673
YGR066C	1.38	1.2905
YGR067C	1.222	1.0096
YGR068C	1.31	1.6571
YGR069W	1.208	1.1477
YGR070W	1.204	1.3443
YGR071C	1.572	1.4132
YGR072W	1.288	1.5185
YGR076C	2.438	3.8102
YGR077C	1.28	1.1699
YGR079W	1.332	1.1872
YGR080W	1.21	1.0225
YGR084C	1.206	1.125
YGR087C	1.222	0.97675
YGR088W	1.224	1.1349
YGR089W	1.104	1.1172
YGR093W	1.48	1.2451
YGR096W	1.644	1.244
YGR097W	1.44	1.4664
YGR100W	1.472	1.1398
YGR102C	2.424	3.1848
YGR106C	0.974	0.58092
YGR107W	1.294	1.1587
YGR108W	1.356	1.0904
YGR109C	1.27	1.0661
YGR110W	1.424	
YGR111W	1.274	1.1635
YGR112W	1.304	1.2962
YGR117C	1.014	1.2061
YGR121C	0.998	1.0795
YGR122C-A	1.032	0.83749
YGR122W	0.668	0.58384
YGR123C	1.126	1.1493
YGR124W	1.082	1.0508
YGR125W	1.288	1.0423
YGR126W	1.13	1.0138
YGR127W	1.098	0.80662
YGR129W	1.148	1.0617
YGR130C	1.08	1.0148
YGR131W	1.132	1.0635
YGR132C	1.212	0.99488
YGR133W	1.234	1.1338
YGR134W	0.982	0.88501
YGR135W	1.886	1.6044
YGR136W	1.21	0.963
YGR137W	1.314	1.0015
YGR138C	1.366	1.0202
YGR139W	1.138	0.98693
YGR141W	1.25	1.0275
YGR142W	1.246	1.1565
YGR143W	1.076	1.1604
YGR144W	0.944	0.79949
YGR146C	1.162	0.82001
YGR148C	1.618	1.7805
YGR149W	1.388	0.90603
YGR150C	2.154	1.9954
YGR151C	1.18	0.95638
YGR152C	1.18	0.99495
YGR154C	1.07	1.0166
YGR157W	1.04	0.79025
YGR161C	1.494	1.0913
YGR163W	1.332	0.97679
YGR164W	0.65	0.66446
YGR166W	0.936	1.0575
YGR168C	1.276	0.91978
YGR169C	1.35	1.0763
YGR170W	1.518	1.2517
YGR171C	2.026	1.5303
YGR173W	1.3	1.3848
YGR174C	1.76	1.2608
YGR176W	1.262	1.0651
YGR177C	1.126	0.98946
YGR178C	0.922	0.74066
YGR181W	1.264	0.99388
YGR182C	1.216	1.0235
YGR183C	1.418	1.0257
YGR184C	1.052	1.0131
YGR187C	0.636	0.7584
YGR189C	1.022	0.88023
YGR192C	1.2	1.0888
YGR193C	1.044	1.4339
YGR194C	1.19	1.0001
YGR196C	1.034	0.62074
YGR197C	1.134	0.82633
YGR199W	1.128	1.0724
YGR201C	1.352	1.2967
YGR202C	1.4	1.3353
YGR203W	1.212	1.3089
YGR204W	1.158	1.0004
YGR205W	1.126	1.0277
YGR206W	0.932	0.67384
YGR207C	1.164	1.0247
YGR208W	1.266	1.0762
YGR209C	1.004	0.88555
YGR210C	1.086	0.93211
YGR212W	1.142	0.99264
YGR213C	1.1	0.96214
YGR214W	1.59	2.9544
YGR217W	1.37	1.1163
YGR220C	1.736	2.3696
YGR221C	1.082	0.95215
YGR222W	1.494	2.0531
YGR223C	1.184	1.2913
YGR224W	1.158	0.98665
YGR225W	1.162	1.1932
YGR226C	1.19	0.86215
YGR227W	1.218	0.9801
YGR228W	0.928	0.99502
YGR230W	1.072	1.1134
YGR231C	1.334	1.3054
YGR232W	1.298	1.2217
YGR233C	1.18	2.113
YGR234W	1.1	1.0228
YGR235C	1.208	1.0753
YGR236C	1.306	1.1711
YGR237C	1.08	0.87927
YGR238C	1.23	1.0123
YGR239C	1.098	1.4849
YGR241C	1.198	1.048
YGR242W	1.166	0.89582
YGR243W	1.156	1.008
YGR244C	1.23	1.0803
YGR247W	1.084	0.94834
YGR248W	1.29	1.1043
YGR249W	1.322	1.1612
YGR250C	1.108	0.94885
YGR254W	1.172	0.80305
YGR256W	1.036	0.81821
YGR258C	1.266	0.84569
YGR259C	1.388	1.2122
YGR260W	1.184	0.90085
YGR261C	0.76	
YGR263C	1.386	
YGR266W	1.092	0.98634
YGR268C	1.308	0.96016
YGR270W	1.59	2.2715
YGR271W	1.304	2.3903
YGR273C	1.132	0.97427
YGR274C	0.986	1.166
YGR275W	1.196	1.2423
YGR276C	1.084	1.1266
YGR279C	1.372	1.2162
YGR281W	1.08	2.1904
YGR282C	0.892	1.101
YGR283C	1.182	0.9294
YGR284C	1.206	1.2269
YGR286C	1.076	1.105
YGR287C	1.162	1.1289
YGR288W	1.034	1.0509
YGR289C	0.934	0.46507
YGR290W	1.072	1.0449
YGR291C	1.038	0.99227
YGR292W	1.058	1.0177
YGR295C	1.064	1.0639
YHL002W	1.008	0.72836
YHL003C	1.024	0.89414
YHL005C	1.75	1.4368
YHL006C	1.234	1.2655
YHL007C	1.01	0.66713
YHL008C	1.174	1.1842
YHL009C	0.982	1.0616
YHL010C	0.964	1.0385
YHL012W	1.254	1.7611
YHL013C	1.062	1.1561
YHL014C	0.86	0.69492
YHL016C	1.11	1.0266
YHL017W	1.208	1.1604
YHL019C	1.008	0.94304
YHL021C	1.046	1.1286
YHL022C	1.052	0.91252
YHL023C	0.89	0.86319
YHL024W	1.022	1.0359
YHL026C	1.046	0.9808
YHL027W	0.646	0.42815
YHL028W	1.07	1.0955
YHL029C	0.766	0.75041
YHL030W	1.026	1.4691
YHL032C	1.042	0.99778
YHL034C	0.914	2.1188
YHL035C	1.386	1.4344
YHL036W	1.022	0.9533
YHL037C	1.004	1.0255
YHL038C	1.224	1.1814
YHL039W	1.09	1.1536
YHL040C	1.036	0.98573
YHL041W	0.97	0.94259
YHL042W	1.086	1.0519
YHL043W	1.08	1.1574
YHL044W	0.866	1.003
YHL045W	1.03	0.94601
YHL046C	0.976	1.1438
YHR001W-A	1.148	0.69844
YHR003C	1.106	1.052
YHR004C	0.682	0.93005
YHR006W	1.194	1.0256
YHR009C	1.246	1.006
YHR012W	0.736	0.88588
YHR014W	0.992	0.94843
YHR015W	0.99	0.94888
YHR016C	1.212	0.97423
YHR017W	1.444	1.0059
YHR018C	1.11	1.2276
YHR021W-A	1.438	0.96552
YHR022C	1.174	1.1818
YHR025W	0.796	1.5591
YHR028C	1.016	1.0161
YHR029C	1.116	0.63335
YHR030C	1.394	1.3233
YHR031C	1.588	2.6704
YHR032W	1.142	1.0051
YHR033W	1.15	1.0664
YHR035W	1.076	1.1537
YHR037W	1.096	0.93844
YHR039C	1.442	1.4124
YHR043C	1.0	0.97659
YHR044C	1.164	1.057
YHR045W	0.978	0.73977
YHR046C	1.378	1.058
YHR047C	0.94	1.1191
YHR048W	1.19	1.002
YHR049C-A	1.104	1.1138
YHR049W	1.07	0.84724
YHR057C	0.896	0.97108
YHR061C	1.026	0.88124
YHR073W	0.548	0.30491
YHR075C	1.086	0.89995
YHR076W	1.122	1.192
YHR077C	1.33	2.0406
YHR078W	1.174	1.3336
YHR079C	0.798	0.46864
YHR079C-A	1.452	1.2217
YHR080C	1.056	1.2441
YHR082C	1.104	1.0029
YHR086W	0.998	0.88772
YHR087W	1.02	0.64403
YHR092C	1.184	0.59664
YHR093W	1.242	1.1429
YHR094C	1.16	0.96439
YHR095W	1.152	0.93118
YHR096C	1.114	0.97493
YHR097C	1.082	0.99036
YHR103W	1.448	2.2771
YHR104W	0.952	0.62883
YHR105W	1.076	0.96606
YHR106W	0.922	0.95259
YHR108W	0.926	1.1623
YHR109W	1.052	0.88172
YHR110W	1.176	0.93334
YHR112C	1.272	1.0335
YHR113W	1.194	1.1485
YHR114W	1.162	0.88556
YHR115C	1.02	0.87983
YHR116W	1.364	1.1535
YHR117W	1.224	0.96321
YHR121W	1.266	1.0496
YHR123W	1.25	1.0587
YHR124W	1.032	0.98756
YHR125W	1.024	1.2902
YHR126C	1.19	1.0596
YHR129C	0.704	0.54849
YHR130C	1.286	0.84234
YHR131C	1.138	1.1637
YHR132C	1.102	1.0142
YHR132W-A	1.084	1.0412
YHR133C	1.058	0.90508
YHR134W	1.344	1.5514
YHR135C	1.06	0.65593
YHR136C	1.192	0.98896
YHR137W	0.92	1.099
YHR138C	1.002	0.94753
YHR139C	1.198	1.2964
YHR139C-A	1.22	1.0443
YHR140W	1.086	1.019
YHR142W	1.31	1.076
YHR143W	1.22	1.3738
YHR146W	1.16	1.1312
YHR150W	1.028	1.0078
YHR151C	1.164	1.4769
YHR152W	1.166	1.4347
YHR153C	0.986	0.98011
YHR155W	1.366	0.89823
YHR156C	0.914	1.2897
YHR157W	0.922	1.454
YHR158C	1.098	1.1212
YHR159W	1.038	0.88581
YHR160C	0.87	1.071
YHR161C	1.054	0.87495
YHR162W	1.088	0.96171
YHR163W	1.47	1.2666
YHR167W	0.328	
YHR171W	0.96	0.82352
YHR177W	1.102	0.88635
YHR179W	0.936	0.77389
YHR180W	1.026	1.0718
YHR181W	1.058	1.0681
YHR182W	1.09	1.2645
YHR184W	1.034	1.021
YHR185C	1.014	1.1992
YHR189W	1.334	1.5635
YHR193C	0.994	0.66748
YHR195W	1.206	1.1154
YHR198C	1.168	1.3144
YHR199C	1.2	1.2034
YHR202W	1.006	1.0085
YHR204W	1.132	1.65
YHR206W	0.976	1.1777
YHR207C	1.444	1.138
YHR209W	1.168	1.1258
YHR210C	1.056	1.2296
YIL001W	1.296	0.84328
YIL002C	1.688	1.2857
YIL005W	1.108	0.50401
YIL006W	1.082	1.0454
YIL007C	1.454	1.236
YIL009C-A	1.99	3.0316
YIL009W	1.026	1.031
YIL010W	1.046	0.96529
YIL011W	1.08	0.79591
YIL012W	1.14	1.1706
YIL013C	1.234	1.2748
YIL014W	1.034	0.83829
YIL015W	1.36	0.75135
YIL016W	1.692	0.89056
YIL018W	1.084	0.80923
YIL020C	1.364	0.92371
YIL023C	1.444	0.91008
YIL024C	1.324	0.91703
YIL025C	1.652	1.0306
YIL027C	0.848	0.88831
YIL028W	1.604	0.93525
YIL029C	1.238	0.38195
YIL030C	1.056	0.76365
YIL032C	1.986	1.0118
YIL035C	0.282	0.41202
YIL038C	3.882	2.2671
YIL039W	1.968	3.0218
YIL042C	1.286	1.0225
YIL043C	1.176	1.213
YIL044C	0.844	0.89317
YIL045W	1.25	0.72932
YIL047C	1.036	0.59617
YIL050W	1.04	0.79584
YIL052C	0.53	0.59807
YIL054W	1.182	1.2205
YIL055C	1.106	0.80776
YIL056W	1.182	0.94136
YIL057C	1.208	0.54296
YIL058W	1.166	1.0993
YIL059C	1.11	1.1625
YIL064W	1.222	0.79332
YIL065C	1.062	0.50347
YIL066C	1.368	1.2579
YIL067C	1.022	1.5928
YIL069C	1.534	1.0433
YIL071C	1.106	1.0156
YIL072W	0.934	0.8948
YIL073C	0.974	0.77276
YIL074C	1.16	0.9519
YIL076W	1.088	0.73222
YIL077C	0.982	0.51848
YIL084C	0.992	0.75203
YIL085C	1.02	0.97114
YIL086C	1.142	1.1053
YIL087C	1.1	0.95547
YIL088C	1.058	0.94349
YIL089W	1.046	0.95918
YIL090W	1.394	0.99827
YIL092W	1.004	1.1832
YIL094C	1.126	1.671
YIL095W	1.0310000000000001	0.9517249999999999
YIL096C	0.986	0.80677
YIL098C	1.3	
YIL099W	1.166	1.411
YIL100W	1.188	0.96155
YIL101C	1.306	0.84657
YIL102C	1.228	1.4017
YIL105C	1.018	0.55062
YIL107C	1.244	0.74929
YIL108W	1.162	1.2287
YIL111W	1.234	0.89329
YIL112W	1.664	2.157
YIL113W	1.26	1.1909
YIL114C	1.042	1.0835
YIL116W	1.342	1.1614
YIL117C	1.11	0.96724
YIL119C	1.214	1.3109
YIL120W	1.09	1.107
YIL121W	1.19	0.49767
YIL123W	1.338	0.88513
YIL124W	1.144	0.56479
YIL125W	1.6	1.0633
YIL130W	1.228	1.2948
YIL131C	1.23	1.5174
YIL132C	1.132	2.0989
YIL135C	1.162	0.83876
YIL136W	1.082	1.5836
YIL137C	1.14	0.89023
YIL138C	1.318	0.96855
YIL139C	1.138	1.3175
YIL140W	1.35	1.1761
YIL141W	1.312	0.96362
YIL145C	1.194	1.12
YIL146C	1.092	0.88026
YIL149C	1.142	1.2191
YIL152W	0.972	0.93283
YIL153W	1.548	1.2172
YIL154C	0.798	0.39771
YIL155C	1.108	0.89661
YIL156W	0.846	0.90798
YIL157C	1.338	1.1738
YIL158W	1.096	0.86462
YIL159W	1.198	1.1614
YIL160C	0.986	0.86467
YIL161W	1.1	0.75752
YIL162W	1.016	1.0153
YIL163C	1.056	1.0848
YIL164C	1.078	0.74806
YIL165C	1.214	0.80104
YIL166C	1.176	1.0415
YIL173W	1.078	0.96136
YIR001C	1.104	0.73477
YIR002C	1.336	2.0826
YIR003W	0.966	1.1286
YIR004W	1.19	1.064
YIR007W	1.01	0.94729
YIR013C	1.09	1.1202
YIR014W	1.126	1.0145
YIR016W	1.244	1.2013
YIR017C	1.322	1.0141
YIR018W	1.18	1.0613
YIR019C	1.156	0.96016
YIR020C	1.046	1.0509
YIR020W-A	1.338	1.2366
YIR021W	1.35	1.2095
YIR023W	1.148	1.171
YIR025W	1.156	1.4876
YIR027C	1.378	1.0104
YIR028W	1.074	1.3793
YIR029W	1.198	1.1937
YIR030C	1.24	1.2127
YIR031C	0.888	1.0744
YIR032C	1.326	1.2383
YIR033W	1.268	
YIR034C	1.32	1.3253
YIR035C	1.15	1.23
YIR036C	1.132	1.0992
YIR037W	0.932	1.0942
YIR038C	1.19	1.3185
YIR039C	1.024	1.1023
YIR042C	1.092	0.96438
YJL003W	1.024	1.1187
YJL004C	0.296	0.55294
YJL007C	1.3	1.1031
YJL012C	0.952	0.98958
YJL013C	0.942	0.72563
YJL016W	1.089	1.024285
YJL020C	1.228	1.1587
YJL022W	1.578	1.4053
YJL023C	2.082	3.3655
YJL024C	0.514	0.55039
YJL027C	0.996	0.82506
YJL028W	1.01	1.0796
YJL030W	0.744	0.55909
YJL036W	1.25	1.0536
YJL037W	0.94	1.4476
YJL038C	1.094	1.1166
YJL042W	1.082	0.88734
YJL043W	0.918	0.94899
YJL044C	1.124	1.0173
YJL045W	1.092	1.0671
YJL048C	0.988	1.0288
YJL049W	1.082	1.0612
YJL051W	1.074	0.97284
YJL052W	0.894	0.49012
YJL053W	0.748	0.87899
YJL055W	1.04	1.2399
YJL057C	1.028	1.2666
YJL058C	1.208	1.0727
YJL060W	1.434	0.82129
YJL064W	1.212	1.2606
YJL065C	1.23	1.0453
YJL066C	1.146	0.90994
YJL067W	1.182	1.0444
YJL068C	0.904	0.69395
YJL070C	1.104	1.0472
YJL071W	1.154	1.1764
YJL073W	0.89	0.53723
YJL077C	1.042	1.1111
YJL078C	1.036	0.92927
YJL079C	0.988	0.88052
YJL082W	1.06	0.72096
YJL083W	0.962	1.1869
YJL084C	1.104	0.99383
YJL088W	1.066	1.184
YJL089W	1.124	1.1358
YJL093C	0.92	1.0069
YJL094C	0.996	0.7063
YJL095W	1.008	1.2906
YJL098W	1.008	1.6431
YJL099W	0.946	0.8455
YJL100W	1.204	0.91987
YJL101C	1.132	0.81076
YJL103C	1.07	0.91879
YJL105W	1.222	0.84924
YJL106W	1.03	0.98999
