orf	hom | growth (culture turbidity) | Trichothecin [1 uM] | Bin-Umer MA~Tumer NE, 2014
YAL002W	-6.13956145632838
YAL013W	-6.13956145632838
YAL021C	-6.13956145632838
YAL047C	-6.13956145632838
YBL058W	-6.13956145632838
YBL071W-A	-6.13956145632838
YBL093C	-6.13956145632838
YBR023C	-6.13956145632838
YBR081C	-6.13956145632838
YBR112C	-6.13956145632838
YBR267W	-6.13956145632838
YBR279W	-6.13956145632838
YBR289W	-6.13956145632838
YCR020W-B	-6.13956145632838
YCR044C	-6.13956145632838
YCR077C	-6.13956145632838
YCR094W	-6.13956145632838
YDL013W	-6.13956145632838
YDL023C	-6.13956145632838
YDL075W	-6.13956145632838
YDL106C	-6.13956145632838
YDL107W	-6.13956145632838
YDL136W	-6.13956145632838
YDR049W	-6.13956145632838
YDR264C	-6.13956145632838
YDR266C	-6.13956145632838
YDR433W	-6.13956145632838
YDR442W	-6.13956145632838
YDR495C	-6.13956145632838
YDR532C	-6.13956145632838
YEL044W	-6.13956145632838
YER070W	-6.13956145632838
YER087W	-6.13956145632838
YER151C	-6.13956145632838
YFR010W	-6.13956145632838
YGL012W	-6.13956145632838
YGL038C	-6.13956145632838
YGL058W	-6.13956145632838
YGL070C	-6.13956145632838
YGR006W	-6.13956145632838
YGR063C	-6.13956145632838
YGR092W	-6.13956145632838
YGR104C	-6.13956145632838
YGR196C	-6.13956145632838
YGR262C	-6.13956145632838
YGR271W	-6.13956145632838
YHL025W	-6.13956145632838
YHR013C	-6.13956145632838
YHR030C	-6.13956145632838
YIL146C	-6.13956145632838
YJL028W	-6.13956145632838
YJL095W	-6.13956145632838
YJL129C	-6.13956145632838
YJL175W	-6.13956145632838
YJL184W	-6.13956145632838
YJR090C	-6.13956145632838
YJR102C	-6.13956145632838
YKL002W	-6.13956145632838
YKL053C-A	-6.13956145632838
YKL139W	-6.13956145632838
YKL213C	-6.13956145632838
YKR004C	-6.13956145632838
YKR023W	-6.13956145632838
YKR082W	-6.13956145632838
YKR093W	-6.13956145632838
YLR025W	-6.13956145632838
YLR027C	-6.13956145632838
YLR226W	-6.13956145632838
YLR234W	-6.13956145632838
YLR240W	-6.13956145632838
YLR322W	-6.13956145632838
YLR330W	-6.13956145632838
YLR337C	-6.13956145632838
YLR338W	-6.13956145632838
YLR370C	-6.13956145632838
YLR417W	-6.13956145632838
YML008C	-6.13956145632838
YML012C-A	-6.13956145632838
YML062C	-6.13956145632838
YML094W	-6.13956145632838
YML112W	-6.13956145632838
YMR032W	-6.13956145632838
YMR077C	-6.13956145632838
YMR202W	-6.13956145632838
YMR263W	-6.13956145632838
YNL054W	-6.13956145632838
YNL064C	-6.13956145632838
YNL070W	-6.13956145632838
YNL084C	-6.13956145632838
YNL097C	-6.13956145632838
YNL133C	-6.13956145632838
YNL140C	-6.13956145632838
YNL147W	-6.13956145632838
YNL229C	-6.13956145632838
YNL236W	-6.13956145632838
YNR051C	-6.13956145632838
YNR052C	-6.13956145632838
YOL004W	-6.13956145632838
YOL051W	-6.13956145632838
YOL068C	-6.13956145632838
YOL086C	-6.13956145632838
YOL148C	-6.13956145632838
YOR026W	-6.13956145632838
YOR035C	-6.13956145632838
YOR036W	-6.13956145632838
YOR124C	-6.13956145632838
YOR152C	-6.13956145632838
YOR269W	-6.13956145632838
YOR290C	-6.13956145632838
YOR298C-A	-6.13956145632838
YOR302W	-6.13956145632838
YPL042C	-6.13956145632838
YPL045W	-6.13956145632838
YPL050C	-6.13956145632838
YPL084W	-6.13956145632838
YPL129W	-6.13956145632838
YPL254W	-6.13956145632838
YPL268W	-6.13956145632838
YPR043W	-6.13956145632838
YPR072W	-6.13956145632838
YPR173C	-6.13956145632838
