ORF	hom | growth (culture turbidity) | Trichothecin [1 uM] | Bin-Umer MA~Tumer NE, 2014
YHR030C	-1.000
YGR104C	-1.000
YKL213C	-1.000
YKR093W	-1.000
YNR051C	-1.000
YJR102C	-1.000
YKR082W	-1.000
YMR077C	-1.000
YHL025W	-1.000
YAL013W	-1.000
YAL002W	-1.000
YJL095W	-1.000
YLR025W	-1.000
YLR027C	-1.000
YLR234W	-1.000
YLR322W	-1.000
YLR330W	-1.000
YLR417W	-1.000
YML062C	-1.000
YML013C-A	-1.000
YML008C	-1.000
YMR032W	-1.000
YMR263W	-1.000
YNL236W	-1.000
YNL229C	-1.000
YOR026W	-1.000
YOR035C	-1.000
YOR036W	-1.000
YOR124C	-1.000
YOR152C	-1.000
YOR290C	-1.000
YOL004W	-1.000
YOL068C	-1.000
YPL084W	-1.000
YPR173C	-1.000
YDR049W	-1.000
YDR264C	-1.000
YDR266C	-1.000
YEL044W	-1.000
YER070W	-1.000
YER087W	-1.000
YFR010W	-1.000
YGL012W	-1.000
YGR006W	-1.000
YGR196C	-1.000
YCR077C	-1.000
YDL107W	-1.000
YDL136W	-1.000
YNL084C	-1.000
YNL054W	-1.000
YBR023C	-1.000
YLR370C	-1.000
YGR063C	-1.000
YGR092W	-1.000
YJL129C	-1.000
YJL175W	-1.000
YJL184W	-1.000
YKR023W	-1.000
YBR112C	-1.000
YNL070W	-1.000
YNL097C	-1.000
YKL053C-A	-1.000
YOR269W	-1.000
YOR302W	-1.000
YNR052C	-1.000
YPL268W	-1.000
YPR043W	-1.000
YER151C	-1.000
YBR081C	-1.000
YGR271W	-1.000
YOL148C	-1.000
YGL038C	-1.000
YDL013W	-1.000
YDL023C	-1.000
YDL075W	-1.000
YDR495C	-1.000
YHR013C	-1.000
YCR094W	-1.000
YGR262C	-1.000
YOL086C	-1.000
YML094W	-1.000
YML112W	-1.000
YKL002W	-1.000
YLR226W	-1.000
YLR240W	-1.000
YLR337C	-1.000
YLR338W	-1.000
YOL051W	-1.000
YPL254W	-1.000
YPL129W	-1.000
YPL050C	-1.000
YPL045W	-1.000
YPL042C	-1.000
YPR072W	-1.000
YBL058W	-1.000
YBL093C	-1.000
YBR267W	-1.000
YGL058W	-1.000
YGL070C	-1.000
YBR279W	-1.000
YCR020W-B	-1.000
YCR044C	-1.000
YAL047C	-1.000
YJR090C	-1.000
YDL106C	-1.000
YJL028W	-1.000
YNL133C	-1.000
YNL064C	-1.000
YKL139W	-1.000
YBR289W	-1.000
YNL140C	-1.000
YDR442W	-1.000
YDR532C	-1.000
YBL071W-A	-1.000
YAL021C	-1.000
YKR004C-A	-1.000
YMR202W	-1.000
YNL147W	-1.000
YOR298C-A	-1.000
YDR433W	-1.000
YIL146C	-1.000
