orf	hom | growth (pooled CFU) | BRCA1 overexpression [GAL] | SC - Ura, Gal [2%] | Bennett CB~Marks JR, 2008
YAL042C-A	15.093044755780724
YGL017W	15.093044755780724
YGR053C	15.093044755780724
YGR063C	15.093044755780724
YGR064W	15.093044755780724
YHL009C	15.093044755780724
YIL149C	15.093044755780724
YJL020C	15.093044755780724
YJR014W	15.093044755780724
YJR150C	15.093044755780724
YLR018C	15.093044755780724
YLR335W	15.093044755780724
YMR039C	15.093044755780724
YMR172C-A	15.093044755780724
YNL079C	15.093044755780724
YNL107W	15.093044755780724
YNL183C	15.093044755780724
YPL161C	15.093044755780724
YPL249C	15.093044755780724
YPR179C	15.093044755780724
