Folder	File	Timepoint	Plate	Replicates	Header	Medium	Date	Hour	Header
101_1	101_1.dat	1	101	3	Filter 8: 620: DiKU+No Trp	DiKU-Trp	04-30	5:00pm	DiKU+No Trp
101_1	101_1.dat	1	101	3	Filter 8: 620:DiKU+trp	DiKU+Trp	04-30	5:00pm	DiKU+trp
101_1	101_1.dat	1	101	3	Filter 8: 620: HLKU medium 30/04/03 5:00pm	HLKU	04-30	5:00pm	HLKU medium 30/04/03 5:00pm
101_1	101_2.dat	2	101	3	Filter 8: 620 DiKU+no trp 9:30pm	DiKU-Trp	04-30	9:30pm	DiKU+no trp 9:30pm
101_1	101_2.dat	2	101	3	Filter 8: 620 DiKU+trp	DiKU+Trp	04-30	9:30pm	DiKU+trp
101_1	101_2.dat	2	101	3	Filter 8: 620 HLKU 9:30pm	HLKU	04-30	9:30pm	HLKU 9:30pm
101_1	101_3.dat	3	101	3	Filter 8: 620 DiKU+no trp 1:00am	DiKU-Trp	05-01	1:00am	DiKU+no trp 1:00am
101_1	101_3.dat	3	101	3	Filter 8: 620 DiKU+Trp	DiKU+Trp	05-01	1:00am	DiKU+Trp
101_1	101_3.dat	3	101	3	Filter 8: 620 HLKU 1:00am	HLKU	05-01	1:00am	HLKU 1:00am
101_1	101_4.dat	4	101	3	Filter 8: 620 DiKU+no Trp 9:00am	DiKU-Trp	05-01	9:00am	DiKU+no Trp 9:00am
101_1	101_4.dat	4	101	3	Filter 8: 620 DIKU+Trp 9:00am	DiKU+Trp	05-01	9:00am	DIKU+Trp 9:00am
101_1	101_4.dat	4	101	3	Filter 8: 620 HLKU 9:00am	HLKU	05-01	9:00am	HLKU 9:00am
101_1	101_5.dat	5	101	3	Filter 8: 620 DiKU+no Trp 1:30pm	DiKU-Trp	05-01	1:30pm	DiKU+no Trp 1:30pm
101_1	101_5.dat	5	101	3	Filter 8: 620 DiKU+Trp 1:30pm	DiKU+Trp	05-01	1:30pm	DiKU+Trp 1:30pm
101_1	101_5.dat	5	101	3	Filter 8: 620 HLKU 1:30pm	HLKU	05-01	1:30pm	HLKU 1:30pm
101_1	101_6.dat	6	101	3	Filter 8: 620 DiKU+no Trp 5:30pm	DiKU-Trp	05-01	5:30pm	DiKU+no Trp 5:30pm
101_1	101_6.dat	6	101	3	Filter 8: 620 DiKU+Trp 5:30pm	DiKU+Trp	05-01	5:30pm	DiKU+Trp 5:30pm
101_1	101_6.dat	6	101	3	Filter 8: 620 HLKU 5:30pm	HLKU	05-01	5:30pm	HLKU 5:30pm
101_1	101_7.dat	7	101	3	Filter 8: 620 DiKU+No Trp 10:11pm	DiKU-Trp	05-01	10:11pm	DiKU+No Trp 10:11pm
101_1	101_7.dat	7	101	3	Filter 8: 620 DiKU+Trp 10:11pm	DiKU+Trp	05-01	10:11pm	DiKU+Trp 10:11pm
101_1	101_7.dat	7	101	3	Filter 8: 620 HLKU 10:11pm	HLKU	05-01	10:11pm	HLKU 10:11pm
101_1	101_8.dat	8	101	3	Filter 8: 620 DiKU+no Trp 10:15am	DiKU-Trp	05-02	10:15am	DiKU+no Trp 10:15am
101_1	101_8.dat	8	101	3	Filter 8: 620 DiKU+Trp 10:15am	DiKU+Trp	05-02	10:15am	DiKU+Trp 10:15am
101_1	101_9.dat	9	101	3	Filter 8: 620 6:31pm DiKU+no Trp	DiKU-Trp	05-02	6:31pm	6:31pm DiKU+no Trp
101_1	101_9.dat	9	101	3	Filter 8: 620 DiKU+trp 6:30pm	DiKU+Trp	05-02	6:30pm	DiKU+trp 6:30pm
101_1	101_10.dat	10	101	3	Filter 8: 620 2:10pm after overnite room temperature				2:10pm after overnite room temperature
101_1	101_10.dat	10	101	3	Filter 8: 620 2:10pm after overnite room Temp				2:10pm after overnite room Temp
101_2	101_2_1.dat	1	101	4	Filter 8: 620 DiKU+His+no Trp 8:00pm	DiKU-Trp	01-01	8:00pm	DiKU+His+no Trp 8:00pm
101_2	101_2_1.dat	1	101	4	Filter 8: 620 DiKU+His+Trp 8:00pm	DiKU+Trp	01-01	8:00pm	DiKU+His+Trp 8:00pm
101_2	101_2_1.dat	1	101	4	Filter 8: 620 HLKU 8:00pm	HLKU	01-01	8:00pm	HLKU 8:00pm
101_2	101_2_2.dat	2	101	4	Filter 8: 620 DiKU+His+no Trp 10:06am	DiKU-Trp	01-02	10:06am	DiKU+His+no Trp 10:06am
101_2	101_2_2.dat	2	101	4	Filter 8: 620 DiKU+His+Trp 10:06am	DiKU+Trp	01-02	10:06am	DiKU+His+Trp 10:06am
101_2	101_2_2.dat	2	101	4	Filter 8: 620 HLKU 10:06am	HLKU	01-02	10:06am	HLKU 10:06am
101_2	101_2_3.dat	3	101	4	Filter 8: 620 DiKU+His+no Trp 10:47pm	DiKU-Trp	01-02	10:47pm	DiKU+His+no Trp 10:47pm
101_2	101_2_3.dat	3	101	4	Filter 8: 620 DiKU+His+Trp 10:47pm	DiKU+Trp	01-02	10:47pm	DiKU+His+Trp 10:47pm
101_2	101_2_3.dat	3	101	4	Filter 8: 620 HLKU 10:47pm	HLKU	01-02	10:47pm	HLKU 10:47pm
101_2	101_2_4.dat	4	101	4	Filter 8: 620 DiKU+His+no Trp 10:49am	DiKU-Trp	01-03	10:49am	DiKU+His+no Trp 10:49am
101_2	101_2_4.dat	4	101	4	Filter 8: 620 DiKU+His+Trp 10:49am	DiKU+Trp	01-03	10:49am	DiKU+His+Trp 10:49am
101_2	101_2_4.dat	4	101	4	Filter 8: 620 HLKU 8:49am	HLKU	01-03	8:49am	HLKU 8:49am
101_2	101_2_5.dat	5	101	4	Filter 8: 620 DiKU+His+no Trp 11:31pm	DiKU-Trp	01-03	11:31pm	DiKU+His+no Trp 11:31pm
101_2	101_2_5.dat	5	101	4	Filter 8: 620 DiKU+His+Trp 11:30pm	DiKU+Trp	01-03	11:30pm	DiKU+His+Trp 11:30pm
101_2	101_2_5.dat	5	101	4	Filter 8: 620 HLKU 11:30pm	HLKU	01-03	11:30pm	HLKU 11:30pm
101_2	101_2_6.dat	6	101	4	Filter 8: 620 DiKU+His+no Trp 11:57am	DiKU-Trp	01-04	11:57am	DiKU+His+no Trp 11:57am
101_2	101_2_6.dat	6	101	4	Filter 8: 620 DiKU+His+Trp 11:57pm	DiKU+Trp	01-04	11:57pm	DiKU+His+Trp 11:57pm
102	102_1.dat	1	102	3	Filter 8: 620 DiKU+no trp 6:51pm	DiKU-Trp	01-01	6:51pm	DiKU+no trp 6:51pm
102	102_1.dat	1	102	3	Filter 8: 620 DiKU+Trp 6:51pm	DiKU+Trp	01-01	6:51pm	DiKU+Trp 6:51pm
102	102_1.dat	1	102	3	Filter 8: 620 HLKU 6:51pm	HLKU	01-01	6:51pm	HLKU 6:51pm
102	102_2.dat	2	102	3	Filter 8: 620 DiKU+no trp 11:31pm	DiKU-Trp	01-01	11:31pm	DiKU+no trp 11:31pm
102	102_2.dat	2	102	3	Filter 8: 620 DiKU+Trp 11:31pm	DiKU+Trp	01-01	11:31pm	DiKU+Trp 11:31pm
102	102_2.dat	2	102	3	Filter 8: 620 HLKU 11:31pm	HLKU	01-01	11:31pm	HLKU 11:31pm
102	102_3.dat	3	102	3	Filter 8: 620 DiKU+no Trp 9:16am	DiKU-Trp	01-02	9:16am	DiKU+no Trp 9:16am
102	102_3.dat	3	102	3	Filter 8: 620 DiKU+Try 9:16am	DiKU+Trp	01-02	9:16am	DiKU+Try 9:16am
102	102_3.dat	3	102	3	Filter 8: 620 HLKU 9:16am	HLKU	01-02	9:16am	HLKU 9:16am
102	102_4.dat	4	102	3	Filter 8: 620 DiKU+no Trp 2:15pm	DiKU-Trp	01-02	2:15pm	DiKU+no Trp 2:15pm
102	102_4.dat	4	102	3	Filter 8: 620 DiKU+Trp 2:15pm	DiKU+Trp	01-02	2:15pm	DiKU+Trp 2:15pm
102	102_4.dat	4	102	3	Filter 8: 620 HLKU 2:14pm	HLKU	01-02	2:14pm	HLKU 2:14pm
102	102_5.dat	5	102	3	Filter 8: 620 DiKU+no Trp 10:30pm	DiKU-Trp	01-02	10:30pm	DiKU+no Trp 10:30pm
102	102_5.dat	5	102	3	Filter 8: 620 DiKU+Trp 10:30pm	DiKU+Trp	01-02	10:30pm	DiKU+Trp 10:30pm
102	102_5.dat	5	102	3	Filter 8: 620 HLKU  10:30pm	HLKU	01-02	10:30pm	HLKU  10:30pm
102	102_6.dat	6	102	3	Filter 8: 620 DiKU+no Trp 8:25am	DiKU-Trp	01-03	8:25am	DiKU+no Trp 8:25am
102	102_6.dat	6	102	3	Filter 8: 620 DiKU+Trp 8:25am	DiKU+Trp	01-03	8:25am	DiKU+Trp 8:25am
102	102_6.dat	6	102	3	Filter 8: 620 HLKU 8:25am	HLKU	01-03	8:25am	HLKU 8:25am
102	102_7.dat	7	102	3	Filter 8: 620 DiKU+no Trp 3:14pm	DiKU-Trp	01-03	3:14pm	DiKU+no Trp 3:14pm
102	102_7.dat	7	102	3	Filter 8: 620 DiKU+Trp 3:14pm	DiKU+Trp	01-03	3:14pm	DiKU+Trp 3:14pm
102	102_7.dat	7	102	3	Filter 8: 620 HLKU 3:14pm	HLKU	01-03	3:14pm	HLKU 3:14pm
102	102_8.dat	8	102	3	Filter 8: 620 DiKU+no Trp 11:38pm	DiKU-Trp	01-03	11:38pm	DiKU+no Trp 11:38pm
102	102_8.dat	8	102	3	Filter 8: 620 DiKU+Trp 11:38pm	DiKU+Trp	01-03	11:38pm	DiKU+Trp 11:38pm
102	102_8.dat	8	102	3	Filter 8: 620 HLKU 11:38pm	HLKU	01-03	11:38pm	HLKU 11:38pm
102	102_9.dat	9	102	3	Filter 8: 620 DiKU+no Trp 2:32pm	DiKU-Trp	01-04	2:32pm	DiKU+no Trp 2:32pm
102	102_9.dat	9	102	3	Filter 8: 620 DiKU+Trp 2:32pm	DiKU+Trp	01-04	2:32pm	DiKU+Trp 2:32pm
102	102_9.dat	9	102	3	Filter 8: 620 HLKU 2:31pm	HLKU	01-04	2:31pm	HLKU 2:31pm
102	102_10.dat	10	102	3	Filter 8: 620 DiKU+no trp 11:51pm	DiKU-Trp	01-04	11:51pm	DiKU+no trp 11:51pm
102	102_10.dat	10	102	3	Filter 8: 620 DiKU+Trp 11:51pm	DiKU+Trp	01-04	11:51pm	DiKU+Trp 11:51pm
102	102_11.dat	11	102	3	Filter 8: 620 DiKU+no Trp 12:46pm	DiKU-Trp	01-05	12:46pm	DiKU+no Trp 12:46pm
