ORF	hap a | transport to/from cell surface (Fus1-Mid2 chimera) | galactose [2%], raffinose [2%] | Proszynski TJ~Walch, 2005	
YJL139C	0.000	1.000
YDR050C	1.000	1.000
YMR205C	1.000	1.000
YBR183W	1.000	0.000
YDR297W	1.000	0.000
YGL012W	1.000	0.000
YIL124W	1.000	0.000
YLR372W	0.000	1.000
YML008C	1.000	0.000
YBL038W	0.000	1.000
YDL107W	1.000	0.000
YDR079W	1.000	0.000
YDR116C	1.000	0.000
YDR175C	1.000	0.000
YDR194C	1.000	0.000
YDR296W	1.000	0.000
YDR377W	1.000	0.000
YDR405W	1.000	0.000
YJL063C	1.000	0.000
YLR069C	0.000	1.000
YLR295C	1.000	0.000
YLR312W-A	1.000	0.000
YNR022C	1.000	1.000
YPL188W	0.000	1.000
YDR065W	1.000	0.000
YDR259C	1.000	0.000
YDR448W	1.000	0.000
YGL013C	1.000	1.000
YGL025C	0.000	1.000
YGL090W	0.000	1.000
YGL094C	0.000	1.000
YHR156C	1.000	0.000
YHR163W	1.000	0.000
YIL128W	1.000	0.000
YKL109W	0.000	1.000
YNR010W	0.000	1.000
YOR290C	0.000	1.000
YOR359W	1.000	1.000
YPL086C	1.000	0.000
YNL294C	1.000	0.000
YDL128W	1.000	0.000
YDL134C	0.000	1.000
YDL243C	1.000	0.000
YDR270W	0.000	1.000
YFL041W	1.000	0.000
YGL045W	1.000	0.000
YHL007C	1.000	0.000
YHR137W	1.000	0.000
YJL073W	1.000	0.000
YJR105W	0.000	1.000
YKL117W	1.000	0.000
YER151C	1.000	0.000
YLR028C	0.000	1.000
YLR081W	0.000	1.000
YLR299W	0.000	1.000
YLR399C	1.000	1.000
YMR170C	0.000	1.000
YDL118W	1.000	0.000
YOR008C	0.000	1.000
YOR027W	0.000	1.000
YOR316C	0.000	1.000
YPL270W	0.000	1.000
YHR064C	1.000	0.000
YLR344W	0.000	1.000
YOL090W	0.000	1.000
YFR019W	1.000	0.000
YBR131W	1.000	0.000
YAL042W	0.000	1.000
YAL020C	0.000	1.000
YBR097W	1.000	0.000
YCR009C	1.000	1.000
YDL113C	1.000	0.000
YDL226C	1.000	0.000
YDR080W	1.000	0.000
YDR173C	1.000	0.000
YDR233C	1.000	0.000
YDR264C	1.000	0.000
YFL027C	1.000	0.000
YGL124C	1.000	0.000
YGR078C	1.000	0.000
YGR136W	1.000	0.000
YLL038C	1.000	0.000
YLR330W	1.000	0.000
YLR337C	1.000	0.000
YLR371W	0.000	1.000
YML001W	1.000	0.000
YNL153C	1.000	0.000
YNL084C	1.000	0.000
YNL064C	1.000	1.000
YOR035C	0.000	1.000
YPL145C	1.000	0.000
YCL001W-A	1.000	0.000
YER119C-A	0.000	1.000
YHR045W	1.000	0.000
YOR306C	1.000	0.000
YAL066W	0.000	1.000
YAL046C	1.000	0.000
YBR071W	0.000	1.000
YBR230C	0.000	1.000
YDL104C	1.000	0.000
YDL146W	1.000	0.000
YGL015C	1.000	0.000
YDR049W	1.000	0.000
YDR078C	1.000	0.000
YDR089W	1.000	1.000
YDR115W	1.000	0.000
YDR230W	1.000	0.000
YDR241W	1.000	0.000
YDR336W	0.000	1.000
YFL023W	1.000	0.000
YGL024W	0.000	1.000
YHL017W	1.000	0.000
YJL107C	1.000	0.000
YJL084C	0.000	1.000
YJL068C	1.000	0.000
YJL059W	1.000	0.000
YJL045W	1.000	0.000
YKL169C	1.000	0.000
YKR054C	1.000	1.000
YKR064W	1.000	1.000
YLR254C	1.000	0.000
YLR294C	1.000	0.000
YLR296W	1.000	0.000
YLR312C	0.000	1.000
YLR338W	1.000	1.000
YMR173W-A	1.000	0.000
YMR185W	1.000	1.000
YMR187C	0.000	1.000
YNL203C	1.000	0.000
YNR018W	1.000	1.000
YOR318C	1.000	1.000
YPL253C	0.000	1.000
YPL247C	0.000	1.000
YPL236C	0.000	1.000
YPL199C	0.000	1.000
YPR114W	1.000	1.000
YPR123C	1.000	0.000
