orf	hap a | chronological lifespan | time [9 days] | Fabrizio P~Longo VD, 2010	hap a | chronological lifespan | time [11 days] | Fabrizio P~Longo VD, 2010	hap a | chronological lifespan | time [15 days] | Fabrizio P~Longo VD, 2010	hap a | chronological lifespan | time [20 days] | Fabrizio P~Longo VD, 2010
YAL002W	-1.3615	-1.355	-1.1644999999999999	-0.916
YAL004W	-0.16499999999999998	-0.1945	-0.602	-0.20999999999999996
YAL005C	0.08499999999999999	-0.149	0.4745	0.6225
YAL007C	0.24	-0.08549999999999999	-0.079	-0.026500000000000024
YAL008W	0.23550000000000001	-0.1405	-0.5285	-0.216
YAL011W	0.2075	-0.1565	-3.566	-0.6025
YAL012W	-0.5805	-0.0645	-1.31	-0.44549999999999995
YAL013W	-1.513	-1.6469999999999998	-0.3595	-1.9594999999999998
YAL014C	0.08299999999999999	-0.06899999999999999	0.523	0.8745
YAL015C	0.189	0.040999999999999995	0.15200000000000002	0.1355
YAL017W	0.384	0.303	0.3015	0.5085000000000001
YAL018C	0.030499999999999996	-0.24050000000000002	0.0075	-0.094
YAL019W	0.234	-0.1775	-0.992	-0.6165
YAL020C	0.6085	-0.5165	-2.1505	-0.831
YAL022C	0.1385	-0.011999999999999997	0.248	0.4445
YAL024C	0.033	-0.07550000000000001	-0.3075	-0.4285
YAL026C	-0.09799999999999999	-0.20649999999999996	-1.3685	-0.0085
YAL027W	0.161	-0.11299999999999999	0.1905	0.786
YAL028W	0.028000000000000004	-0.0315	-0.013000000000000001	0.04999999999999999
YAL029C	0.199	-0.019000000000000003	-0.1205	0.20800000000000002
YAL030W	0.1815	0.042	0.21050000000000002	0.5145
YAL031C	0.226	0.0725	-0.1035	0.524
YAL034C	-0.2365	-0.7665	-0.5245	-0.596
YAL036C	0.07	-0.12200000000000001	0.1745	0.335
YAL037W	0.201	0.036	0.16549999999999998	0.4245
YAL040C	0.174	-0.155	-0.299	-0.47750000000000004
YAL042C-A	0.5015	-1.316	-0.7210000000000001	-0.4285
YAL042W	0.2275	-0.049	-0.268	-0.0475
YAL044C	-1.0625	-2.855	-2.5854999999999997	-1.2610000000000001
YAL045C	0.21150000000000002	0.0865	0.27749999999999997	0.5495
YAL046C	0.1245	0.02749999999999999	0.37550000000000006	0.624
YAL049C	0.2495	-0.623	0.10350000000000001	0.13449999999999998
YAL051W	0.0905	-0.3755	0.055499999999999994	-0.33
YAL053W	0.26749999999999996	0.08399999999999999	0.2395	0.37849999999999995
YAL054C	-0.11200000000000002	-0.1345	-0.23850000000000002	-0.6665000000000001
YAL055W	-0.1675	-0.7364999999999999	-0.383	-0.40850000000000003
YAL056C-A	-0.676	-0.855	-1.883	-0.6095
YAL056W	-1.2785	-1.5375	-0.9765	-1.432
YAL059W	0.417	-0.2825	-3.202	-1.7725
YAL060W	0.2045	0.07250000000000001	0.353	0.7849999999999999
YAL061W	0.14150000000000001	0.06549999999999999	0.5225	0.72
YAL062W	0.1555	-0.14950000000000002	-0.801	-1.052
YAL064C-A	-0.010500000000000002	-0.0135	-0.1605	-0.1315
YAL065C	0.199	0.0029999999999999957	-0.0605	0.24100000000000002
YAL066W	0.31499999999999995	-0.14	-0.07100000000000001	0.368
YAL067C	0.22899999999999998	-0.0865	-0.04550000000000001	-0.0955
YAL068C	-0.1665	-0.6054999999999999	0.163	0.7255
YAR002C-A	0.119	0.0505	-0.027499999999999997	0.012499999999999997
YAR003W	-0.753	-2.3899999999999997	-3.474	-2.2375
YAR015W	0.7625	0.0005000000000000004	-2.226	-2.8845
YAR020C	0.1515	-0.09849999999999999	-0.18300000000000002	0.224
YAR023C	0.1745	-0.005999999999999998	0.3215	0.36200000000000004
YAR027W	0.163	0.0635	0.44799999999999995	0.6475
YAR028W	0.168	-0.020999999999999998	0.0325	0.2885
YAR029W	-0.31000000000000005	-0.47250000000000003	-0.9325	-1.326
YAR030C	0.1915	0.0475	0.1915	0.5355
YAR031W	0.127	-0.017	-0.07300000000000001	0.28450000000000003
YAR035W	0.127	-0.044	-0.013499999999999984	-0.094
YAR042W	0.119	-0.06875	0.17174999999999999	0.32575
YAR047C	0.2905	-0.0465	-0.06399999999999997	-0.177
YAR050W	0.0014999999999999979	-0.13449999999999998	-0.10749999999999998	-0.219
YBL001C	0.073	0.049	0.0605	-0.751
YBL003C	-0.126	-0.39549999999999996	-0.363	-0.767
YBL005W	0.017	-0.0885	-0.386	-0.19299999999999998
YBL006C	-0.40850000000000003	-0.4535	-0.781	-0.3815
YBL007C	-0.568	-0.5645	-0.26649999999999996	-0.8375
YBL008W	-0.0155	0.051000000000000004	-0.7245	-1.2530000000000001
YBL009W	-0.101	-0.21299999999999997	-0.248	-0.532
YBL010C	-0.3285	0.044500000000000005	-0.277	-0.42750000000000005
YBL011W	0.0385	0.025500000000000002	0.028000000000000004	0.0165
YBL012C	-2.802	-2.2215000000000003	-2.505	-2.5069999999999997
YBL013W	-0.4885	-0.5479999999999999	-1.446	-2.085
YBL015W	-0.23249999999999998	-0.36200000000000004	-0.2765	-1.03
YBL016W	0.18100000000000002	0.5185	0.1975	-0.486
YBL017C	0.07800000000000001	-0.22	-0.16300000000000003	-0.31999999999999995
YBL019W	-0.128	-0.2735	-0.6715	-0.617
YBL021C	-1.1205	-1.0855	-2.6740000000000004	-1.5234999999999999
YBL027W	0.0825	-0.1605	-0.12200000000000001	-0.0505
YBL028C	-0.1945	-0.104	-0.0050000000000000044	0.492
YBL029W	0.1285	0.0485	0.1895	-0.30000000000000004
YBL031W	-0.17550000000000002	0.010000000000000002	-0.315	-0.442
YBL032W	-0.532	-0.9605	-0.5035000000000001	-1.116
YBL036C	-0.0135	0.015	0.249	0.13
YBL037W	-0.184	-1.1945000000000001	-1.4695	-1.3279999999999998
YBL038W	-1.795	-1.7	-1.2389999999999999	-1.2325
YBL039C	0.7695000000000001	0.803	-0.4215	0.9024999999999999
YBL042C	0.8334999999999999	0.5785	0.048500000000000015	0.8025
YBL043W	0.269	-0.8945000000000001	0.28049999999999997	-0.4995
YBL045C	-1.8975	-1.9380000000000002	-2.324	-1.3955
YBL046W	-0.1455	0.02500000000000001	0.087	0.159
YBL048W	-0.1785	-0.212	-0.592	-0.6435
YBL049W	-0.2195	-0.3045	-0.7384999999999999	-0.9655
YBL051C	-0.4485	-0.778	-1.4945	-0.6825
YBL052C	-0.375	-0.1695	-0.4165	-0.43400000000000005
YBL053W	-0.1575	-0.2205	-0.2835	-0.42200000000000004
YBL054W	0.0335	-0.11999999999999998	0.013000000000000012	0.01100000000000001
YBL055C	-0.07600000000000001	-0.6960000000000001	-0.5875	-1.058
YBL056W	-0.11599999999999999	-0.053500000000000006	-0.46199999999999997	-0.477
YBL057C	-0.1035	-0.016	-0.3255	-0.4245
YBL059W	-0.3625	-0.34450000000000003	-0.5665	-0.1925
YBL060W	-0.024999999999999998	-0.5715	-0.47650000000000003	-0.9245
YBL061C	-0.5785	-0.491	-0.35350000000000004	-1.025
YBL062W	-0.6635	-0.8520000000000001	-0.6465000000000001	-1.361
YBL063W	0.048999999999999995	-0.0025000000000000022	-0.2675	-0.28700000000000003
YBL064C	-0.020499999999999997	-0.1195	-0.5675	-1.1545
YBL065W	-0.1105	0.096	0.07100000000000001	-0.378
YBL066C	-0.007000000000000001	0.124	0.15799999999999997	0.3335
YBL067C	0.034	0.045	0.08300000000000002	-0.11050000000000001
YBL068W	-0.056	-0.0755	-0.27549999999999997	-0.7195
YBL069W	-0.008999999999999998	0.051000000000000004	0.10099999999999999	-0.28
YBL070C	-0.0225	-0.1685	-0.39649999999999996	-0.34750000000000003
YBL071C	-0.0915	-0.030000000000000002	-0.20550000000000002	0.3995
YBL072C	-0.2535	-0.0020000000000000018	-0.3175	-0.352
YBL075C	0.05	0.0925	0.3115	-0.1395
YBL078C	0.35550000000000004	0.383	-0.9465	-1.0055
YBL079W	-1.509	-0.8225	-0.759	-0.45849999999999996
YBL080C	-1.768	-1.9845000000000002	-1.8980000000000001	-1.1315
YBL081W	0.11599999999999999	-0.4739999999999999	0.07050000000000001	-0.453
YBL082C	0.27899999999999997	-0.363	-0.34800000000000003	-1.1135
YBL083C	0.27	-0.252	-1.3815	-1.9104999999999999
YBL085W	0.014499999999999999	-0.1095	-0.3235	-0.376
YBL086C	0.087	0.09949999999999999	-0.17149999999999999	0.003500000000000003
YBL087C	-0.24	-0.905	-0.515	-0.827
YBL088C	0.027	-0.047	-0.144	-0.371
YBL089W	-0.47450000000000003	-1.322	-1.8365	-1.403
YBL090W	-2.3390000000000004	-2.2035	-2.0215	-1.5685
YBL091C	-0.11149999999999999	-0.256	-0.913	-1.1225
YBL091C-A	-0.0525	-0.0875	-0.024999999999999994	0.1895
YBL095W	0.038000000000000006	0.0755	0.1305	-0.0040000000000000036
YBL096C	0.081	-0.20350000000000001	-0.009499999999999995	0.007000000000000006
YBL098W	-0.054000000000000006	0.0665	0.023500000000000007	0.023
YBL101C	-0.35550000000000004	-0.12	-0.018500000000000016	0.0625
YBL102W	0.13	0.082	0.3365	0.3725
YBL103C	0.11349999999999999	0.2375	0.2755	-0.22450000000000003
YBL104C	0.0825	0.304	0.44499999999999995	0.5700000000000001
