ORF	hom | growth (relative abundance in pooled culture) | MUC7 peptide [5 uM], time [24 h] | Lis M~Bobek LA, 2009	hom | growth (relative abundance in pooled culture) | MUC7 peptide [5 uM], time [48 h] | Lis M~Bobek LA, 2009
YAL002W	-0.113	-0.645
YAL004W	0.254	0.292
YAL005C	0.396	0.606
YAL007C	0.103	0.114
YAL008W	0.522	0.117
YAL009W	0.199	0.394
YAL011W	0.048	-0.139
YAL013W	-0.027	0.088
YAL014C	0.084	0.364
YAL015C	0.293	0.162
YAL016W	-0.125	0.115
YAL017W	0.326	0.090
YAL018C	0.160	-0.053
YAL019W	-0.044	-0.238
YAL020C	-0.081	-0.334
YAL021C	0.021	-0.056
YAL022C	0.105	0.277
YAL023C	0.148	-0.397
YAL024C	0.009	-0.811
YAL026C	0.201	-0.273
YAL027W	0.159	-0.220
YAL028W	0.166	0.248
YAL029C	0.564	0.019
YAL030W	-0.073	-0.052
YAL031C	-0.014	0.011
YAL034C	0.150	0.266
YAL035W	-0.386	-0.342
YAL036C	0.156	0.109
YAL037W	0.430	0.069
YAL039C	-0.100	-0.358
YAL040C	0.007	-1.002
YAL042W	-0.055	-0.243
YAL043C-A	0.211	-0.234
YAL044C	0.110	-0.098
YAL045C	0.463	0.198
YAL046C	0.005	-0.100
YAL047C	-0.276	-0.191
YAL048C	0.234	0.035
YAL049C	0.184	-0.037
YAL051W	0.170	0.192
YAL053W	0.001	-0.178
YAL054C	-0.402	0.104
YAL055W	0.038	0.147
YAL056W	0.151	-0.386
YAL058C-A	-0.101	-0.263
YAL058W	-0.214	-0.194
YAL059W	0.092	0.310
YAL060W	0.364	0.314
YAL061W	0.030	0.282
YAL062W	0.544	-0.067
YAL064C-A	0.228	0.110
YAL065C	0.114	0.154
YAL066W	0.183	0.158
YAL067C	0.021	-0.073
YAL068C	0.162	0.170
YAR002C-A	-0.271	-0.378
YAR002W	0.583	0.180
YAR003W	0.391	0.370
YAR014C	0.074	0.001
YAR015W	0.296	0.266
YAR018C	0.223	0.060
YAR020C	0.264	-0.084
YAR023C	0.396	0.093
YAR027W	0.063	0.206
YAR028W	0.154	0.189
YAR029W	0.342	0.227
YAR030C	0.358	-0.325
YAR031W	0.323	0.075
YAR035W	0.421	-0.005
YAR042W	-0.153	-0.289
YAR044W	0.407	-0.258
YAR047C	0.297	0.097
YAR050W	0.384	0.309
YBL001C	0.073	0.073
YBL002W	0.470	0.448
YBL003C	-0.048	0.214
YBL005W	0.023	-0.244
YBL006C	-0.119	-0.033
YBL007C	0.576	0.147
YBL008W	-0.439	-0.244
YBL009W	0.210	-0.217
YBL010C	-0.127	-0.856
YBL011W	0.659	-0.054
YBL012C	-0.144	0.194
YBL013W	0.199	0.486
YBL015W	-0.173	0.366
YBL017C	0.560	-0.510
YBL019W	0.428	-0.055
YBL022C	-0.250	-1.101
YBL024W	0.705	1.004
YBL027W	-0.063	0.103
YBL028C	-1.004	-0.373
YBL029W	-0.060	-0.046
YBL031W	0.203	-1.658
YBL032W	-0.497	-1.072
YBL033C	0.230	0.160
YBL036C	0.408	0.825
YBL037W	-0.261	-0.404
YBL038W	0.470	0.705
YBL039C	0.285	0.786
YBL042C	-0.394	0.334
YBL043W	0.099	0.131
YBL044W	0.391	-0.067
YBL045C	-0.586	-0.565
YBL046W	-0.534	-1.029
YBL047C	-0.123	1.005
YBL048W	-0.113	0.075
YBL049W	-0.340	-0.407
YBL051C	-0.009	0.076
YBL052C	0.214	-0.257
YBL053W	0.229	0.112
YBL054W	0.003	-0.145
YBL055C	-0.028	0.153
YBL056W	0.548	0.086
YBL057C	-0.342	0.169
YBL058W	0.108	-0.025
YBL059W	0.294	0.606
YBL060W	0.411	-0.150
YBL061C	-0.004	-0.367
YBL062W	-0.263	-0.317
YBL063W	0.265	0.346
YBL064C	0.401	0.014
YBL065W	0.083	-0.165
YBL066C	0.533	0.097
YBL067C	0.402	-0.020
YBL068W	-0.086	0.070
YBL069W	0.091	0.097
YBL070C	-0.223	0.061
YBL071C	-0.004	-0.719
YBL072C	0.037	1.003
YBL075C	-0.570	0.293
YBL078C	-0.013	-0.126
YBL079W	-0.179	0.205
YBL080C	0.166	0.222
YBL081W	0.300	0.900
YBL082C	-0.428	-0.656
YBL083C	-0.633	-0.999
YBL085W	0.309	-0.104
YBL086C	-0.061	-0.213
YBL087C	0.638	0.705
YBL088C	-0.048	-0.103
YBL089W	-0.070	1.578
YBL090W	-0.127	0.900
YBL091C	0.769	-0.145
YBL091C-A	-0.177	0.023
YBL093C	-0.193	-0.433
YBL094C	0.457	0.292
YBL095W	0.329	0.305
YBL096C	-0.535	-0.080
YBL098W	0.460	0.296
YBL099W	-0.190	-0.670
YBL100C	-0.029	-0.198
YBL101C	0.474	3.035
YBL102W	0.250	0.081
YBL104C	-0.109	-0.433
YBL106C	-0.038	-0.239
YBL107C	-0.070	0.137
YBR001C	-0.441	0.176
YBR005W	0.144	0.078
YBR006W	-0.430	-1.600
YBR007C	-0.091	0.125
YBR008C	0.271	-0.072
YBR009C	-0.240	-0.056
YBR010W	-0.411	-0.263
YBR012C	0.606	0.640
YBR013C	0.366	0.320
YBR014C	0.178	0.195
YBR015C	-0.542	-0.607
YBR016W	-0.046	0.184
YBR018C	-0.101	-0.129
YBR019C	0.045	0.213
YBR020W	0.049	-0.538
YBR022W	0.079	-0.013
YBR023C	-0.386	0.058
YBR024W	-0.329	0.011
YBR025C	-0.077	0.567
YBR026C	-0.014	0.008
YBR027C	0.151	0.119
YBR028C	0.694	0.587
YBR029C	0.130	-0.115
YBR031W	0.136	0.283
YBR032W	0.213	-0.080
YBR033W	0.396	0.249
YBR034C	0.268	-0.507
YBR035C	-0.148	-0.361
YBR036C	-1.607	-1.105
YBR037C	0.293	-0.476
YBR038W	0.117	-0.032
YBR040W	0.050	-0.206
YBR041W	-0.355	-0.668
YBR042C	0.054	-0.548
YBR043C	0.185	-0.480
YBR044C	-0.090	-0.874
YBR045C	0.415	-0.052
YBR046C	0.227	-0.054
YBR047W	-0.015	-0.013
YBR048W	0.172	0.246
YBR050C	0.001	0.014
YBR051W	0.582	-0.017
YBR052C	0.177	-0.024
YBR053C	-0.233	0.155
YBR054W	0.288	0.065
YBR056W	0.259	-0.308
YBR057C	0.724	0.472
YBR058C	-0.211	0.172
YBR059C	0.074	-0.139
YBR062C	-0.044	-0.017
YBR063C	0.492	0.225
YBR064W	0.244	0.342
YBR065C	0.391	0.367
YBR066C	0.081	0.335
YBR067C	0.056	0.322
YBR068C	0.161	0.065
YBR069C	0.009	0.228
YBR071W	-0.095	0.059
YBR072W	0.006	0.035
YBR073W	0.084	0.218
YBR074W	-0.181	-0.106
YBR075W	0.290	-0.067
YBR076W	0.116	0.149
YBR077C	0.337	0.261
YBR083W	-0.139	-0.172
YBR084C-A	-0.015	-0.011
YBR084W	0.109	0.308
YBR090C	0.146	0.367
YBR090C-A	-0.636	0.155
YBR092C	0.233	-0.024
YBR093C	0.302	0.381
YBR094W	0.382	-0.186
YBR098W	-0.050	0.285
YBR099C	0.620	0.868
YBR100W	0.211	-0.425
