orf	hap alpha | utilization of fatty acids (formation of clear zone on agar) | oleic acid [0.1%] | Smith JJ~Aitchison JD, 2006	hap alpha | utilization of fatty acids (formation of clear zone on agar) | tetradecanoic acid [0.125%] | Smith JJ~Aitchison JD, 2006	hap alpha | growth (colony size) | acetate [2%] | Smith JJ~Aitchison JD, 2006
YAL002W	3.0	3.0	3.0
YAL004W	3.0	3.0	3.0
YAL005C	3.0	3.0	3.0
YAL007C	3.0	3.0	3.0
YAL008W	3.0	3.0	3.0
YAL009W	1.0	1.0	1.0
YAL010C	1.0	1.0	1.0
YAL011W	3.0	3.0	3.0
YAL012W	3.0	3.0	3.0
YAL013W	3.0	3.0	3.0
YAL014C	3.0	3.0	3.0
YAL015C	3.0	3.0	3.0
YAL016W	2.0	2.0	2.0
YAL017W	3.0	3.0	3.0
YAL018C	3.0	3.0	3.0
YAL019W	3.0	3.0	3.0
YAL020C	3.0	3.0	3.0
YAL021C	3.0	3.0	3.0
YAL022C	3.0	3.0	3.0
YAL023C	3.0	3.0	3.0
YAL024C	3.0	3.0	2.5
YAL026C	1.0	1.0	1.0
YAL027W	3.0	3.0	3.0
YAL028W	3.0	3.0	3.0
YAL029C	3.0	3.0	3.0
YAL030W	3.0	3.0	3.0
YAL031C	3.0	3.0	3.0
YAL034C	3.0	3.0	3.0
YAL035W	3.0	3.0	3.0
YAL036C	3.0	3.0	3.0
YAL037W	3.0	3.0	3.0
YAL039C	1.0	1.0	2.0
YAL040C	3.0	3.0	3.0
YAL042C-A	3.0	3.0	3.0
YAL042W	3.0	3.0	3.0
YAL044C	1.0	1.0	2.0
YAL045C	3.0	3.0	3.0
YAL046C	3.0	3.0	3.0
YAL047C	1.0	1.0	2.0
YAL048C	3.0	3.0	3.0
YAL049C	3.0	3.0	3.0
YAL051W	1.0	1.0	3.0
YAL053W	3.0	3.0	3.0
YAL054C	2.0	2.0	3.0
YAL055W	3.0	1.0	3.0
YAL056C-A	3.0	3.0	3.0
YAL056W	3.0	3.0	3.0
YAL058W	3.0	3.0	3.0
YAL059W	3.0	3.0	3.0
YAL060W	3.0	3.0	3.0
YAL061W	3.0	3.0	3.0
YAL062W	3.0	3.0	3.0
YAL064C-A	3.0	3.0	3.0
YAL065C	3.0	3.0	3.0
YAL066W	3.0	3.0	3.0
YAL067C	3.0	3.0	3.0
YAL068C	3.0	3.0	3.0
YAR002C-A	3.0	3.0	3.0
YAR002W	3.0	3.0	3.0
YAR003W	3.0	3.0	3.0
YAR014C	3.0	3.0	3.0
YAR015W	3.0	3.0	3.0
YAR018C	3.0	3.0	3.0
YAR020C	3.0	3.0	3.0
YAR023C	3.0	3.0	3.0
YAR027W	3.0	3.0	3.0
YAR028W	3.0	3.0	3.0
YAR029W	3.0	3.0	3.0
YAR030C	3.0	3.0	3.0
YAR031W	3.0	3.0	3.0
YAR035W	3.0	3.0	3.0
YAR042W	3.0	3.0	3.0
YAR047C	3.0	3.0	3.0
YAR050W	3.0	3.0	3.0
YBL001C	3.0	3.0	3.0
YBL002W	3.0	3.0	3.0
YBL003C	3.0	3.0	3.0
YBL005W	3.0	3.0	3.0
YBL006C	3.0	2.0	3.0
YBL007C	3.0	3.0	3.0
YBL008W	3.0	3.0	3.0
YBL009W	3.0	3.0	3.0
YBL010C	3.0	3.0	3.0
YBL011W	1.0	1.0	1.0
YBL012C	3.0	2.0	3.0
YBL013W	3.0	2.0	3.0
YBL015W	3.0	3.0	3.0
YBL016W	3.0	3.0	3.0
YBL017C	3.0	3.0	3.0
YBL019W	1.0	1.0	1.0
YBL021C	1.0	1.0	1.0
YBL022C	3.0	2.0	3.0
YBL024W	3.0	3.0	3.0
YBL025W	1.0	1.0	1.0
YBL027W	1.0	2.0	2.0
YBL028C	3.0	3.0	3.0
YBL029W	3.0	3.0	3.0
YBL031W	1.0	1.0	1.0
YBL032W	1.0	1.0	1.0
YBL033C	1.0	1.0	1.0
YBL036C	1.0	1.0	1.0
YBL037W	3.0	3.0	3.0
YBL038W	1.0	1.0	1.0
YBL039C	3.0	3.0	3.0
YBL042C	3.0	2.0	2.5
YBL043W	3.0	3.0	3.0
YBL044W	3.0	3.0	3.0
YBL045C	1.0	1.0	1.0
YBL046W	1.0	1.0	1.0
YBL047C	3.0	3.0	3.0
YBL048W	3.0	3.0	3.0
YBL049W	3.0	3.0	3.0
YBL051C	3.0	3.0	3.0
YBL052C	3.0	3.0	3.0
YBL053W	1.0	1.0	1.0
YBL054W	3.0	3.0	3.0
YBL055C	3.0	3.0	3.0
YBL056W	3.0	3.0	3.0
YBL057C	1.0	1.0	1.0
YBL058W	1.0	1.0	1.0
YBL059W	3.0	3.0	3.0
YBL060W	3.0	3.0	3.0
YBL061C	3.0	3.0	3.0
YBL062W	1.0	1.0	1.0
YBL063W	3.0	3.0	3.0
YBL064C	3.0	3.0	3.0
YBL065W	3.0	3.0	3.0
YBL066C	3.0	3.0	3.0
YBL067C	3.0	3.0	3.0
YBL068W	3.0	3.0	3.0
YBL069W	3.0	3.0	3.0
YBL070C	3.0	3.0	3.0
YBL071C	3.0	3.0	3.0
YBL072C	3.0	3.0	3.0
YBL075C	3.0	3.0	3.0
YBL078C	3.0	3.0	3.0
YBL079W	3.0	3.0	2.5
YBL080C	1.0	1.0	1.0
YBL081W	3.0	3.0	3.0
YBL082C	1.0	1.0	1.0
YBL083C	3.0	3.0	3.0
YBL085W	3.0	3.0	3.0
YBL086C	3.0	3.0	3.0
YBL087C	3.0	3.0	3.0
YBL088C	3.0	3.0	3.0
YBL089W	3.0	3.0	2.5
YBL090W	1.0	1.0	1.0
YBL091C	3.0	3.0	3.0
YBL091C-A	3.0	3.0	3.0
YBL093C	3.0	2.0	2.0
YBL094C	3.0	3.0	3.0
YBL095W	3.0	3.0	3.0
YBL096C	3.0	3.0	3.0
YBL098W	3.0	3.0	3.0
YBL099W	1.0	1.0	1.0
YBL100C	1.0	1.0	1.0
YBL101C	3.0	3.0	3.0
YBL102W	3.0	3.0	3.0
YBL103C	3.0	3.0	3.0
YBL104C	3.0	3.0	3.0
YBL106C	3.0	3.0	3.0
YBL107C	3.0	3.0	3.0
YBR001C	3.0	3.0	3.0
YBR003W	1.0	1.0	1.0
YBR005W	3.0	3.0	3.0
YBR006W	3.0	3.0	3.0
YBR007C	3.0	3.0	3.0
YBR008C	3.0	3.0	3.0
YBR009C	3.0	3.0	3.0
YBR010W	3.0	3.0	3.0
YBR012C	3.0	3.0	3.0
YBR013C	3.0	3.0	3.0
YBR014C	3.0	3.0	3.0
YBR015C	3.0	3.0	3.0
YBR016W	3.0	3.0	3.0
YBR018C	3.0	3.0	3.0
YBR019C	3.0	3.0	3.0
YBR020W	3.0	3.0	3.0
YBR021W	3.0	1.0	2.5
YBR022W	3.0	3.0	3.0
YBR023C	3.0	3.0	3.0
YBR024W	3.0	3.0	3.0
YBR025C	3.0	3.0	3.0
YBR026C	1.0	1.0	2.0
YBR027C	3.0	3.0	3.0
YBR028C	3.0	3.0	3.0
YBR030W	3.0	3.0	3.0
YBR031W	3.0	3.0	3.0
YBR032W	3.0	3.0	3.0
YBR033W	3.0	3.0	3.0
YBR034C	3.0	3.0	3.0
YBR035C	3.0	3.0	3.0
YBR036C	1.0	1.0	1.0
YBR037C	1.0	1.0	1.0
YBR039W	1.0	1.0	1.0
YBR040W	3.0	3.0	3.0
YBR041W	2.0	2.0	3.0
YBR042C	3.0	3.0	3.0
YBR043C	3.0	3.0	3.0
YBR044C	1.0	1.0	2.0
YBR045C	3.0	3.0	3.0
YBR046C	3.0	3.0	3.0
YBR047W	3.0	3.0	3.0
YBR048W	3.0	3.0	3.0
YBR050C	3.0	3.0	3.0
YBR051W	3.0	3.0	3.0
YBR052C	3.0	3.0	3.0
YBR053C	3.0	3.0	3.0
YBR054W	3.0	3.0	3.0
YBR056W	3.0	3.0	3.0
YBR057C	3.0	3.0	3.0
YBR058C	3.0	3.0	3.0
YBR059C	3.0	3.0	3.0
YBR062C	3.0	3.0	3.0
YBR063C	3.0	3.0	3.0
YBR064W	3.0	3.0	3.0
YBR065C	3.0	3.0	3.0
