ORF	hap alpha | utilization of fatty acids (formation of clear zone on agar) | oleic acid [0.1%] | Smith JJ~Aitchison JD, 2006	hap alpha | utilization of fatty acids (formation of clear zone on agar) | tetradecanoic acid [0.125%] | Smith JJ~Aitchison JD, 2006	hap alpha | growth (colony size) | acetate [2%] | Smith JJ~Aitchison JD, 2006
YMR056C	3.000	3.000	3.000
YBR085W	3.000	3.000	3.000
YCR107W	3.000	3.000	3.000
YDL243C	3.000	3.000	3.000
YFL056C	3.000	3.000	3.000
YNL141W	3.000	3.000	3.000
YHR047C	3.000	3.000	3.000
YKL106W	3.000	3.000	2.000
YLR027C	3.000	3.000	3.000
YMR072W	1.000	1.000	1.000
YJR108W	3.000	3.000	3.000
YCR088W	3.000	3.000	3.000
YOR239W	3.000	3.000	3.000
YNR033W	3.000	3.000	3.000
YMR289W	3.000	3.000	3.000
YER045C	3.000	3.000	3.000
YGR037C	3.000	3.000	3.000
YLR131C	3.000	3.000	2.500
YLR144C	1.000	1.000	2.000
YJR083C	3.000	3.000	3.000
YBL015W	3.000	3.000	3.000
YPL267W	3.000	3.000	3.000
YDR511W	1.000	1.000	1.000
YLR304C	1.000	1.000	1.000
YAL054C	2.000	2.000	3.000
YDR448W	1.000	1.000	1.000
YAR015W	3.000	3.000	3.000
YNL220W	1.000	1.000	1.000
YLR028C	3.000	3.000	3.000
YMR120C	3.000	3.000	3.000
YOR128C	3.000	2.000	3.000
YGR204W	3.000	3.000	3.000
YMR300C	3.000	3.000	3.000
YGL234W	3.000	3.000	3.000
YGR061C	3.000	3.000	3.000
YDR408C	3.000	3.000	3.000
YOL086C	3.000	3.000	3.000
YMR303C	3.000	3.000	3.000
YMR083W	3.000	3.000	3.000
YGL256W	3.000	3.000	3.000
YBR145W	3.000	3.000	3.000
YMR318C	1.000	1.000	1.000
YCR105W	3.000	3.000	3.000
YMR009W	3.000	3.000	3.000
YDR226W	3.000	3.000	2.000
YER170W	3.000	3.000	3.000
YJR105W	1.000	2.000	3.000
YCR011C	3.000	3.000	3.000
YDR216W	1.000	2.000	3.000
YCR010C	3.000	3.000	3.000
YDL239C	3.000	2.000	3.000
YLR227C	3.000	3.000	3.000
YMR064W	1.000	1.000	1.000
YMR282C	1.000	1.000	2.000
YPL005W	3.000	3.000	3.000
YEL052W	3.000	3.000	3.000
YER017C	1.000	1.000	2.000
YDR085C	3.000	3.000	3.000
YPL202C	3.000	3.000	3.000
YNR044W	3.000	3.000	3.000
YGL032C	3.000	3.000	3.000
YPR021C	3.000	3.000	3.000
YDR524C	1.000	1.000	1.000
YIL044C	3.000	3.000	3.000
YCL025C	3.000	3.000	3.000
YBR132C	3.000	3.000	3.000
YFL055W	3.000	3.000	3.000
YFL030W	3.000	3.000	3.000
YDR214W	3.000	3.000	3.000
YOR023C	3.000	3.000	3.000
YCR082W	3.000	3.000	3.000
YLR109W	3.000	3.000	3.000
YHR093W	3.000	3.000	3.000
YNR074C	3.000	3.000	3.000
YMR092C	3.000	3.000	3.000
YIL079C	3.000	3.000	3.000
YDL175C	3.000	3.000	3.000
YBR059C	3.000	3.000	3.000
YDR264C	1.000	1.000	3.000
YOR034C	3.000	3.000	3.000
YMR170C	3.000	3.000	3.000
YMR169C	3.000	3.000	3.000
YOR374W	3.000	3.000	3.000
YER073W	3.000	3.000	3.000
YPL061W	3.000	3.000	3.000
YNL148C	2.000	3.000	3.000
YNR030W	3.000	3.000	3.000
YBL082C	1.000	1.000	1.000
YPL227C	3.000	3.000	3.000
YOR002W	3.000	3.000	3.000
YOR067C	3.000	3.000	3.000
YNL219C	3.000	3.000	3.000
YGL021W	3.000	3.000	3.000
YML086C	3.000	3.000	3.000
YNL270C	3.000	3.000	3.000
YFL050C	3.000	3.000	3.000
YLR089C	3.000	3.000	3.000
YDR111C	3.000	3.000	3.000
YGR225W	3.000	3.000	3.000
YML035C	3.000	3.000	3.000
YDR242W	3.000	3.000	3.000
YBR158W	3.000	3.000	3.000
YGL156W	3.000	3.000	3.000
YJR047C	3.000	3.000	3.000
YEL036C	3.000	3.000	3.000
YPR128C	3.000	3.000	3.000
YCL050C	3.000	3.000	3.000
YDR530C	3.000	3.000	3.000
YLR102C	3.000	3.000	3.000
YBR151W	3.000	3.000	3.000
YKL157W	3.000	3.000	3.000
YBR286W	3.000	3.000	3.000
YDR525W	3.000	3.000	3.000
YNL077W	3.000	3.000	2.500
YJR005W	3.000	3.000	3.000
YKL135C	3.000	3.000	3.000
YBL037W	3.000	3.000	3.000
YPR029C	3.000	3.000	3.000
YPL195W	3.000	3.000	3.000
YGR261C	3.000	3.000	3.000
YPL259C	3.000	3.000	3.000
YHL019C	3.000	3.000	3.000
YBR288C	3.000	3.000	3.000
YOL062C	3.000	3.000	3.000
YKL114C	1.000	1.000	2.000
YBL019W	1.000	1.000	1.000
YNL094W	3.000	3.000	3.000
YIL040W	3.000	3.000	3.000
YJL075C	1.000	2.000	2.000
YLR170C	3.000	3.000	3.000
YJR058C	3.000	3.000	3.000
YJL024C	3.000	3.000	3.000
YML022W	3.000	3.000	3.000
YDR441C	3.000	3.000	3.000
YNL065W	3.000	3.000	3.000
YPR192W	3.000	3.000	3.000
YLL052C	3.000	3.000	3.000
YBR149W	3.000	3.000	3.000
YGL105W	3.000	3.000	3.000
YLR370C	3.000	3.000	3.000
YHR013C	3.000	3.000	3.000
YCR048W	3.000	3.000	3.000
YNR019W	3.000	3.000	3.000
YDL192W	3.000	2.000	3.000
YDL137W	3.000	3.000	3.000
YOR094W	3.000	3.000	3.000
YOL058W	3.000	3.000	3.000
YJL071W	3.000	3.000	3.000
YJL088W	3.000	3.000	3.000
YHR018C	3.000	3.000	3.000
YER069W	3.000	3.000	3.000
YMR042W	3.000	3.000	3.000
YML099C	3.000	3.000	3.000
YDR173C	1.000	1.000	2.500
YNL020C	3.000	3.000	3.000
YBR164C	3.000	3.000	3.000
YPL051W	3.000	3.000	3.000
YHL040C	3.000	2.000	3.000
