orf	hap a | growth (spot assay) | sodium arsenite [0.075-1 mM] | Zhou X~Costa M, 2009
YAL002W	-4.284113066678505
YAL012W	-4.6087017614562305
YAL023C	-1.95744909706144
YAL042C-A	-3.9115925513245164
YAL042W	-3.9014213427141686
YAL047C	-4.855862130687683
YAR015W	-4.290470072059973
YBL007C	-4.981476557025478
YBL047C	-4.631078420398996
YBL051C	-5.042376668579935
YBL064C	-4.478764571459037
YBL090W	-4.055260872945679
YBR030W	-4.4999969694331385
YBR085W	-4.646080953099259
YBR111C	-4.070517685861201
YBR133C	-5.028772677063595
YBR200W	-4.566872666046176
YBR231C	-4.786697912137317
YBR278W	-5.173712399761052
YBR281C	-4.923627808054125
YBR284W	-4.609083181779119
YBR286W	-4.945241626351114
YBR295W	-4.202743397795723
YBR298C	-5.054327838697095
YCL001W-A	-5.036528223628986
YCL008C	-4.576535314226006
YCL010C	-5.0151686855472555
YCL032W	-4.931764774942404
YCL033C	-4.841113878202679
YCL037C	-4.876077407800749
YCL061C	-4.7916563763348625
YCL063W	-4.94613160710452
YCR009C	-5.026484155126267
YCR020C-A	-4.618745829958949
YCR026C	-4.957319936575902
YCR027C	-5.161252669213376
YCR031C	-2.88938608598456
YCR034W	-4.4485052258432525
YCR036W	-4.886375756518726
YCR045C	-4.968381125939655
YCR087C-A	-4.919432184502357
YDL020C	-4.35531152695094
YDL065C	-3.9115925513245164
YDL081C	-4.149344552591397
YDL096C	-3.2428355851941464
YDL101C	-4.526187831604783
YDL146W	-4.525679271174266
YDL155W	-4.239614029008234
YDL223C	-4.329883505425071
YDR001C	-3.785723844771462
YDR017C	-3.8009806576869836
YDR028C	-4.981730837240737
YDR069C	-4.652692238695985
YDR099W	-4.187486584880201
YDR162C	-3.6356985177688315
YDR227W	-3.2237645690497447
YDR293C	-4.53483335892358
YDR300C	-4.4490137862737695
YDR335W	-4.8214071615201295
YDR358W	-4.502412631478096
YDR359C	-4.934561857310249
YDR388W	-4.915999401596364
YDR393W	-4.67697599925319
YDR448W	-5.208421649143864
YEL003W	-5.076577357532231
YEL012W	-4.06288927940344
YEL027W	-4.778942365571927
YEL031W	-4.775636722773564
YEL062W	-4.038732658953864
YER007W	-4.899852607927437
YER014C-A	-4.974865271428753
YER110C	-4.951344351517323
YER151C	-4.6248485551251575
YER155C	-4.958209917329308
YFL001W	-3.8861645297986467
YFL025C	-4.329883505425071
YGL012W	-5.0161858064082905
YGL066W	-4.748937300171401
YGL084C	-5.1125580079913355
YGL136C	-3.9599057922236685
YGL167C	-4.1442589482862235
YGL203C	-2.9961837763932118
YGL227W	-3.8543795028913097
YGL228W	-3.3865039068153098
YGL240W	-4.337511911882832
YGL256W	-4.053989471869386
YGR061C	-4.594716349617002
YGR072W	0.6718083287134734
YGR078C	-4.797631961393441
YGR085C	-3.4780447843084406
YGR092W	-3.956091588994788
YGR097W	0.6718083287134734
YGR101W	-4.371839740942756
YGR135W	-3.6267987102347776
YGR180C	-4.257413644076342
YGR252W	-5.050005075037697
YGR270W	-4.164601365506919
