orf	hap a | growth (spot assay) | sodium arsenite [0.075-1 mM] | Zhou X~Costa M, 2009
YAL002W	-3.3679999999999994
YAL012W	-3.6232999999999995
YAL023C	-1.5379999999999998
YAL042C-A	-3.0749999999999997
YAL042W	-3.0669999999999997
YAL047C	-3.8177
YAR015W	-3.3729999999999998
YBL007C	-3.9164999999999996
YBL047C	-3.6409
YBL051C	-3.9643999999999995
YBL064C	-3.5210999999999997
YBL090W	-3.1879999999999997
YBR030W	-3.5378
YBR085W	-3.6527
YBR111C	-3.1999999999999997
YBR133C	-3.9536999999999995
YBR200W	-3.5904
YBR231C	-3.7632999999999996
YBR278W	-4.067699999999999
YBR281C	-3.8709999999999996
YBR284W	-3.6235999999999997
YBR286W	-3.888
YBR295W	-3.304
YBR298C	-3.9737999999999998
YCL001W-A	-3.9597999999999995
YCL008C	-3.598
YCL010C	-3.9429999999999996
YCL032W	-3.8773999999999997
YCL033C	-3.8061
YCL037C	-3.8335999999999997
YCL061C	-3.7672
YCL063W	-3.8886999999999996
YCR009C	-3.9518999999999997
YCR020C-A	-3.6311999999999998
YCR026C	-3.8975
YCR027C	-4.0579
YCR031C	-2.271
YCR034W	-3.4972999999999996
YCR036W	-3.8417
YCR045C	-3.9061999999999997
YCR087C-A	-3.8676999999999997
YDL020C	-3.4239999999999995
YDL065C	-3.0749999999999997
YDL081C	-3.2619999999999996
YDL096C	-2.5489999999999995
YDL101C	-3.5584
YDL146W	-3.558
YDL155W	-3.3329999999999997
YDL223C	-3.404
YDR001C	-2.976
YDR017C	-2.9879999999999995
YDR028C	-3.9166999999999996
YDR069C	-3.6578999999999997
YDR099W	-3.292
YDR162C	-2.8579999999999997
YDR227W	-2.534
YDR293C	-3.5652
YDR300C	-3.4976999999999996
YDR335W	-3.7905999999999995
YDR358W	-3.5397
YDR359C	-3.8796
YDR388W	-3.8649999999999998
YDR393W	-3.6769999999999996
YDR448W	-4.095
YEL003W	-3.9913
YEL012W	-3.194
YEL027W	-3.7571999999999997
YEL031W	-3.7546
YEL062W	-3.175
YER007W	-3.8522999999999996
YER014C-A	-3.9112999999999998
YER110C	-3.8928
YER151C	-3.6359999999999997
YER155C	-3.8981999999999997
YFL001W	-3.0549999999999997
YFL025C	-3.404
YGL012W	-3.9437999999999995
YGL066W	-3.7335999999999996
YGL084C	-4.0196
YGL136C	-3.1129999999999995
YGL167C	-3.258
YGL203C	-2.3549999999999995
YGL227W	-3.03
YGL228W	-2.662
YGL240W	-3.4099999999999997
YGL256W	-3.187
YGR061C	-3.6123
YGR072W	0.5300000000000002
YGR078C	-3.7718999999999996
YGR085C	-2.734
YGR092W	-3.1099999999999994
YGR097W	0.5300000000000002
YGR101W	-3.437
YGR135W	-2.851
YGR180C	-3.3469999999999995
YGR252W	-3.9703999999999997
YGR270W	-3.274
YHR004C	-2.96
YHR013C	-3.8232999999999997
YHR026W	-3.412
YHR066W	-2.739
YHR082C	-3.4219999999999997
YHR178W	-2.4739999999999998
YIL148W	-3.1319999999999997
YJL029C	-2.9159999999999995
YJL036W	-3.3459999999999996
YJL047C	-3.3599999999999994
YJL062W	-3.319
YJL063C	-3.1319999999999997
YJL080C	-3.5774
YJL102W	-3.1399999999999997
YJL112W	-3.171
YJL121C	-3.1529999999999996
YJL128C	-3.9699999999999998
YJL136C	-3.8190999999999997
YJL172W	-2.963
YJL179W	-4.2256
YJL189W	-3.38
YJL204C	-3.4139999999999997
YJR073C	-3.6342999999999996
YJR075W	-3.33
YJR090C	-4.1236
YJR102C	-3.2349999999999994
YJR104C	-3.154
YJR113C	-3.3179999999999996
YJR145C	-3.3599999999999994
YKL006W	-3.7815
YKL009W	-3.256
YKL041W	-3.4579999999999997
YKL067W	-3.202
YKL119C	-3.6799
YKL134C	-3.5014999999999996
YKL135C	-3.3469999999999995
YKL143W	-3.322
YKL160W	-3.127
YKL190W	-2.1959999999999997
YKL191W	-2.4699999999999998
YKL197C	-3.17
YKL211C	-3.0909999999999997
YKL212W	-3.4099999999999997
YKL213C	-3.6999999999999997
YKR007W	-3.5223999999999998
YKR020W	-3.146
YKR031C	-3.409
YKR042W	0.5300000000000002
YKR055W	-3.1099999999999994
YKR099W	-3.082
YKR100C	-3.385
YLL039C	-3.5273
YLL043W	0.5300000000000002
YLR024C	-1.9699999999999998
YLR025W	-3.5968999999999998
YLR061W	-2.538
YLR068W	-3.0169999999999995
YLR079W	-3.8247999999999998
YLR113W	-4.1640999999999995
YLR119W	-3.0629999999999997
YLR148W	-3.1529999999999996
YLR200W	-3.469
YLR268W	-3.2609999999999997
YLR335W	-3.444
YLR388W	-2.372
YLR417W	-3.5229
YLR447C	-3.5206999999999997
YML014W	-3.5618
YML016C	-3.0869999999999997
YML026C	-3.0569999999999995
YML032C	-3.1599999999999997
YML034W	-3.046
YML057C-A	-3.3599999999999994
YML057W	-3.4479999999999995
YML081C-A	-3.1599999999999997
YML106W	-1.2369999999999997
YML121W	-3.8377999999999997
YML124C	-3.6967999999999996
YMR004W	-3.3869999999999996
YMR039C	-3.006
YMR052C-A	-3.2279999999999998
YMR060C	-2.976
YMR100W	0.1720000000000006
YMR116C	-3.159
YMR145C	-3.0919999999999996
YMR198W	-3.1479999999999997
YMR214W	-0.5269999999999997
YMR219W	-2.8839999999999995
YMR234W	-3.0
YMR304W	-1.9699999999999998
YNL021W	-3.4269999999999996
YNL022C	-3.093
YNL087W	-3.7043
YNL091W	-3.2119999999999997
YNL097C	-3.3699999999999997
YNL107W	-3.6064999999999996
YNL201C	-3.6130999999999998
YNL215W	-3.3939999999999997
YNL229C	-4.0196
YNL246W	-1.9699999999999998
YNL248C	-2.7169999999999996
YNL298W	-3.4019999999999997
YNL299W	-3.046
YNL302C	-2.713
YNL307C	-3.9699999999999998
YNL329C	-2.973
YNR006W	-3.2569999999999997
YNR010W	-3.6266999999999996
YNR031C	-3.9179999999999997
YNR032W	-2.752
YNR051C	-3.3489999999999998
YNR052C	-2.9879999999999995
YNR071C	-3.2319999999999998
YOL001W	-3.7379
YOL008W	-0.9829999999999997
YOL012C	-3.6622
YOL039W	-3.463
YOL051W	-2.9909999999999997
YOL072W	-3.3369999999999997
YOL081W	-4.054399999999999
YOR027W	-3.0729999999999995
YOR039W	-0.8729999999999998
YOR084W	-0.8709999999999996
YOR089C	-3.1979999999999995
YOR123C	-3.05
YOR124C	-3.5652
YOR201C	-3.3249999999999997
YOR258W	-3.1479999999999997
YOR265W	-3.425
YOR290C	-3.7903
YOR295W	-3.17
YOR322C	-3.465
YOR332W	-3.2329999999999997
YOR359W	-3.064
YOR360C	-3.7371999999999996
YOR371C	-3.5109
YPL002C	-3.3939999999999997
YPL032C	-3.284
YPL042C	-3.9707999999999997
YPL045W	-3.1279999999999997
YPL059W	-3.8022
YPL079W	-3.2409999999999997
YPL084W	-3.7502999999999997
YPL105C	-4.0548
YPL158C	-3.461
YPL165C	-3.8657
YPL174C	-3.787
YPL247C	-3.2279999999999998
YPL254W	-3.072
YPL262W	-3.7415999999999996
YPR024W	-3.1129999999999995
YPR030W	-3.359
YPR051W	-3.258
YPR179C	-3.6205999999999996
