ORF	growth [spot assay];NaAsO2 [0.075-1 mM]
YJL179W	-4.226
YLR113W	-4.164
YJR090C	-4.124
YDR448W	-4.095
YBR278W	-4.068
YCR027C	-4.058
YPL105C	-4.055
YOL081W	-4.054
YGL084C	-4.020
YNL229C	-4.020
YEL003W	-3.991
YBR298C	-3.974
YPL042C	-3.971
YGR252W	-3.970
YJL128C	-3.970
YNL307C	-3.970
YBL051C	-3.964
YCL001W-A	-3.960
YBR133C	-3.954
YCR009C	-3.952
YGL012W	-3.944
YCL010C	-3.943
YNR031C	-3.918
YDR028C	-3.917
YBL007C	-3.916
YER014C-A	-3.911
YCR045C	-3.906
YER155C	-3.898
YCR026C	-3.897
YER110C	-3.893
YCL063W	-3.889
YBR286W	-3.888
YDR359C	-3.880
YCL032W	-3.877
YBR281C	-3.871
YCR087C-A	-3.868
YPL165C	-3.866
YDR388W	-3.865
YER007W	-3.852
YCR036W	-3.842
YML121W	-3.838
YCL037C	-3.834
YLR079W	-3.825
YHR013C	-3.823
YJL136C	-3.819
YAL047C	-3.818
YCL033C	-3.806
YPL059W	-3.802
YDR335W	-3.791
YOR290C	-3.790
YPL174C	-3.787
YKL006W	-3.781
YGR078C	-3.772
YCL060C	-3.767
YBR231C	-3.763
YEL027W	-3.757
YEL031W	-3.755
YPL084W	-3.750
YPL262W	-3.742
YOL001W	-3.738
YOR360C	-3.737
YGL066W	-3.734
YAR002AW	-3.705
YNL087W	-3.704
YKL213C	-3.700
YML124C	-3.697
YKL119C	-3.680
YDR393W	-3.677
YOL012C	-3.662
YDR069C	-3.658
YBR085W	-3.653
YBL047C	-3.641
YER151C	-3.636
YJR073C	-3.634
YCR020C-A	-3.631
YNR010W	-3.627
YBR284W	-3.624
YAL012W	-3.623
YPR179C	-3.621
YNL201C	-3.613
YGR061C	-3.612
YNL107W	-3.606
YCL008C	-3.598
YLR025W	-3.597
YBR200W	-3.590
YJL080C	-3.577
YOR124C	-3.565
YDR293C	-3.565
YML014W	-3.562
YDL101C	-3.558
YDL146W	-3.558
YDR358W	-3.540
YBR030W	-3.538
YLL039C	-3.527
YLR417W	-3.523
YKR007W	-3.522
YBL064C	-3.521
YLR447C	-3.521
YOR371C	-3.511
YKL134C	-3.501
YDR300C	-3.498
YCR034W	-3.497
YLR200W	-3.469
YOR322C	-3.465
YOL039W	-3.463
YPL158C	-3.461
YKL041W	-3.458
YML057W	-3.448
YLR335W	-3.444
YGR101W	-3.437
YNL021W	-3.427
YOR265W	-3.425
YDL020C	-3.424
YHR082C	-3.422
YJL204C	-3.414
YHR026W	-3.412
YKL212W	-3.410
YGL240W	-3.410
YKR031C	-3.409
YFL025C	-3.404
YDL223C	-3.404
YNL298W	-3.402
YPL002C	-3.394
YNL215W	-3.394
YMR004W	-3.387
YKR100C	-3.385
YJL189W	-3.380
YAR015W	-3.373
YNL097C	-3.370
YAL002W	-3.368
YML058C-A	-3.360
YJL047C	-3.360
YJR145C	-3.360
YPR030W	-3.359
YNR051C	-3.349
YGR180C	-3.347
YKL135C	-3.347
YJL036W	-3.346
YOL072W	-3.337
YDL155W	-3.333
YJR075W	-3.330
YOR201C	-3.325
YKL143W	-3.322
YJL062W	-3.319
YJR113C	-3.318
YBR295W	-3.304
YKL197C	-3.170
YDR099W	-3.292
YPL032C	-3.284
YGR270W	-3.274
YDL081C	-3.262
YLR268W	-3.261
YPR051W	-3.258
YGL167C	-3.258
YNR006W	-3.257
YKL009W	-3.256
YPL079W	-3.241
YJR102C	-3.235
YOR332W	-3.233
YNR071C	-3.232
YPL247C	-3.228
YMR052C-A	-3.228
YNL091W	-3.212
YKL067W	-3.202
YBR111C	-3.200
YOR089C	-3.198
YEL012W	-3.194
YBL090W	-3.188
YGL256W	-3.187
YEL062W	-3.175
YJL112W	-3.171
YOR295W	-3.170
YML081C-A	-3.160
YML032C	-3.160
YMR116C	-3.159
YJR104C	-3.154
YJL121C	-3.153
YLR148W	-3.153
YOR258W	-3.148
YMR198W	-3.148
YKR020W	-3.146
YJL102W	-3.140
YJL063C	-3.132
YIL148W	-3.132
YPL045W	-3.128
YKL160W	-3.127
YPR024W	-3.113
YGL136C	-3.113
YKR055W	-3.110
YGR092W	-3.110
YNL022C	-3.093
YMR145C	-3.092
YKL211C	-3.091
YML016C	-3.087
YKR099W	-3.082
YAL043C-A	-3.075
YDL065C	-3.075
YOR027W	-3.073
YPL254W	-3.072
YAL042W	-3.067
YOR359W	-3.064
YLR119W	-3.063
YML026C	-3.057
YFL001W	-3.055
YOR123C	-3.050
YML033W	-3.046
YNL299W	-3.046
YGL227W	-3.030
YLR068W	-3.017
YMR039C	-3.006
YMR234W	-3.000
YOL051W	-2.991
YDR017C	-2.988
YNR052C	-2.988
YMR060C	-2.976
YDR001C	-2.976
YNL329C	-2.973
YJL172W	-2.963
YHR004C	-2.960
YJL029C	-2.916
YMR219W	-2.884
YDR162C	-2.858
YGR135W	-2.851
YNR032W	-2.752
YHR066W	-2.739
YGR085C	-2.734
YNL248C	-2.717
YNL302C	-2.713
YGL228W	-2.662
YDL096C	-2.549
YLR061W	-2.538
YDR227W	-2.534
YHR178W	-2.474
YKL191W	-2.470
YLR388W	-2.372
YGL203C	-2.355
YCR031C	-2.271
YKL190W	-2.196
YNL246W	-1.970
YLR024C	-1.970
YMR304W	-1.970
YAL023C	-1.538
YML106W	-1.237
YOL008W	-0.983
YOR039W	-0.873
YOR084W	-0.871
YMR214W	-0.527
YMR100W	0.172
YKR042W	0.530
YLL043W	0.530
YGR072W	0.530
YGR097W	0.530
