orf	hom | cytosolic redox potential (E(GSH)) | temperature [25 C] | SC - Ura | Ayer A~Perrone GG, 2012
YBL067C	7.271401056359239
YBR098W	7.271401056359239
YCL036W	7.271401056359239
YDR058C	7.142703692529873
YDR225W	7.1641532531681005
YDR268W	7.249951495721011
YDR276C	7.142703692529873
YDR283C	7.1641532531681005
YDR291W	7.1641532531681005
YDR312W	7.1641532531681005
YDR315C	7.121254131891645
YDR322W	7.142703692529873
YDR334W	7.228501935082783
YDR346C	7.185602813806328
YDR371W	7.185602813806328
YDR384C	7.185602813806328
YDR403W	7.078355010615189
YDR406W	7.142703692529873
YDR409W	7.142703692529873
YDR414C	7.1641532531681005
YDR419W	7.1641532531681005
YDR425W	7.271401056359239
YDR507C	7.271401056359239
YER078C	7.1641532531681005
YGR034W	7.121254131891645
YGR037C	7.142703692529873
YGR076C	7.142703692529873
YHR017W	7.1641532531681005
YHR043C	6.97110720742405
YHR121W	7.1641532531681005
YHR155W	7.121254131891645
YHR181W	7.1641532531681005
YHR195W	7.121254131891645
YHR206W	6.863859404232911
YIL119C	7.121254131891645
YIL131C	7.142703692529873
YIL162W	7.142703692529873
YJL201W	7.185602813806328
YJR050W	7.249951495721011
YJR135W-A	7.271401056359239
YJR147W	7.1641532531681005
YKL094W	7.121254131891645
YKL121W	7.078355010615189
YKR024C	7.207052374444555
YKR059W	7.207052374444555
YKR061W	7.1641532531681005
YKR076W	7.1641532531681005
YLL039C	7.121254131891645
YLR023C	7.207052374444555
YLR385C	7.228501935082783
YML007W	6.842409843594682
YMR081C	7.228501935082783
YMR135C	7.185602813806328
YMR145C	7.142703692529873
YMR163C	7.121254131891645
YMR175W	7.1641532531681005
YMR193W	7.142703692529873
YMR214W	7.228501935082783
YMR224C	7.249951495721011
YMR287C	7.185602813806328
YNR018W	7.142703692529873
YOL008W	7.228501935082783
YOL015W	7.185602813806328
YOR071C	7.185602813806328
YOR179C	7.142703692529873
YOR324C	7.185602813806328
YOR346W	7.228501935082783
YOR350C	7.185602813806328
YOR371C	7.185602813806328
YPL013C	7.142703692529873
YPL018W	7.207052374444555
YPL049C	7.014006328700505
YPL069C	7.142703692529873
YPL091W	5.898629175512657
YPL106C	7.185602813806328
YPL130W	7.1641532531681005
YPL144W	7.207052374444555
YPL147W	7.142703692529873
YPL164C	7.207052374444555
YPL173W	7.228501935082783
YPL176C	7.228501935082783
YPL184C	7.207052374444555
YPL186C	7.207052374444555
YPL213W	7.1641532531681005
YPR040W	7.142703692529873
YPR044C	7.142703692529873
YPR046W	7.207052374444555
YPR047W	7.207052374444555
YPR074C	7.078355010615189
