orf	hom | cytosolic redox potential (E(GSH)) | temperature [25 C] | SC - Ura | Ayer A~Perrone GG, 2012
YBL067C	0.9713467048710601
YBR098W	0.9713467048710601
YCL036W	0.9713467048710601
YDR058C	0.9541547277936963
YDR225W	0.9570200573065902
YDR268W	0.9684813753581661
YDR276C	0.9541547277936963
YDR283C	0.9570200573065902
YDR291W	0.9570200573065902
YDR312W	0.9570200573065902
YDR315C	0.9512893982808023
YDR322W	0.9541547277936963
YDR334W	0.9656160458452722
YDR346C	0.9598853868194842
YDR371W	0.9598853868194842
YDR384C	0.9598853868194842
YDR403W	0.9455587392550143
YDR406W	0.9541547277936963
YDR409W	0.9541547277936963
YDR414C	0.9570200573065902
YDR419W	0.9570200573065902
YDR425W	0.9713467048710601
YDR507C	0.9713467048710601
YER078C	0.9570200573065902
YGR034W	0.9512893982808023
YGR037C	0.9541547277936963
YGR076C	0.9541547277936963
YHR017W	0.9570200573065902
YHR043C	0.9312320916905444
YHR121W	0.9570200573065902
YHR155W	0.9512893982808023
YHR181W	0.9570200573065902
YHR195W	0.9512893982808023
YHR206W	0.9169054441260746
YIL119C	0.9512893982808023
YIL131C	0.9541547277936963
YIL162W	0.9541547277936963
YJL201W	0.9598853868194842
YJR050W	0.9684813753581661
YJR135W-A	0.9713467048710601
YJR147W	0.9570200573065902
YKL094W	0.9512893982808023
YKL121W	0.9455587392550143
YKR024C	0.9627507163323782
YKR059W	0.9627507163323782
YKR061W	0.9570200573065902
YKR076W	0.9570200573065902
YLL039C	0.9512893982808023
YLR023C	0.9627507163323782
YLR385C	0.9656160458452722
YML007W	0.9140401146131805
YMR081C	0.9656160458452722
YMR135C	0.9598853868194842
YMR145C	0.9541547277936963
YMR163C	0.9512893982808023
YMR175W	0.9570200573065902
YMR193W	0.9541547277936963
YMR214W	0.9656160458452722
YMR224C	0.9684813753581661
YMR287C	0.9598853868194842
YNR018W	0.9541547277936963
YOL008W	0.9656160458452722
YOL015W	0.9598853868194842
YOR071C	0.9598853868194842
YOR179C	0.9541547277936963
YOR324C	0.9598853868194842
YOR346W	0.9656160458452722
YOR350C	0.9598853868194842
YOR371C	0.9598853868194842
YPL013C	0.9541547277936963
YPL018W	0.9627507163323782
YPL049C	0.9369627507163324
YPL069C	0.9541547277936963
YPL091W	0.7879656160458453
YPL106C	0.9598853868194842
YPL130W	0.9570200573065902
YPL144W	0.9627507163323782
YPL147W	0.9541547277936963
YPL164C	0.9627507163323782
YPL173W	0.9656160458452722
YPL176C	0.9656160458452722
YPL184C	0.9627507163323782
YPL186C	0.9627507163323782
YPL213W	0.9570200573065902
YPR040W	0.9541547277936963
YPR044C	0.9541547277936963
YPR046W	0.9627507163323782
YPR047W	0.9627507163323782
YPR074C	0.9455587392550143
