orf	hap a | growth (colony size) | chitosan [1.75 mg/ml] | Galvan Marquez I~Smith ML, 2013
YAL002W	0.29
YAL004W	0.63
YAL005C	0.5766666666666667
YAL007C	0.5333333333333333
YAL008W	0.62
YAL009W	0.0
YAL010C	0.5399999999999999
YAL011W	0.5033333333333333
YAL012W	0.255
YAL013W	0.44
YAL014C	0.6466666666666666
YAL015C	0.6
YAL016W	0.0
YAL017W	0.6433333333333334
YAL018C	0.5883333333333334
YAL019W	0.5433333333333333
YAL020C	0.5333333333333333
YAL021C	0.2866666666666667
YAL022C	0.7000000000000001
YAL023C	0.6333333333333333
YAL024C	0.6733333333333333
YAL026C	0.5499999999999999
YAL027W	0.7200000000000001
YAL028W	0.6233333333333334
YAL029C	0.55
YAL030W	0.66
YAL031C	0.64
YAL034C	0.575
YAL035W	0.4633333333333333
YAL036C	0.0
YAL037W	0.5533333333333333
YAL039C	0.2833333333333334
YAL040C	0.0
YAL042C-A	0.6466666666666666
YAL042W	0.0
YAL044C	0.0
YAL045C	0.5733333333333334
YAL047C	0.21666666666666667
YAL049C	0.6033333333333334
YAL051W	0.6000000000000001
YAL053W	0.7033333333333333
YAL054C	0.63
YAL055W	0.7133333333333333
YAL056C-A	0.29
YAL056W	0.52
YAL058W	0.6866666666666666
YAL059W	0.63
YAL060W	0.5499999999999999
YAL061W	0.62
YAL062W	0.56
YAL064C-A	0.7266666666666667
YAL065C	0.6166666666666667
YAL066W	0.5833333333333334
YAL067C	0.5133333333333333
YAL068C	0.5033333333333333
YAR002C-A	0.7599999999999999
YAR002W	0.6966666666666667
YAR003W	0.49333333333333335
YAR014C	0.6666666666666666
YAR015W	0.44333333333333336
YAR018C	0.6033333333333333
YAR020C	0.54
YAR023C	0.6966666666666667
YAR027W	0.6633333333333332
YAR028W	0.51
YAR029W	0.5933333333333334
YAR030C	0.5666666666666667
YAR031W	0.6533333333333333
YAR035W	0.7666666666666666
YAR042W	0.56
YAR047C	0.6766666666666666
YAR050W	0.4033333333333333
YBL001C	0.7466666666666667
YBL002W	0.0
YBL003C	0.7266666666666666
YBL005W	0.58
YBL006C	0.21999999999999997
YBL007C	0.45999999999999996
YBL008W	0.7799999999999999
YBL009W	0.7033333333333333
YBL010C	0.5533333333333333
YBL011W	0.5466666666666666
YBL012C	0.0
YBL013W	0.5833333333333334
YBL015W	0.6133333333333333
YBL016W	0.63
YBL017C	0.6733333333333333
YBL019W	0.58
YBL021C	0.38999999999999996
YBL022C	0.0
YBL024W	0.31
YBL025W	0.6333333333333333
YBL027W	0.62
YBL028C	0.6433333333333333
YBL029W	0.77
YBL031W	0.61
YBL032W	0.5066666666666667
YBL036C	0.5333333333333333
YBL037W	0.6666666666666666
YBL038W	0.3733333333333333
YBL039C	0.56
YBL042C	0.6183333333333334
YBL043W	0.5566666666666666
YBL044W	0.0
YBL045C	0.0
YBL046W	0.6766666666666666
YBL047C	0.73
YBL048W	0.6566666666666667
YBL049W	0.61
YBL051C	0.56
YBL052C	0.58
YBL053W	0.5733333333333334
YBL054W	0.5666666666666667
YBL055C	0.5266666666666667
YBL056W	0.6733333333333333
YBL057C	0.6866666666666665
YBL058W	0.0
YBL059W	0.5666666666666665
YBL060W	0.63
YBL061C	0.7366666666666667
YBL062W	0.65
YBL063W	0.6233333333333334
YBL064C	0.47
YBL065W	0.5666666666666667
YBL066C	0.0
YBL067C	0.6633333333333332
YBL068W	0.7400000000000001
