orf	hap a | growth (colony size) | chitosan [1.75 mg/ml] | Galvan Marquez I~Smith ML, 2013
YAL002W	-0.2671236786116985
YAL004W	-0.061794082309579966
YAL005C	-0.09400264643540249
YAL007C	-0.12017210478763328
YAL008W	-0.0678331880831717
YAL009W	-0.44225774604585844
YAL010C	-0.11614603427190551
YAL011W	-0.13828942210840847
YAL012W	-0.28826054881926955
YAL013W	-0.17653709200782267
YAL014C	-0.051728906020260465
YAL015C	-0.07991139963035515
YAL016W	-0.44225774604585844
YAL017W	-0.05374194127812429
YAL018C	-0.08695702303287878
YAL019W	-0.11413299901404156
YAL020C	-0.12017210478763328
YAL021C	-0.2691367138695624
YAL022C	-0.019520341894437878
YAL023C	-0.05978104705171608
YAL024C	-0.03562462395734917
YAL026C	-0.11010692849831379
YAL027W	-0.007442130347254426
YAL028W	-0.06582015282530775
YAL029C	-0.11010692849831372
YAL030W	-0.04367676498880479
YAL031C	-0.05575497653598824
YAL034C	-0.09500916406433446
YAL035W	-0.16244584520277533
YAL036C	-0.44225774604585844
YAL037W	-0.10809389324044982
YAL039C	-0.2711497491274263
YAL040C	-0.44225774604585844
YAL042C-A	-0.051728906020260465
YAL042W	-0.44225774604585844
YAL044C	-0.44225774604585844
YAL045C	-0.09601568169326638
YAL047C	-0.31141045428470443
YAL049C	-0.07789836437249119
YAL051W	-0.07991139963035508
YAL053W	-0.01750730663657406
YAL054C	-0.061794082309579966
YAL055W	-0.011468200862982333
YAL056C-A	-0.2671236786116985
YAL056W	-0.1282242458190889
YAL058W	-0.02757248292589356
YAL059W	-0.061794082309579966
YAL060W	-0.11010692849831379
YAL061W	-0.0678331880831717
YAL062W	-0.10406782272472198
YAL064C-A	-0.003416059831526652
YAL065C	-0.06984622334103557
YAL066W	-0.08997657591967465
YAL067C	-0.13225031633481674
YAL068C	-0.13828942210840847
YAR002C-A	0.016714292747112346
YAR002W	-0.021533377152301834
YAR003W	-0.14432852788200015
YAR014C	-0.039650694473077015
YAR015W	-0.17452405674995874
YAR018C	-0.07789836437249126
YAR020C	-0.11614603427190544
YAR023C	-0.021533377152301834
YAR027W	-0.041663729730940964
YAR028W	-0.13426335159268063
YAR029W	-0.08393747014608292
YAR030C	-0.10004175220899421
YAR031W	-0.04770283550453263
YAR035W	0.02074036326284019
YAR042W	-0.10406782272472198
YAR047C	-0.03361158869948529
YAR050W	-0.19868047984432566
YBL001C	0.008662151715656801
YBL002W	-0.44225774604585844
YBL003C	-0.0034160598315267194
YBL005W	-0.09198961117753861
YBL006C	-0.3093974190268406
YBL007C	-0.16445888046063925
YBL008W	0.028792504294295803
YBL009W	-0.01750730663657406
YBL010C	-0.10809389324044982
YBL011W	-0.11211996375617767
YBL012C	-0.44225774604585844
YBL013W	-0.08997657591967465
YBL015W	-0.07185925859889954
YBL016W	-0.061794082309579966
YBL017C	-0.03562462395734917
YBL019W	-0.09198961117753861
YBL021C	-0.20673262087578131
YBL022C	-0.44225774604585844
YBL024W	-0.25504546706451503
YBL025W	-0.05978104705171608
YBL027W	-0.0678331880831717
YBL028C	-0.05374194127812435
YBL029W	0.02275339852070414
YBL031W	-0.07387229385676342
YBL032W	-0.1362763868505445
YBL036C	-0.12017210478763328
YBL037W	-0.039650694473077015
YBL038W	-0.21679779716510084
YBL039C	-0.10406782272472198
YBL042C	-0.0688397057121036
YBL043W	-0.10608085798258594
YBL044W	-0.44225774604585844
YBL045C	-0.44225774604585844
YBL046W	-0.03361158869948529
YBL047C	-0.0014030245736627656
YBL048W	-0.045689800246668674
YBL049W	-0.07387229385676342
YBL051C	-0.10406782272472198
YBL052C	-0.09198961117753861
YBL053W	-0.09601568169326638
YBL054W	-0.10004175220899421
YBL055C	-0.12419817530336105
YBL056W	-0.03562462395734917
YBL057C	-0.027572482925893628
YBL058W	-0.44225774604585844
YBL059W	-0.10004175220899428
YBL060W	-0.061794082309579966
YBL061C	0.0026230459420650745
YBL062W	-0.049715870762396516
YBL063W	-0.06582015282530775
YBL064C	-0.15841977468704752
YBL065W	-0.10004175220899421
YBL066C	-0.44225774604585844
YBL067C	-0.041663729730940964
YBL068W	0.004636081199929028
YBL069W	-0.03159855344162133
YBL070C	-0.009455165605118379
YBL071C	-0.09601568169326638
YBL072C	-0.09198961117753861
YBL075C	-0.051728906020260465
YBL078C	-0.08393747014608299
YBL079W	-0.05978104705171608
YBL080C	-0.44225774604585844
YBL081W	-0.126211210561225
YBL082C	-0.18660226829714222
YBL083C	-0.09198961117753861
YBL085W	-0.1181590695297694
YBL086C	-0.03763765921521313
YBL087C	-0.08393747014608292
YBL088C	-0.09400264643540249
YBL089W	-0.03159855344162133
YBL090W	-0.44225774604585844
YBL091C	0.0026230459420650745
YBL091C-A	0.06704017419371004
YBL093C	-0.2167977971651008
YBL094C	-0.21881083242296476
YBL095W	-0.0879635406618107
YBL096C	-0.12419817530336112
YBL098W	-0.005429095089390606
YBL099W	-0.44225774604585844
YBL100C	1.4741518194405816
YBL101C	-0.1282242458190889
YBL102W	0.0932096325459409
YBL103C	0.03281857481002364
YBL104C	0.004636081199928894
YBL106C	-0.05374194127812442
YBL107C	0.012688222231384574
YBR001C	-0.20069351510218958
YBR003W	-0.44225774604585844
YBR005W	-0.021533377152301834
YBR006W	-0.02354641241016572
YBR007C	-0.005429095089390606
YBR008C	0.018727328004976302
YBR009C	-0.051728906020260465
YBR010W	-0.0014030245736626986
YBR012C	-0.025559447668029672
YBR013C	-0.11211996375617767
YBR014C	-0.039650694473077015
YBR015C	-0.30537134851111275
YBR016W	-0.048709353133464604
YBR018C	-0.04971587076239658
YBR019C	-0.44225774604585844
YBR020W	-0.017507306636573926
YBR021W	0.06100106842011839
YBR022W	0.036844645325751484
YBR023C	0.0026230459420650745
YBR024W	-0.13828942210840847
YBR025C	-0.019520341894438013
YBR026C	0.026779469036431983
YBR027C	-0.07588532911462738
YBR028C	-0.15841977468704752
YBR030W	-0.1433220102530682
YBR031W	-0.321475630574024
YBR032W	0.018727328004976302
YBR033W	0.016714292747112346
YBR034C	-0.3073843837689766
YBR035C	-0.009455165605118379
YBR036C	-0.10406782272472198
YBR037C	-0.44225774604585844
YBR040W	0.0026230459420650745
YBR041W	-0.44225774604585844
YBR042C	-0.06582015282530775
YBR043C	-0.019520341894437878
YBR044C	-0.21780431479403278
YBR045C	-0.06984622334103557
YBR046C	-0.10406782272472205
YBR047W	-0.09400264643540249
YBR048W	0.030805539552159755
YBR050C	-0.005429095089390606
YBR051W	0.058988033162254434
YBR052C	-0.28926706644820144
YBR053C	0.028792504294295803
YBR054W	0.004636081199928894
YBR056W	-0.03361158869948529
YBR057C	-0.04568980024666874
YBR058C	-0.05676149416492028
YBR059C	0.006649116457792848
YBR061C	-0.44225774604585844
YBR062C	-0.03763765921521313
YBR063C	-0.02354641241016572
YBR064W	-0.09400264643540249
YBR065C	0.014701257489248528
YBR066C	-0.2691367138695624
YBR067C	0.04288375109934321
YBR068C	0.05697499790439055
YBR069C	-0.005429095089390606
YBR071W	-0.2872540311903376
YBR072W	-0.25907153758024287
YBR073W	0.0932096325459409
YBR074W	0.08012490336982547
YBR076W	-0.44225774604585844
YBR077C	0.11132694986671603
YBR081C	-0.44225774604585844
YBR082C	0.0620075860490503
YBR083W	-0.24246399670286564
YBR084C-A	-0.016836294883952718
YBR084W	-0.44225774604585844
YBR085W	-0.0014030245736627656
YBR089C-A	-0.3496581241841187
YBR090C	0.03281857481002371
YBR092C	-0.03361158869948529
YBR093C	-0.06280059993851195
YBR094W	1.6694162394533802
YBR095C	0.08113142099875746
YBR097W	-0.44225774604585844
YBR098W	0.005307092952550301
YBR099C	0.024766433778568027
YBR101C	0.08515749151448529
YBR103W	0.028792504294295803
YBR104W	-0.08192443488821896
YBR105C	-0.0014030245736627656
YBR106W	0.0006100106842011879
YBR107C	0.01671429274711248
YBR108W	-0.08997657591967465
YBR111C	-0.15640673942918362
YBR112C	-0.44225774604585844
YBR113W	0.0348316100678876
YBR114W	-0.44225774604585844
YBR115C	0.06100106842011839
YBR116C	-0.007442130347254426
YBR119W	-0.09802871695113033
YBR120C	-0.44225774604585844
YBR121C	-0.14298650437675758
YBR122C	-0.44225774604585844
YBR125C	0.014701257489248528
YBR126C	-0.0658201528253078
YBR127C	-0.44225774604585844
YBR128C	-0.04568980024666874
YBR129C	-0.011468200862982265
YBR130C	-0.04367676498880479
YBR131W	-0.0678331880831717
YBR132C	-0.44225774604585844
YBR133C	-0.05575497653598824
YBR134W	-0.30537134851111275
YBR137W	0.036844645325751484
YBR138C	0.058988033162254504
YBR139W	-0.0014030245736626986
YBR141C	0.06301410367798221
YBR144C	-0.007442130347254426
YBR145W	-0.10406782272472205
YBR146W	-0.007442130347254426
YBR147W	-0.009455165605118379
YBR148W	-0.07387229385676342
YBR149W	-0.009455165605118313
YBR150C	-0.08192443488821903
YBR151W	0.008662151715656801
YBR156C	-0.07185925859889954
YBR157C	-0.011468200862982333
YBR158W	0.01671429274711248
YBR159W	-0.06883970571210367
YBR161W	0.06100106842011839
YBR162C	0.08717052677234925
YBR162W-A	0.006649116457792848
YBR163W	-0.44225774604585844
YBR164C	-0.02354641241016572
YBR165W	0.03080553955215969
YBR166C	-0.04367676498880479
YBR168W	-0.10004175220899421
YBR169C	0.0026230459420650745
YBR170C	0.07509231522516566
YBR171W	-0.44225774604585844
YBR172C	-0.44225774604585844
YBR173C	-0.2724917726326689
YBR174C	-0.04367676498880479
YBR175W	-0.06481363519637583
YBR176W	-0.01281022436822488
YBR177C	-0.11312648138510958
YBR178W	0.008662151715656801
YBR179C	-0.3952869233623673
YBR180W	-0.0658201528253078
YBR181C	-0.07789836437249126
YBR182C	-0.057768011793852124
YBR183W	-0.12923076344802087
YBR184W	-0.0386441768441451
YBR185C	-0.0064356127183225155
YBR186W	-0.03294057694686401
YBR187W	-0.05676149416492022
YBR188C	-0.21545577365985819
YBR189W	-0.08796354066181077
YBR191W	-0.44225774604585844
YBR194W	0.055968480275458574
YBR195C	0.0026230459420650745
YBR197C	-0.0416637297309409
YBR199W	0.015707775118180438
YBR200W	-0.07185925859889947
YBR201W	-0.15841977468704752
YBR203W	-0.05273542364919238
YBR204C	-0.03864417684414497
YBR205W	-0.06883970571210367
YBR206W	-0.10608085798258594
YBR207W	-0.12017210478763328
YBR208C	-0.10675186973520721
YBR209W	0.03785116295468346
YBR210W	-0.1574132570581156
YBR212W	-0.13828942210840847
YBR213W	0.0026230459420650745
YBR214W	-0.10004175220899421
YBR215W	-0.1674784333474351
YBR216C	0.024766433778568027
YBR217W	-0.10608085798258594
YBR218C	-0.0064356127183225155
YBR219C	-0.040992717978319625
YBR220C	-0.05978104705171608
YBR221C	0.052277915636041505
YBR222C	-0.08393747014608299
YBR223C	-0.07185925859889947
YBR224W	-0.005429095089390539
YBR225W	0.014701257489248462
YBR226C	-0.009455165605118313
YBR227C	-0.01851382426550597
YBR228W	0.006649116457792848
YBR229C	0.03583812769681957
YBR230C	-0.03663114158628115
YBR231C	0.08817704440128116
YBR232C	-0.0416637297309409
YBR233W	0.009668669344588711
YBR235W	-0.06984622334103557
YBR238C	1.2607700821070074
YBR239C	2.3729720620768155
YBR240C	3.338222468222559
YBR241C	2.7343118908633866
YBR242W	3.2617271284237304
YBR244W	3.8324226240281485
YBR245C	3.562675899474385
YBR246W	3.4841675244176926
YBR248C	2.14851863082499
YBR249C	2.8591200768509486
YBR250W	1.1681704602452674
YBR251W	-0.44225774604585844
YBR255W	-0.029585518183757514
YBR258C	-0.03763765921521313
YBR259W	-0.0014030245736627656
YBR260C	-0.11111344612724569
YBR261C	-0.013481236120846153
YBR262C	-0.25504546706451503
YBR263W	-0.21478476190723692
YBR264C	-0.20270655036005347
YBR266C	-0.24028320850684637
YBR267W	-0.15640673942918362
YBR268W	-0.44225774604585844
YBR269C	-0.44225774604585844
YBR270C	-0.0034160598315267194
YBR271W	-0.007442130347254426
YBR272C	-0.44225774604585844
YBR273C	0.006649116457792848
YBR274W	-0.11010692849831372
YBR275C	-0.28322796067460976
YBR276C	-0.029585518183757514
YBR277C	-0.1845892330392783
YBR278W	-0.32952777160547964
YBR279W	-0.1362763868505445
YBR280C	-0.01750730663657406
YBR281C	-0.12218514004549717
YBR282W	-0.44225774604585844
YBR283C	-0.18861530355500616
YBR284W	0.3186695814266985
YBR285W	-0.07387229385676342
YBR286W	-0.21679779716510084
YBR287W	-0.01750730663657406
YBR288C	0.01671429274711248
YBR289W	-0.44225774604585844
YBR290W	-0.057768011793852124
YBR291C	-0.03763765921521313
YBR292C	-0.08595050540394687
YBR293W	-0.22283690293869254
YBR294W	0.03281857481002364
YBR295W	-0.10004175220899421
YBR296C	-0.22484993819655644
YBR297W	-0.21075869139150913
YBR298C	-0.03361158869948522
YBR299W	-0.08997657591967465
YBR300C	-0.007442130347254426
YBR301W	-0.005429095089390606
YCL001W	0.0016165283131330307
YCL001W-A	-0.06380711756744392
YCL002C	-0.042670247359872876
YCL005W	-0.12117862241656518
YCL007C	-0.3590522887208169
YCL008C	-0.33456035975013937
YCL009C	-0.21948184417558603
YCL010C	-0.38086017068100925
YCL011C	-0.09198961117753854
YCL014W	-0.13979919855180628
YCL016C	-0.13426335159268063
YCL022C	-0.04568980024666874
YCL023C	0.0516069038834201
YCL024W	-0.2017000327311215
YCL025C	-0.010461683234050289
YCL026C-A	-0.039650694473077015
YCL027W	-0.08796354066181077
YCL028W	-0.1020547874668581
YCL029C	-0.08192443488821903
YCL030C	-0.03361158869948529
YCL032W	-0.08997657591967465
YCL033C	-0.10004175220899421
YCL034W	-0.13828942210840847
YCL035C	-0.015494271378710105
YCL036W	-0.09601568169326638
YCL037C	-0.44225774604585844
YCL038C	-0.082930952517151
YCL039W	-0.06380711756744392
YCL040W	-0.08595050540394687
YCL042W	-0.14030245736627234
YCL044C	-0.08997657591967465
YCL045C	-0.13225031633481674
YCL046W	-0.08393747014608292
YCL047C	-0.44225774604585844
YCL048W	-0.11211996375617767
YCL049C	-0.08595050540394687
YCL050C	-0.06917521158841437
YCL051W	-0.05374194127812429
YCL055W	0.0952226678038048
YCL056C	0.07307927996730185
YCL057W	0.08717052677234911
YCL058C	-0.1352698692216126
YCL061C	-0.1523806689134558
YCL063W	0.014701257489248462
YCL064C	0.0026230459420650745
YCL069W	-0.12419817530336105
YCL076W	-0.09601568169326638
YCR001W	-0.10608085798258587
YCR002C	-0.0688397057121036
YCR003W	-0.21478476190723692
YCR004C	-0.25101939654878724
YCR005C	-0.007442130347254426
YCR006C	-0.03361158869948522
YCR007C	-0.02354641241016572
YCR008W	-0.08595050540394687
YCR009C	-0.10004175220899421
YCR010C	-0.1423154926241362
YCR011C	-0.10608085798258594
YCR014C	0.04288375109934314
YCR015C	0.04087071584147939
YCR016W	-0.12218514004549717
YCR017C	-0.234915114485876
YCR019W	0.052948927388662706
YCR020C	-0.17049798623423096
YCR020C-A	-0.025559447668029672
