ORF	hap a | growth (colony size) | chitosan [1.75 mg/ml] | Galvan Marquez I~Smith ML, 2013
YBL056W	0.673
YAL049C	0.603
YBL057C	0.687
YAL045C	0.573
YBL058W	0.000
YAL044C	0.000
YBL059W	0.567
YAL042W	0.000
YBL060W	0.630
YAL043C-A	0.647
YBL061C	0.737
YAL040C	0.000
YBL062W	0.650
YAL039C	0.283
YBL063W	0.623
YAL037W	0.553
YBL064C	0.470
YAL036C	0.000
YBL065W	0.567
YAL035W	0.463
YBL066C	0.000
YAL034C	0.575
YDR059C	0.482
YBR231C	0.878
YDR061W	0.757
YBR233W	0.748
YDR063W	0.510
YBR235W	0.617
YDR065W	0.647
YBR238C	2.820
YDR066C	0.613
YBR239C	4.662
YDR067C	0.550
YBR240C	6.260
YDR068W	0.573
YBR241C	5.260
YDR069C	0.000
YBR242W	6.133
YDR070C	0.747
YBR244W	7.078
YDR072C	0.207
YBR245C	6.632
YDR073W	0.603
YBR246W	6.502
YDR075W	0.453
YBR248C	4.290
YBL042C	0.618
YAL068C	0.503
YBL043W	0.557
YAL067C	0.513
YBL044W	0.000
YAL066W	0.583
YBL045C	0.000
YAL065C	0.617
YBL046W	0.677
YAL062W	0.560
YBL047C	0.730
YAL061W	0.620
YBL048W	0.657
YAL060W	0.550
YBL049W	0.610
YAL059W	0.630
YBL051C	0.560
YAL058W	0.687
YBL052C	0.580
YAL056W	0.520
YBL053W	0.573
YAL055W	0.713
YBL054W	0.567
YAL053W	0.703
YGL089C	0.612
YER050C	0.307
YGL090W	0.707
YER051W	0.470
YGL194C	0.487
YER052C	0.600
YGL195W	0.603
YER053C	0.983
YGL196W	0.787
YER054C	0.597
YGL197W	0.780
YER055C	0.720
YGL198W	0.683
YER056C	0.573
YGL200C	0.000
YER056C-A	0.643
YGL202W	0.620
YER057C	0.810
YGL203C	0.600
YER058W	0.000
YGL205W	0.473
YER059W	0.647
YGL206C	0.000
YER060W	0.520
YDR431W	0.663
YDR294C	0.000
YDR432W	0.647
YDR295C	0.000
YDR433W	0.513
YDR296W	0.503
YDR435C	0.530
YDR297W	0.613
YDR436W	0.543
YDR298C	0.432
YEL001C	0.627
YDR300C	0.293
YEL003W	0.590
YDR304C	0.650
YEL004W	0.000
YDR305C	0.640
YEL005C	0.620
YDR306C	0.527
YEL006W	0.703
YDR307W	0.680
YEL007W	0.387
YDR309C	0.583
YEL008W	0.540
YDR310C	0.567
YGL072C	0.613
YER038W-A	0.000
YGL077C	0.620
YER039C	0.507
YGL078C	0.553
YER040W	0.853
YGL079W	0.690
YER041W	0.813
YGL080W	0.660
YER042W	0.467
YGL081W	0.667
YER044C	0.757
YGL082W	0.837
YER044C-A	0.613
YGL083W	0.600
YER045C	0.573
YGL084C	0.710
YER046W-A	0.707
YGL085W	0.690
YER047C	0.707
YGL086W	1.143
YER048C	0.697
YGL087C	0.693
YER049W	0.442
YDR414C	0.538
YDR278C	0.700
YDR415C	0.660
YDR279W	0.000
YDR418W	0.523
YDR281C	0.507
YDR419W	0.733
YDR282C	0.593
YDR420W	0.583
YDR283C	0.000
YDR421W	0.640
YDR284C	0.683
YDR422C	0.627
YDR285W	0.813
YDR423C	0.667
YDR286C	0.547
YDR425W	0.653
YDR287W	0.603
YDR426C	0.563
YDR289C	0.740
YDR428C	0.770
YDR291W	0.503
YDR430C	0.757
YDR293C	0.398
YGL051W	0.603
YER016W	0.623
YGL053W	0.610
YER017C	0.000
YGL054C	0.813
YER019W	0.560
YGL056C	0.633
YER019C-A	0.793
YGL057C	0.650
YER020W	0.677
YGL058W	0.687
YER024W	0.740
YGL059W	0.447
YER028C	0.717
YGL060W	0.700
YER030W	0.727
YGL062W	0.527
YER032W	0.633
YGL066W	0.680
YER033C	0.473
YGL067W	0.827
YER034W	0.517
YGL070C	0.693
YER035W	0.643
YDR395W	0.622
YDR263C	0.610
YDR399W	0.657
YDR264C	0.637
YDR400W	0.493
YDR265W	0.790
YDR401W	0.677
YDR266C	0.690
YDR402C	0.783
YDR268W	0.313
YDR403W	0.713
YDR270W	0.690
YDR405W	0.000
YDR272W	0.730
YDR406W	0.720
YDR273W	0.610
YDR408C	0.527
YDR274C	0.680
YDR409W	0.527
YDR275W	0.990
YDR410C	0.573
YDR276C	0.667
YDR411C	0.467
YDR277C	0.528
YGL031C	0.646
YEL068C	0.630
YGL032C	0.563
YEL071W	0.577
YGL033W	0.513
YEL072W	0.673
YGL034C	0.597
YER001W	0.643
YGL035C	0.617
YER002W	0.503
YGL036W	0.643
YER004W	0.623
YGL039W	0.590
YER005W	0.687
YGL041C	0.637
YER007C-A	0.567
YGL043W	0.567
YER007W	0.860
YGL045W	0.493
YER010C	0.690
YGL046W	0.253
YER011W	0.720
YGL050W	0.673
YER014C-A	0.126
YDR380W	0.660
YDR251W	0.587
YDR382W	0.750
YDR252W	0.600
YDR383C	0.763
YDR253C	0.693
YDR384C	0.473
YDR254W	0.667
YDR385W	0.620
YDR255C	0.840
YDR386W	0.783
YDR256C	0.657
YDR387C	0.620
YDR257C	0.523
YDR388W	0.703
YDR258C	0.617
YDR389W	0.433
YDR259C	0.690
YDR391C	0.803
YDR260C	0.620
YDR392W	0.853
YDR261C	0.760
YDR393W	0.730
YDR262W	0.515
YGL015C	0.641
YEL054C	0.273
YGL016W	0.367
YEL056W	0.570
YGL017W	0.773
YEL057C	0.700
YGL019W	0.507
YEL059W	0.437
YGL020C	0.650
YEL060C	0.717
YGL021W	0.623
YEL061C	0.517
YGL023C	0.370
YEL062W	0.710
YGL024W	0.933
YEL063C	0.540
YGL025C	0.857
YEL064C	0.653
YGL026C	0.283
YEL065W	0.820
YGL027C	0.727
YEL066W	0.663
YGL028C	0.647
YEL067C	0.518
YDR363W	0.602
YDR231C	0.000
YDR364C	0.000
YDR233C	0.737
YDR368W	0.493
YDR234W	0.577
YDR369C	0.720
YDR237W	0.000
YDR370C	0.577
YDR239C	0.537
YDR371W	0.667
YDR241W	0.760
YDR372C	0.497
YDR244W	0.740
YDR374C	0.603
YDR245W	0.840
YDR375C	0.272
YDR247W	0.627
YDR377W	0.000
YDR248C	0.437
YDR378C	0.627
YDR249C	0.660
YDR379W	0.490
YDR250C	0.600
YER087C-A	0.612
YEL042W	0.583
YGL002W	0.427
YEL043W	0.573
YGL003C	0.570
YEL044W	0.800
YGL004C	0.660
YEL045C	1.680
YGL005C	0.377
YEL046C	1.287
YGL006W	0.577
YEL047C	0.627
YGL007W	0.567
YEL048C	0.727
YGL009C	0.667
YEL049W	0.627
YGL010W	0.610
YEL050C	0.185
YGL012W	0.540
YEL051W	0.000
YGL013C	0.277
YEL052W	0.700
YGL014W	0.463
YEL053C	0.607
YDR346C	0.290
YDR217C	0.450
YDR347W	0.000
YDR218C	0.570
YDR348C	0.583
YDR219C	0.433
YDR349C	0.677
YDR220C	0.563
YDR350C	0.000
YDR221W	0.550
YDR351W	0.603
YDR222W	0.610
YDR352W	0.550
YDR223W	0.377
YDR354W	0.370
YDR225W	0.663
YDR357C	0.637
YDR226W	0.000
YDR358W	0.633
YDR227W	0.573
YDR359C	0.383
YDR229W	0.733
YDR360W	0.513
YDR230W	0.362
YER072W	0.628
YEL027W	0.000
YER073W	0.623
YEL028W	0.577
YER074W	0.283
YEL029C	0.362
YER075C	0.627
YEL030W	0.393
YER079W	0.557
YEL031W	0.603
YER080W	0.463
YEL033W	0.487
YER081W	0.640
YEL036C	0.000
YER083C	0.000
YEL037C	0.573
YER084W	0.650
YEL038W	0.617
YER085C	0.590
YEL039C	0.587
YER086W	0.560
YEL040W	0.523
YER087W	0.173
YEL041W	0.587
YDR329C	0.610
YDR199W	0.617
YDR330W	0.590
YDR200C	0.587
YDR332W	0.000
YDR203W	0.443
YDR333C	0.653
YDR204W	0.000
YDR334W	0.673
YDR206W	0.700
YDR335W	0.623
YDR207C	0.000
YDR336W	0.610
YDR209C	0.673
YDR337W	0.000
YDR210W	0.520
YDR338C	0.640
YDR213W	0.693
YDR340W	0.477
YDR214W	0.673
YDR344C	0.400
YDR215C	0.567
YDR345C	0.000
YDR216W	0.588
YER060W-A	0.580
YEL009C	0.717
YER061C	0.817
YEL010W	0.683
YER062C	0.590
YEL013W	0.000
YER065C	0.433
YEL014C	0.580
YER066C-A	0.630
YEL015W	0.560
YER067W	0.553
YEL016C	0.490
YER067C-A	0.493
YEL017C-A	0.647
YER068W	0.863
YEL017W	0.527
YER068C-A	0.633
YEL020C	0.357
YER069W	0.573
YEL023C	0.570
YER070W	0.000
YEL024W	0.138
YER071C	0.000
YEL025C	0.715
YDR312W	1.771
YDR181C	0.430
YDR313C	6.317
YDR183W	7.237
YDR314C	7.370
YDR184C	7.040
YDR315C	8.600
YDR185C	7.063
YDR316W	8.247
YDR186C	7.503
YDR317W	7.677
YDR191W	9.140
YDR318W	8.703
YDR192C	7.767
YDR319C	6.840
YDR193W	6.117
YDR320C	8.093
YDR194C	0.000
YDR321W	8.383
YDR195W	7.537
YDR322W	0.155
YDR197W	0.000
YDR323C	0.000
YDR198C	2.008
YIL065C	0.155
YHR108W	0.807
YIL072W	0.730
YHR109W	0.670
YIL073C	0.887
YHR110W	0.587
YIL076W	0.710
YHR111W	0.523
YIL077C	0.820
YHR112C	0.553
YIL079C	0.633
YHR113W	0.710
YIL084C	0.597
YHR114W	0.660
YIL086C	0.730
YHR115C	0.623
YIL087C	0.560
YHR116W	0.000
YIL088C	0.503
YHR117W	0.687
YIL090W	0.453
YHR120W	0.000
YIL093C	1.060
YHR121W	0.580
YGR212W	0.623
YGR064W	0.567
YGR213C	0.640
YGR066C	0.780
YGR214W	0.367
YGR069W	0.640
YGR215W	0.000
YGR070W	0.650
YGR217W	0.580
YGR071C	0.813
YHL047C	0.000
YGR072W	0.717
YHL046C	0.873
YGR076C	0.000
YHL045W	0.600
YGR077C	0.777
YHL044W	0.673
YGR078C	0.580
YHL043W	0.653
YGR079W	0.660
YHL042W	0.747
YGR080W	0.680
YHL041W	0.547
YGR081C	0.352
YIL037C	0.770
YHR086W	0.673
YIL039W	0.627
YHR087W	0.700
YIL040W	0.000
YHR092C	0.700
YIL041W	0.783
YHR093W	0.660
YIL043C	0.693
YHR094C	0.813
YIL044C	0.700
YHR095W	0.727
YIL045W	0.443
YHR096C	0.667
YIL049W	0.720
YHR097C	0.747
YIL050W	0.737
YHR103W	0.650
YIL053W	0.713
YHR104W	0.760
YIL057C	0.627
YHR105W	0.697
YIL064W	0.663
YHR106W	0.295
YGR194C	0.625
YGR042W	0.763
YGR196C	0.930
YGR043C	0.457
YGR197C	0.720
YGR044C	0.703
YGR199W	0.647
YGR045C	0.643
YGR200C	0.640
YGR049W	0.863
YGR202C	0.613
YGR051C	0.790
YGR203W	0.800
YGR052W	0.753
YGR205W	0.760
YGR054W	0.317
YGR206W	0.830
YGR057C	0.783
YGR207C	0.763
YGR058W	0.593
YGR208W	0.387
YGR059W	0.537
YGR209C	0.560
YGR062C	0.662
YIL017C	0.727
YHR060W	0.000
YIL020C	0.407
YHR061C	0.787
YIL023C	0.640
YHR066W	0.540
YIL024C	0.620
YHR073W	0.653
YIL025C	0.727
YHR075C	0.633
YIL027C	0.760
YHR076W	0.640
YIL028W	0.693
YHR077C	0.777
YIL029C	0.660
YHR078W	0.790
YIL032C	0.767
YHR079C	0.637
YIL034C	0.680
YHR080C	0.820
YIL035C	0.693
YHR081W	0.730
YIL036W	0.740
YHR082C	0.818
YGR176W	0.663
YGR021W	0.727
YGR177C	0.810
YGR023W	0.623
YGR178C	0.723
YGR026W	0.723
YGR180C	0.000
YGR027C	0.497
YGR181W	0.683
YGR031W	0.663
YGR182C	0.817
YGR033C	0.607
YGR183C	0.817
YGR034W	0.513
YGR184C	0.693
YGR035C	0.737
YGR187C	0.673
YGR036C	0.353
YGR189C	0.787
YGR037C	0.883
YGR192C	0.683
YGR039W	0.723
YGR193C	0.640
YGR041W	0.564
YHR207C	0.797
YHR037W	0.723
YHR209W	0.760
YHR038W	0.000
YHR210C	0.713
YHR039C	0.663
YIL001W	0.723
YHR043C	0.663
YIL002C	0.000
YHR044C	0.723
YIL005W	0.833
YHR046C	0.750
YIL011W	0.503
YHR047C	0.730
YIL012W	0.667
YHR048W	0.720
YIL013C	0.733
YHR049W	0.707
YIL014W	0.780
YHR049C-A	0.730
YIL015W	0.500
YHR050W	0.960
YIL016W	0.773
YHR057C	0.700
YGR161C	0.543
YGR004W	0.820
YGR163W	0.700
YGR006W	0.000
YGR164W	0.710
YGR007W	0.753
YGR165W	0.000
YGR008C	0.677
YGR166W	0.723
YGR010W	0.703
YGR167W	0.000
YGR012W	0.630
YGR168C	0.643
YGR014W	0.867
YGR169C	0.800
YGR015C	0.690
YGR170W	0.690
YGR016W	0.653
YGR171C	0.000
YGR017W	0.730
YGR173W	0.000
YGR019W	0.737
YGR174C	0.720
YGR020C	0.635
YHR182W	0.352
YHR014W	0.790
YHR183W	0.800
YHR015W	0.767
YHR184W	0.677
YHR018C	0.530
YHR189W	0.757
YHR021C	0.000
YHR195W	0.670
YHR022C	0.803
YHR198C	0.847
YHR028C	0.693
YHR199C	0.737
YHR029C	0.723
YHR200W	0.837
YHR030C	0.883
YHR202W	0.000
YHR031C	0.433
YHR203C	0.343
YHR033W	0.910
YHR204W	0.640
YHR034C	0.483
YHR206W	0.623
YHR035W	0.592
YGR144W	0.745
YGL254W	0.697
YGR146C	0.730
YGL255W	0.760
YGR148C	0.723
YGL256W	0.650
YGR149W	0.700
YGL257C	0.740
YGR150C	0.000
YGL258W	0.787
YGR151C	0.650
YGL259W	0.693
YGR152C	0.697
YGL260W	0.647
YGR153W	0.647
YGL261C	0.817
YGR154C	0.607
YGL262W	0.873
YGR157W	0.660
YGL263W	0.600
YGR159C	0.190
YGR001C	0.797
YGR160W	0.033
YGR003W	0.618
YHR156C	0.216
YHL010C	0.767
YHR157W	0.163
YHL009C	0.710
YHR158C	0.633
YHL008C	0.733
YHR159W	0.767
YHL007C	0.723
YHR160C	0.713
YHL006C	0.727
YHR161C	0.583
YHL005C	0.000
YHR163W	0.667
YHL003C	0.640
YHR167W	0.360
YHR001W-A	0.650
YHR176W	0.943
YHR010W	0.000
YHR177W	0.283
YHR011W	0.000
YHR178W	0.000
YHR012W	0.480
YHR179W	0.760
YHR013C	0.618
YGR130C	0.622
YGL240W	0.000
YGR131W	0.737
YGL241W	0.760
YGR132C	0.000
YGL242C	0.670
YGR133W	0.820
YGL243W	0.593
YGR135W	0.560
YGL244W	0.417
YGR136W	0.537
YGL246C	0.000
YGR137W	0.767
YGL248W	0.533
YGR138C	0.830
YGL249W	0.600
YGR139W	0.783
YGL250W	0.707
YGR141W	0.623
YGL251C	0.637
YGR142W	0.000
YGL252C	0.487
YGR143W	0.210
YGL253W	0.593
YHR138C	0.619
YHL027W	0.173
YHR139C	0.703
YHL026C	0.750
YHR139C-A	0.703
YHL023C	0.477
YHR142W	0.777
YHL022C	0.000
YHR143W	0.777
YHL021C	0.707
YHR147C	0.000
YHL020C	0.590
YHR150W	0.697
YHL019C	0.617
YHR151C	0.467
YHL017W	0.540
YHR152W	0.390
YHL016C	0.720
YHR153C	0.450
YHL014C	0.627
YHR154W	0.000
YHL013C	0.463
YHR155W	0.600
YHL012W	0.562
YGR108W	0.583
YGL224C	0.640
YGR109C	0.193
YGL226C-A	0.603
YGR111W	0.543
YGL226W	0.680
YGR112W	0.000
YGL227W	0.567
YGR118W	0.247
YGL228W	0.000
YGR121C	0.530
YGL229C	0.707
YGR123C	0.627
YGL230C	0.663
YGR124W	0.623
YGL231C	0.780
YGR125W	0.577
YGL232W	0.627
YGR126W	0.707
YGL234W	0.043
YGR127W	0.593
YGL236C	0.547
YGR129W	0.000
YGL237C	0.638
YHR123W	0.442
YHL040C	0.000
YHR124W	0.583
YHL038C	0.000
YHR125W	0.467
YHL037C	0.573
YHR126C	0.170
YHL036W	0.147
YHR129C	0.293
YHL035C	0.590
YHR130C	0.403
YHL034C	0.337
YHR132C	0.670
YHL033C	0.450
YHR133C	0.517
YHL032C	0.570
YHR134W	0.453
YHL031C	0.563
YHR135C	0.317
YHL030W	0.590
YHR136C	0.400
YHL029C	0.000
YHR137W	0.510
YHL028W	0.549
YGR084C	0.175
YGL208W	0.523
YGR085C	0.000
YGL209W	0.757
YGR087C	0.603
YGL210W	0.153
YGR088W	0.457
YGL211W	0.527
YGR096W	0.713
YGL212W	0.000
YGR097W	0.000
YGL213C	0.467
YGR100W	0.530
YGL215W	0.620
YGR101W	0.173
YGL216W	0.507
YGR102C	0.000
YGL220W	0.000
YGR104C	0.197
YGL221C	0.000
YGR105W	0.000
YGL222C	0.613
YGR107W	0.457
YGL223C	0.277
YLR087C	0.292
YLL006W	0.760
YLR089C	0.640
YLL009C	0.000
YLR090W	0.627
YLL010C	0.603
YLR091W	0.713
YLL012W	0.407
YLR092W	0.000
YLL013C	0.647
YLR093C	0.593
YLL014W	0.427
YLR094C	0.613
YLL015W	0.653
YLR095C	0.577
YLL016W	0.717
YLR096W	0.633
YLL017W	0.590
YLR097C	0.567
YLL019C	0.617
YLR098C	0.403
YLL020C	0.417
YLR099C	0.637
YLL021W	0.603
YKL148C	0.657
YKL015W	0.627
YKL149C	0.510
YKL016C	0.315
YKL150W	0.667
YKL017C	0.643
YKL151C	0.573
YKL020C	0.683
YKL155C	0.000
YKL023W	0.537
YKL156W	0.540
YKL025C	0.720
YKL157W	0.793
YKL026C	0.540
YKL158W	0.660
YKL027W	0.740
YKL159C	0.597
YKL029C	0.660
YKL160W	0.680
YKL031W	0.607
YKL161C	0.570
YKL032C	0.730
YKL162C	0.663
YKL034W	0.550
YLR070C	0.735
YKR055W	0.620
YLR072W	0.740
YKR056W	0.620
YLR073C	0.647
YKR057W	0.513
YLR074C	0.737
YKR058W	0.780
YLR077W	0.697
YKR059W	0.670
YLR079W	0.677
YKR060W	0.657
YLR080W	0.677
YKR061W	0.637
YLR081W	0.573
YKR064W	0.607
YLR082C	0.610
YKR065C	0.560
YLR083C	0.657
YLL001W	0.870
YLR084C	0.573
YLL002W	0.623
YLR085C	0.763
YLL005C	0.762
YKL132C	0.612
YJL131C	0.697
YKL133C	0.613
YJL130C	0.713
YKL134C	0.357
YJL129C	0.307
YKL135C	0.417
YKL001C	0.717
YKL136W	0.593
YKL002W	0.347
YKL137W	0.620
YKL003C	0.333
YKL138C	0.000
YKL006W	0.687
YKL140W	0.580
YKL007W	0.820
YKL142W	0.600
YKL008C	0.630
YKL143W	0.283
YKL009W	0.573
YKL146W	0.613
YKL010C	0.627
YKL147C	0.540
YKL011C	0.465
YLR056W	0.557
YKR035C	0.630
YLR057W	0.690
YKR042W	0.747
YLR058C	0.000
YKR043C	0.647
YLR059C	0.767
YKR044W	0.683
YLR061W	0.687
YKR045C	0.680
YLR062C	0.627
YKR047W	0.707
YLR063W	0.640
YKR048C	0.640
YLR064W	0.727
YKR049C	0.687
YLR065C	0.510
YKR050W	0.657
YLR067C	0.000
YKR051W	0.740
YLR068W	0.330
YKR052C	0.600
YLR069C	0.332
YKR054C	0.607
YKL118W	0.398
YJL148W	0.000
YKL119C	0.663
YJL147C	0.643
YKL120W	0.690
YJL146W	0.723
YKL121W	0.697
YJL145W	0.677
YKL123W	0.753
YJL144W	0.827
YKL124W	0.600
YJL142C	0.630
YKL126W	0.467
YJL140W	0.375
YKL127W	0.633
YJL139C	0.650
YKL128C	0.737
YJL138C	0.657
YKL129C	0.733
YJL135W	0.500
YKL130C	0.783
YJL134W	0.433
YKL131W	0.540
YJL133W	0.573
YLR027C	0.652
YKR015C	0.737
YLR028C	0.683
YKR016W	0.683
YLR042C	0.710
YKR017C	0.747
YLR043C	0.573
YKR018C	0.563
YLR044C	0.720
YKR020W	0.593
YLR046C	0.727
YKR021W	0.673
YLR047C	0.783
YKR024C	0.483
YLR048W	0.670
YKR026C	0.647
YLR049C	0.720
YKR030W	0.807
YLR053C	0.640
YKR031C	0.747
YLR054C	0.577
YKR032W	0.000
YLR055C	0.623
YKR033C	0.757
YKL101W	0.627
YJL162C	0.647
YKL102C	0.690
YJL161W	0.680
YKL103C	0.720
YJL159W	0.443
YKL105C	0.757
YJL158C	0.603
YKL106W	0.760
YJL157C	0.723
YKL107W	0.603
YJL155C	0.773
YKL109W	0.603
YJL154C	0.573
YKL110C	0.737
YJL153C	0.640
YKL113C	0.983
YJL152W	0.757
YKL114C	0.653
YJL151C	0.685
YKL116C	0.747
YJL150W	0.617
YKL117W	0.573
YJL149W	0.564
YLR013W	0.745
YKL221W	0.647
YLR014C	0.723
YKL222C	0.667
YLR015W	0.533
YKR001C	0.597
YLR016C	0.617
