ORF	hap a | growth (colony size) | chitosan [1.75 mg/ml] | Galvan Marquez I~Smith ML, 2013
YJL165C	0.603
YKL098W	0.680
YJL164C	0.597
YKL100C	0.583
YJL163C	0.692
YLL057C	0.300
YKL200C	0.737
YLL058W	0.717
YKL205W	0.560
YLL060C	0.700
YKL206C	0.643
YLL061W	0.713
YKL207W	0.720
YLL062C	0.737
YKL208W	0.743
YLL063C	0.697
YKL211C	0.523
YLR001C	0.600
YKL212W	0.630
YLR003C	0.690
YKL213C	0.763
YLR004C	0.660
YKL214C	0.603
YLR006C	0.000
YKL216W	0.743
YLR011W	0.727
YKL217W	0.687
YLR012C	0.673
YKL218C	0.573
YKL069W	0.390
YJL192C	0.710
YKL070W	0.703
YJL191W	0.797
YKL071W	0.700
YJL190C	0.690
YKL072W	0.707
YJL189W	0.230
YKL073W	0.337
YJL188C	0.780
YKL074C	0.620
YJL187C	0.753
YKL075C	0.610
YJL186W	0.837
YKL076C	0.647
YJL185C	0.000
YKL077W	0.657
YJL183W	0.650
YKL079W	0.717
YJL181W	0.727
YKL080W	0.000
YJL182C	0.597
YKL081W	0.533
YJL180C	0.201
YLL041C	0.620
YKL178C	0.673
YLL042C	0.760
YKL179C	0.533
YLL043W	0.737
YKL183W	0.610
YLL045C	0.697
YKL184W	0.713
YLL046C	0.660
YKL185W	0.640
YLL047W	0.757
YKL187C	0.523
YLL051C	0.790
YKL188C	0.737
YLL052C	0.697
YKL190W	0.673
YLL053C	0.750
YKL191W	0.680
YLL054C	0.597
YKL197C	0.663
YLL055W	0.613
YKL198C	0.617
YLL056C	0.657
YKL199C	0.643
YKL053W	0.775
YJL208C	0.513
YKL054C	0.797
YJL207C	0.710
YKL055C	0.480
YJL206C	0.327
YKL056C	0.570
YJL206C-A	0.690
YKL061W	0.700
YJL204C	0.650
YKL062W	0.757
YJL201W	0.647
YKL063C	0.690
YJL200C	0.683
YKL064W	0.717
YJL199C	0.723
YKL065C	0.763
YJL198W	0.717
YKL066W	0.583
YJL197W	0.573
YKL067W	0.733
YJL196C	0.667
YKL068W	0.503
YJL193W	0.662
YLL023C	0.230
YKL163W	0.397
YLL024C	0.630
YKL164C	0.770
YLL025W	0.673
YKL166C	0.693
YLL026W	0.547
YKL167C	0.610
YLL027W	0.348
YKL168C	0.673
YLL028W	0.607
YKL169C	0.282
YLL029W	0.000
YKL170W	0.318
YLL032C	0.603
YKL171W	0.493
YLL033W	0.300
YKL174C	0.660
YLL038C	0.693
YKL175W	0.500
YLL039C	0.637
YKL176C	0.497
YLL040C	0.607
YKL177W	0.460
YKL037W	0.380
YIL095W	0.627
YKL038W	0.740
YIL096C	0.593
YKL039W	0.560
YIL097W	0.727
YKL040C	0.690
YJL218W	0.583
YKL041W	0.677
YJL217W	0.677
YKL043W	0.680
YJL216C	0.567
YKL044W	0.627
YJL215C	0.680
YKL046C	0.817
YJL214W	0.657
YKL047W	0.687
YJL212C	0.610
YKL048C	0.000
YJL210W	0.743
YKL050C	0.633
YJL211C	0.613
YKL051W	0.563
YJL209W	0.242
YMR231W	0.314
YMR016C	0.000
YMR232W	0.607
YMR017W	0.417
YMR233W	0.613
YMR018W	0.790
YMR234W	0.347
YMR019W	0.613
YMR237W	0.637
YMR020W	0.000
YMR238W	0.840
YMR021C	0.000
YMR241W	0.690
YMR022W	0.633
YMR242C	0.333
YMR023C	0.777
YMR243C	0.693
YMR024W	0.000
YMR244W	0.633
YMR025W	0.550
YMR245W	0.520
YMR026C	0.967
YMR244C-A	0.583
YMR027W	0.562
YLR352W	0.595
YLR221C	0.338
YLR353W	0.000
YLR224W	0.353
YLR354C	0.000
YLR225C	0.287
YLR356W	0.860
YLR227C	0.668
YLR357W	0.803
YLR228C	0.763
YLR360W	0.493
YLR231C	0.803
YLR362W	0.833
YLR232W	0.640
YLR363C	0.683
YLR233C	0.530
YLR364W	0.607
YLR234W	0.673
YLR365W	0.767
YLR235C	0.503
YLR366W	0.487
YLR236C	0.753
YLR367W	0.493
YMR266W	0.271
YMR214W	0.580
YML001W	0.000
YMR215W	0.743
YMR002W	0.000
YMR216C	0.000
YMR003W	0.633
YMR219W	0.627
YMR006C	0.643
YMR221C	0.530
YMR007W	0.710
YMR222C	0.853
YMR008C	0.583
YMR223W	0.583
YMR009W	0.667
YMR224C	0.430
YMR010W	0.827
YMR225C	0.727
YMR011W	0.000
YMR226C	0.620
YMR012W	0.723
YMR228W	0.000
YMR014W	0.570
YMR230W	0.387
YMR015C	0.346
YLR333C	0.660
YLR206W	0.630
YLR335W	0.627
YLR207W	0.000
YLR337C	0.000
YLR209C	0.000
YLR338W	0.827
YLR210W	0.603
YLR341W	0.723
YLR211C	0.667
YLR342W	0.410
YLR213C	0.673
YLR344W	0.583
YLR214W	0.743
YLR345W	0.623
YLR216C	0.553
YLR348C	0.633
YLR217W	0.637
YLR349W	0.627
YLR218C	0.000
YLR350W	0.000
YLR219W	0.587
YLR351C	0.663
YLR220W	0.451
YMR193C-A	0.343
YML013C-A	0.480
YMR195W	0.790
YML012W	0.657
YMR196W	0.597
YML011C	0.527
YMR198W	0.677
YML010W-A	0.527
YMR199W	0.563
YML009C	0.720
YMR201C	0.457
YML008C	0.000
YMR202W	0.597
YML007W	0.540
YMR204C	0.640
YML006C	0.527
YMR205C	0.543
YML005W	0.650
YMR206W	0.617
YML004C	0.630
YMR207C	0.530
YML003W	0.680
YMR210W	0.580
YML002W	0.623
YLR319C	0.590
YLR189C	0.733
YLR320W	0.000
YLR190W	0.527
YLR322W	0.320
YLR191W	0.690
YLR324W	0.790
YLR193C	0.647
YLR325C	0.590
YLR194C	0.697
YLR326W	0.667
YLR199C	0.637
YLR327C	0.503
YLR200W	0.630
YLR328W	0.610
YLR201C	0.000
YLR329W	0.000
YLR202C	0.000
YLR330W	0.473
YLR203C	0.000
YLR331C	0.345
YLR204W	0.000
YLR332W	0.623
YLR205C	0.543
YMR182C	0.525
YML030W	0.620
YMR183C	0.637
YML029W	0.807
YMR184W	0.000
YML028W	0.523
YMR186W	0.407
YML026C	0.283
YMR187C	0.473
YML024W	0.247
YMR188C	0.730
YML020W	0.707
YMR189W	0.623
YML019W	0.357
YMR190C	0.607
YML018C	0.520
YMR191W	0.537
YML017W	0.663
YMR192W	0.620
YML016C	0.527
YMR193W	0.000
YML014W	0.583
YMR194W	0.533
YML013W	0.595
YLR303W	0.581
YLR176C	0.603
YLR304C	0.000
YLR177W	0.503
YLR306W	0.470
YLR178C	0.690
YLR307W	0.000
YLR179C	0.500
YLR308W	0.657
YLR180W	0.313
YLR309C	0.593
YLR181C	0.597
YLR311C	0.680
YLR182W	0.240
YLR312C	0.680
YLR183C	0.733
YLR312W-A	0.000
YLR184W	0.417
YLR313C	0.580
YLR185W	0.530
YLR315W	0.607
YLR187W	0.607
YLR318W	0.470
YLR188W	0.542
YMR167W	0.610
YLR414C	0.000
YMR169C	0.358
YLR415C	0.643
YMR170C	0.650
YLR416C	0.407
YMR172C-A	0.720
YLR417W	0.650
YMR173W-A	0.000
YLR418C	0.610
YMR174C	0.628
YLR421C	0.600
YMR175W	0.308
YML037C	0.683
YMR176W	0.600
YML035C	0.260
YMR177W	0.533
YML034W	0.637
YMR178W	0.570
YML035C-A	0.550
YMR179W	0.580
YML033W	0.653
YMR180C	0.590
YML032C	0.248
YLR287C	0.484
YLR151C	0.450
YLR287C-A	0.377
YLR152C	0.553
YLR288C	0.000
YLR154C	0.567
YLR289W	0.603
YLR164W	0.573
YLR290C	0.627
YLR165C	0.587
YLR292C	0.537
YLR168C	0.657
YLR294C	0.597
YLR169W	0.657
YLR295C	0.000
YLR170C	0.593
YLR296W	0.590
YLR171W	0.000
YLR297W	0.687
YLR172C	0.513
YLR299W	0.610
YLR173W	0.627
YLR300W	0.590
YLR174W	0.570
YMR153W	0.633
YLR399C	0.000
YMR153C-A	0.583
YLR400W	0.603
YMR155W	0.557
YLR401C	0.573
YMR156C	0.627
YLR402W	0.517
YMR157C	0.597
YLR403W	0.000
YMR158W-A	0.647
YLR404W	0.593
YMR159C	0.000
YLR405W	0.560
YMR161W	0.703
YLR407W	0.500
YMR162C	0.587
YLR408C	0.000
YMR163C	0.537
YLR410W	0.460
YMR164C	0.397
YLR412W	0.560
YMR166C	0.293
YLR413W	0.613
YLR269C	0.322
YLR134W	0.500
YLR270W	0.000
YLR135W	0.590
YLR271W	0.587
YLR136C	0.600
YLR273C	0.000
YLR137W	0.523
YLR278C	0.667
YLR138W	0.480
YLR279W	0.577
YLR139C	0.000
YLR280C	0.000
YLR142W	0.633
YLR281C	0.610
YLR143W	0.530
YLR282C	0.623
YLR144C	0.560
YLR283W	0.650
YLR148W	0.000
YLR284C	0.713
YLR149C	0.570
YLR285W	0.673
YLR150W	0.544
YMR042W	0.617
YLR385C	0.420
YMR044W	0.000
YLR386W	0.687
YMR140W	0.570
YLR387C	0.670
YMR141C	0.633
YLR388W	0.457
YMR143W	0.347
YLR389C	0.597
YMR144W	0.000
YLR390W	0.603
YMR145C	0.633
YLR391W	0.533
YMR147W	0.537
YLR392C	0.543
YMR148W	0.553
YLR393W	0.570
YMR151W	0.000
YLR395C	0.527
YMR150C	0.000
YLR396C	0.000
YMR152W	0.550
YLR398C	0.597
YLR255C	0.308
YLR121C	0.540
YLR257W	0.600
YLR122C	0.487
YLR258W	0.557
YLR123C	0.667
YLR260W	0.000
YLR124W	0.590
YLR261C	0.000
YLR125W	0.467
YLR262C	0.537
YLR420W	0.000
YLR263W	0.517
YLR451W	0.403
YLR264W	0.483
YLR126C	0.000
YLR265C	0.583
YLR128W	0.570
YLR266C	0.560
YLR130C	0.603
YLR267W	0.613
YLR131C	0.740
YLR268W	0.423
YLR133W	0.721
YMR029C	0.415
YLR368W	0.000
YMR030W	0.597
YLR369W	0.000
YMR031W-A	0.530
YLR371W	0.710
YMR031C	0.647
YLR372W	0.033
YMR032W	0.000
YLR373C	0.343
YMR034C	0.577
YLR374C	0.330
YMR035W	0.620
YLR375W	0.790
YMR036C	0.467
YLR376C	0.623
YMR038C	0.000
YLR377C	0.537
YMR039C	0.623
YLR380W	0.557
YMR040W	0.483
YLR381W	0.510
YMR041C	0.663
YLR384C	0.287
YLR239C	0.660
YLR102C	0.600
YLR240W	0.000
YLR104W	0.547
YLR241W	0.563
YLR107W	0.567
YLR242C	0.487
YLR108C	0.567
YLR244C	0.000
YLR109W	0.000
YLR247C	0.693
YLR111W	0.000
YLR248W	0.813
YLR112W	0.483
YLR250W	0.607
YLR113W	0.000
YLR251W	0.610
YLR114C	0.252
YLR252W	0.000
YLR118C	0.663
YLR253W	0.590
YLR119W	0.427
YLR254C	0.467
YLR120C	0.313
YOR245C	0.628
YOR109W	0.743
YOR246C	0.743
YOR111W	0.797
YOR247W	0.683
YOR112W	0.560
YOR251C	0.757
YOR113W	0.613
YOR252W	0.880
YOR114W	0.793
YOR253W	0.000
YOR115C	0.777
YOR255W	0.823
YOR118W	0.630
YOR258W	0.000
YOR120W	0.710
YOR263C	0.000
YOR121C	0.700
YOR264W	0.723
YOR123C	0.597
YOR277C	0.643
YOR124C	0.773
YOR279C	0.703
YOR126C	0.657
YNL157W	0.293
YNL297C	0.727
YNL156C	0.640
YNL295W	0.705
YNL155W	0.720
YNL294C	0.648
YNL154C	0.820
YNL293W	0.713
YNL153C	0.490
YNL292W	0.523
YNL148C	0.000
YNL291C	0.489
YOR001W	0.680
YNL289W	0.457
YOR002W	0.567
YNL288W	0.602
YOR003W	0.000
YNL286W	0.655
YOR005C	0.000
YNL285W	0.637
YOR006C	0.817
YNL283C	0.787
YOR007C	0.607
YNL281W	0.467
YOR230W	0.583
YOR092W	0.513
YOR231W	0.643
YOR093C	0.637
YOR233W	0.603
YOR094W	0.673
YOR234C	0.787
YOR097C	0.643
YOR235W	0.697
YOR099W	0.660
YOR237W	0.000
YOR100C	0.790
YOR238W	0.660
YOR101W	0.677
YOR239W	0.687
YOR104W	0.743
YHR101C	0.677
YOR105W	0.627
YOR241W	0.333
YOR106W	0.540
YOR242C	0.633
YOR107W	0.677
YOR243C	0.643
YOR108W	0.583
YNL173C	0.680
YNL314W	0.690
YNL170W	0.000
YNL311C	0.580
YNL171C	0.000
YNL309W	0.663
YNL169C	0.000
YNL307C	0.620
YNL168C	0.000
YNL305C	0.580
YNL167C	0.727
YNL304W	0.532
YNL166C	0.000
YNL303W	0.670
YNL165W	0.600
YNL302C	0.722
YNL164C	0.723
YNL301C	0.292
YNL162W	0.000
YNL299W	0.618
YNL160W	0.332
YNL298W	0.350
YNL159C	0.637
YNL296W	0.582
YOR214C	0.221
YOR080W	0.680
YOR215C	0.547
YOR081C	0.623
YOR216C	0.660
YOR082C	0.580
YOR219C	0.000
YOR083W	0.677
YOR221C	0.737
YOR084W	0.583
YOR222W	0.527
YOR085W	0.587
YOR223W	0.767
YOR086C	0.640
YOR225W	0.580
YOR087W	0.637
YOR226C	0.600
YOR088W	0.633
YOR227W	0.557
YOR089C	0.470
YOR228C	0.677
YOR090C	0.700
YOR229W	0.610
YOR091W	0.675
YNL194C	0.593
YNL329C	0.513
YNL193W	0.573
YNL328C	0.583
YNL192W	0.563
YNL327W	0.550
YNL191W	0.610
YNL326C	0.000
YNL190W	0.747
YNL324W	0.707
YNL187W	0.633
YNL325C	0.660
YNL184C	0.323
YNL323W	0.457
YNL183C	0.567
YNL322C	0.680
YNL179C	0.647
YNL321W	0.677
YNL177C	0.342
YNL320W	0.670
YNL176C	0.433
YNL319W	0.753
YNL175C	0.433
YNL318C	0.428
YOR197W	0.467
YOR065W	0.297
YOR198C	0.387
YOR066W	0.650
YOR199W	0.637
YOR067C	0.653
YOR200W	0.287
YOR068C	0.640
YOR201C	0.312
YOR069W	0.623
YOR202W	0.633
YOR070C	0.780
YOR205C	0.302
YOR071C	0.680
YOR208W	0.630
YOR072W	0.687
YOR209C	0.583
YOR073W	0.623
YOR211C	0.293
YOR076C	0.403
YOR212W	0.617
YOR078W	0.653
YOR213C	0.713
YOR079C	0.582
YNL206C	0.627
YMR305C	0.497
YNL205C	0.573
YMR306C-A	0.503
YNL204C	0.000
YMR307W	0.530
YNL202W	0.613
YMR310C	0.607
YNL203C	0.583
YNL339C	0.570
YNL201C	0.530
YNL338W	0.577
YNL200C	0.633
YNL336W	0.210
YNL199C	0.643
YNL335W	0.517
YNL198C	0.607
YNL334C	0.513
YNL197C	0.617
YNL333W	0.640
YNL196C	0.533
YNL332W	0.657
YNL195C	0.780
YNL330C	0.612
YOR184W	0.375
YOR047C	0.000
YOR185C	0.563
YOR049C	0.000
YOR186W	0.000
YOR050C	0.373
YOR187W	0.167
YOR051C	0.330
YOR188W	0.000
YOR052C	0.000
YOR189W	0.000
YOR053W	0.000
YOR190W	0.000
YOR055W	0.000
YOR191W	0.607
YOR058C	0.610
YOR192C	0.930
YOR059C	0.887
YOR193W	0.890
YOR061W	1.373
YOR195W	36.250
YOR062C	0.993
YOR196C	0.000
YOR064C	0.423
YNL225C	0.229
YMR292W	0.000
YNL224C	0.563
YMR293C	0.000
YNL223W	0.000
YMR294W	0.373
YNL219C	0.333
YMR294W-A	0.330
YNL218W	0.000
YMR295C	0.000
YNL217W	0.000
YMR297W	0.000
YNL215W	0.000
YMR299C	0.000
YNL214W	0.607
YMR300C	0.610
YNL213C	0.465
YMR302C	0.887
YNL212W	0.890
YMR303C	1.373
YNL211C	36.250
YMR304W	0.993
YNL208W	0.000
YMR304C-A	0.408
YOR165W	0.000
YOR033C	0.000
YOR166C	0.563
YOR034C	0.000
YOR167C	0.000
YOR035C	0.373
YOR170W	0.333
YOR036W	0.330
YOR171C	0.000
YOR037W	0.000
YOR172W	0.000
YOR038C	0.000
YOR173W	0.000
YOR039W	0.000
YOR175C	0.607
YOR040W	0.610
YOR177C	0.930
YOR041C	0.887
YOR178C	0.890
YOR042W	1.373
YOR182C	36.250
YOR043W	0.993
YOR183W	0.000
YOR044W	0.177
YNL238W	0.406
YMR275C	0.000
YNL237W	0.563
YMR276W	0.000
YNL236W	0.000
YMR278W	0.373
YNL235C	0.333
YMR280C	0.330
YNL234W	0.000
YMR282C	0.000
YNL233W	0.000
YMR283C	0.000
YNL231C	0.000
YMR284W	0.000
YNL230C	0.607
YMR285C	0.610
YNL229C	0.930
YMR286W	0.443
YNL228W	0.890
YMR287C	0.687
YNL226W	36.250
YMR289W	0.993
YNL227C	0.000
YMR291W	0.177
YOR140W	0.318
YOR021C	0.000
YOR141C	0.563
YOR022C	0.000
YOR142W	0.000
YOR023C	0.373
YOR144C	0.333
YOR024W	0.330
YOR152C	0.000
YOR025W	0.000
YOR153W	0.000
YOR026W	0.000
YOR154W	0.000
YOR027W	0.000
YOR156C	0.607
YOR028C	0.610
YOR161C	0.930
YOR029W	0.887
YOR162C	0.890
YOR030W	1.373
YOR163W	36.250
YOR031W	0.993
YOR164C	0.000
YOR032C	0.430
YNL264C	0.420
YMR259C	0.000
YNL259C	0.600
YMR261C	0.000
YNL257C	0.465
YMR262W	0.373
YNL255C	0.475
YMR263W	0.330
YNL254C	0.212
YMR264W	0.000
YNL253W	0.303
YMR265C	0.000
YNL249C	0.425
YNL248C	0.667
YMR267W	0.652
YNL246W	0.593
YMR269W	0.887
YNL242W	0.890
YMR272C	1.373
YNL241C	36.250
YMR273C	0.993
YNL239W	0.000
YMR274C	0.437
YOR127W	0.075
YOR008C	0.000
YOR129C	0.563
YOR009W	0.000
YOR130C	0.000
YOR010C	0.373
YOR131C	0.333
YOR011W	0.330
YOR132W	0.000
YOR012W	0.000
YOR133W	0.000
YOR013W	0.000
YOR134W	0.000
YOR014W	0.000
YOR135C	0.607
YOR015W	0.610
YOR136W	0.930
YOR016C	0.887
YOR137C	0.890
YOR017W	1.373
YOR138C	36.250
YOR018W	0.993
YOR139C	0.000
YOR019W	0.177
YNL280C	0.653
YMR246W	0.000
YNL278W	0.400
YMR247C	0.000
YNL277W	0.442
YMR250W	0.373
YNL276C	0.312
YMR251W	0.677
YNL275W	0.745
YMR251W-A	1.020
YNL273W	0.947
YMR252C	0.677
YNL271C	0.382
YMR253C	0.313
YNL270C	0.832
YMR254C	0.937
YNL269W	0.830
YMR255W	0.947
YNL268W	0.708
YMR256C	0.158
YNL266W	17.568
YMR257C	0.000
YNL265C	0.402
YMR258C	0.494
YPR018W	0.437
YPL107W	0.670
YPR020W	0.340
YPL106C	0.630
YPR027C	0.608
YPL105C	0.683
YPR028W	0.712
YPL104W	0.000
YPR029C	0.500
YPL103C	0.527
YPR030W	0.325
YPL101W	0.423
YPR032W	0.463
YPL102C	0.257
YPR036W	0.000
YPL100W	0.727
YPR038W	0.670
YPL099C	0.647
YPR039W	0.672
YPL098C	0.607
YPR040W	0.228
YPL097W	0.000
YPR042C	0.645
YPL096W	0.445
YPL234C	0.305
YOL007C	1.113
YPL232W	0.757
YOL008W	0.787
YPL230W	0.627
YOL009C	0.000
YPL229W	0.727
YOL011W	0.883
YPL227C	0.747
YOL012C	0.527
YPL226W	0.727
YOL013C	0.613
YPL225W	0.743
YOL014W	0.660
YPL223C	0.683
YOL015W	0.647
YPL222W	0.793
YOL017W	0.667
YPL221W	0.703
YOL018C	0.553
YPL220W	0.633
YOL019W	0.703
YPL219W	0.653
YOL020W	0.564
YPL001W	0.730
YPL120W	0.827
YPR001W	0.827
YPL119C	0.713
YPR002W	0.907
YPL118W	0.000
YPR003C	0.763
YPL116W	0.767
YPR004C	0.653
YPL115C	0.617
YPR005C	0.710
YPL114W	0.780
YPR006C	0.632
YPL113C	0.707
YPR009W	0.685
YPL112C	0.670
YPR012W	0.705
YPL111W	0.780
YPR014C	0.698
YPL110C	0.633
YPR015C	0.667
YPL109C	0.790
YPR017C	0.737
YPL108W	0.682
YPL253C	0.523
YOR380W	0.870
YPL250C	0.720
YOR381W	0.757
YPL249C	0.673
YOR382W	0.727
YPL248C	0.840
YOR383C	0.530
YPL247C	0.760
YOR384W	0.750
YPL246C	0.637
YOR385W	0.677
YPL245W	0.843
YOR386W	0.717
YPL244C	0.793
YOL001W	0.000
YPL241C	0.717
YOL002C	0.740
YPL240C	0.677
YOL003C	0.783
YPL239W	0.673
YOL004W	0.333
YPL236C	0.743
YOL006C	0.650
YPL021W	0.578
YPL140C	1.153
YPL019C	0.590
YPL139C	0.580
YPL018W	0.550
YPL138C	0.650
YPL017C	0.740
YPL136W	0.550
YPL014W	0.817
YPL135W	0.817
YPL013C	0.410
YPL133C	0.610
YPL009C	0.517
YPL130W	0.670
YPL008W	0.503
YPL129W	0.000
YPL006W	0.667
YPL127C	0.617
YPL005W	0.000
YPL125W	0.627
YPL003W	0.723
YPL123C	0.723
YPL002C	0.203
YPL121C	0.593
YPL267W	0.860
YOR360C	0.000
YPL265W	0.780
YOR363C	0.913
YPL264C	0.847
YOR365C	0.657
YPL263C	0.713
YOR367W	0.803
YPL262W	0.000
YOR368W	0.687
YPL260W	0.617
YOR369C	0.653
YPL261C	0.000
YOR371C	0.690
YPL259C	0.597
YOR374W	0.730
YPL258C	0.780
YOR375C	0.677
YPL257W	0.733
YOR376W	0.000
YPL256C	0.617
YOR377W	0.687
YPL254W	0.000
YOR378W	0.695
YPL037C	0.553
YPL159C	0.550
YPL036W	0.365
YPL157W	0.557
YPL033C	0.663
YPL156C	0.523
YPL032C	0.610
YPL155C	0.583
YPL031C	0.000
YPL154C	0.617
YPL030W	0.650
YPL152W	0.540
YPL029W	0.000
YPL150W	0.640
YPL026C	0.727
YPL149W	0.620
YPL025C	0.690
YPL147W	0.633
YPL024W	0.597
YPL145C	0.547
YPL023C	0.673
YPL144W	0.670
YPL022W	0.543
YPL141C	0.648
YOL080C	0.472
YOR347C	0.647
YOL081W	0.000
YOR348C	0.630
YOL082W	0.747
YOR349W	0.517
YOL083W	0.640
YOR350C	0.780
YOL084W	0.680
YOR351C	0.603
YOL085C	0.730
YOR352W	0.710
YPL274W	0.647
YOR354C	0.697
YPL273W	0.667
YOR355W	0.647
YPL272C	0.687
YOR356W	0.623
YPL271W	0.000
YOR357C	0.497
YPL270W	0.000
YOR358W	0.673
YPL269W	0.000
YOR359W	0.640
YPL051W	0.588
YPL173W	0.000
YPL050C	0.000
YPL172C	0.000
YPL049C	0.453
YPL171C	0.660
YPL048W	0.647
YPL170W	0.557
YPL047W	0.580
YPL168W	0.733
YPL046C	0.623
YPL167C	0.650
YPL045W	0.000
YPL166W	0.623
YPL042C	0.130
YPL165C	0.620
YPL041C	0.760
YPL164C	0.630
YPL040C	0.000
YPL163C	0.000
YPL039W	0.000
YPL162C	0.000
YPL038W	0.580
YPL161C	0.662
YOL062C	0.702
YOR327C	0.582
YOL063C	0.633
YOR328W	0.615
YOL064C	0.577
YOR330C	0.000
YOL065C	0.740
YOR332W	0.000
YOL067C	0.640
YOR334W	0.628
YOL068C	0.713
YOR337W	0.640
YOL070C	0.000
YOR338W	2.138
YOL071W	0.697
YOR339C	0.622
YOL072W	0.000
YOR342C	0.575
YOL075C	0.683
YOR343C	0.353
YOL076W	0.000
YOR344C	0.730
YOL079W	0.743
YOR346W	0.718
YPL064C	0.728
YPL187W	0.633
YPL062W	0.543
YPL185W	0.633
YPL061W	0.730
YPL186C	0.683
YPL060W	0.520
YPL184C	0.673
YPL059W	0.000
YPL181W	0.647
YPL058C	0.673
YPL182C	0.680
YPL057C	0.383
YPL180W	0.000
YPL056C	0.503
YPL179W	0.687
YPL055C	0.637
YPL178W	0.487
YPL054W	0.663
YPL177C	0.557
YPL053C	0.737
YPL176C	0.717
YPL052W	0.493
YPL174C	0.609
YOL051W	0.320
YOR311C	0.732
YOL052C	0.613
YOR312C	0.508
YOL053C-A	0.700
YOR313C	0.663
YOL053W	0.000
YOR314W	0.747
YOL054W	0.693
YOR315W	0.662
YOL055C	0.647
YOR316C	0.708
YOL056W	0.593
YOR318C	0.562
YOL057W	0.650
YOR320C	0.510
YOL058W	0.707
YOR321W	0.667
YOL059W	0.697
YOR322C	0.638
YOL060C	0.560
YOR323C	0.463
YOL061W	0.553
YOR324C	0.641
YPL078C	0.158
YPL200W	0.550
YPL077C	0.533
YPL199C	0.647
YPL074W	0.580
YPL198W	0.600
YPL072W-A	0.600
YPL197C	0.643
YPL073C	0.700
YPL196W	0.577
YPL071C	0.493
YPL195W	0.000
YPL070W	0.563
YPL194W	0.517
YPL069C	0.757
YPL193W	0.570
YPL068C	0.543
YPL192C	0.573
YPL067C	0.493
YPL191C	0.593
YPL066W	0.607
YPL189W	0.688
YPL065W	0.063
YPL188W	0.308
YOL037C	0.563
YOR296W	0.628
YOL039W	0.000
YOR297C	0.730
YOL041C	0.480
YOR298W	0.668
YOL042W	0.650
YOR299W	0.683
YOL043C	0.617
YOR301W	0.627
YOL044W	0.723
YOR302W	0.679
YOL045W	0.617
YOR303W	0.241
YOL046C	0.670
YOR304C-A	0.663
YOL047C	0.540
YOR304W	0.640
YOL048C	0.657
YOR305W	0.252
YOL049W	0.623
YOR307C	0.643
YOL050C	0.620
YOR308C	0.716
YPL095C	0.663
YPL216W	0.560
YPL092W	0.473
YPL215W	0.302
YPL091W	0.613
YPL214C	0.563
YPL090C	0.570
YPL213W	0.467
YPL089C	0.627
YPL212C	0.530
YPL088W	0.583
YPL208W	0.543
YPL087W	0.363
YPL207W	0.577
YPL086C	0.000
YPL206C	0.390
YPL084W	0.000
YPL205C	0.513
YPL081W	0.650
YPL203W	0.467
YPL080C	0.643
YPL202C	0.517
YPL079W	0.690
YPL201C	0.632
YOL023W	0.481
YOR280C	0.547
YOL024W	0.560
YOR283W	0.540
YOL025W	0.527
YOR284W	0.593
YOL027C	0.353
YOR285W	0.537
YOL028C	0.510
YOR286W	0.480
YOL029C	0.597
YOR288C	0.567
YOL030W	0.660
YOR289W	0.440
YOL031C	0.623
YOR290C	1.430
YOL032W	0.457
YOR291W	0.702
YOL033W	0.000
YOR292C	0.783
YOL035C	0.657
YOR293W	0.528
YOL036W	0.633
YOR295W	0.638
YDL039C	0.698
YDL041W	0.557
YDL042C	0.300
YDL044C	0.000
YDL045W-A	0.000
YDL046W	0.273
YDL048C	0.210
YCL023C	0.818
YDL049C	0.000
YDL050C	0.043
YDL051W	0.230
YDL052C	0.063
YDL053C	0.157
YBR082C	0.835
YGR249W	0.209
YPR163C	0.000
YOR045W	0.900
YPR164W	0.673
YPR166C	0.000
YPR167C	0.233
YPR170C	0.167
YPR171W	0.700
YPR172W	0.590
YPR173C	0.000
YPR174C	0.733
YPR179C	0.217
YPR184W	0.310
YPR185W	0.767
YDL023C	0.570
YBR073W	0.887
YDL024C	0.813
YBR074W	0.840
YDL025C	0.540
YBR075W	0.890
YDL026W	0.750
YBR076W	0.000
YDL027C	0.677
YBR077C	0.917
YDL032W	0.000
YDL033C	0.390
YDL034W	0.673
YDL035C	0.610
YCL006C	1.978
YDL036C	0.720
YDL037C	0.750
YDL038C	0.843
YGR232W	0.565
YPR148C	0.477
YGR233C	0.627
YPR149W	0.270
YGR234W	0.173
YPR150W	0.760
YGR235C	0.673
YPR152C	0.710
YGR236C	0.780
YPR153W	0.877
YGR237C	0.753
YPR154W	0.720
YGR240C	0.000
YPR155C	0.903
YGR241C	0.817
YPR156C	0.807
YGR242W	0.623
YPR157W	0.757
YGR243W	0.597
YPR158W	0.710
YGR244C	0.250
YPR159W	0.877
YGR247W	0.290
YPR160W	0.819
YDL002C	0.248
YBR059C	0.743
YDL006W	0.743
YBR061C	0.000
YDL009C	0.000
YBR062C	0.670
YDL010W	0.660
YBR063C	0.693
YDL011C	0.840
YBR064W	0.577
YDL012C	0.723
YBR065C	0.757
YDL013W	0.727
YBR066C	0.287
YDL018C	0.767
YBR067C	0.803
YDL019C	0.730
YBR068C	0.827
YDL020C	0.297
YBR069C	0.723
YDL021W	4.870
YBR071W	0.257
YDL022W	13.713
