orf	hom | growth (pooled culture, barseq) | peptide 50 [5.75 uM] | YPD, 25 mM HEPES, pH 6.8, DMSO | Ng SMS~Chia CSB, 2018
YAL002W	-1.2604037985834722
YAL004W	0.07251534082926551
YAL005C	0.2135057709612477
YAL007C	-0.31749975932150515
YAL008W	0.36541165453817165
YAL009W	-0.15938607505457153
YAL010C	0.354142356807843
YAL011W	0.13884221554644427
YAL012W	-0.08484414091905647
YAL013W	-0.06772077552727918
YAL014C	-0.18175439302536134
YAL015C	-0.08420474866235943
YAL016W	
YAL017W	0.027872497574331367
YAL018C	-0.23760204392397855
YAL019W	0.00678140448375157
YAL020C	-0.1677531516671966
YAL021C	-0.1398278713078291
YAL022C	-0.07187226229368325
YAL023C	0.02907294542193451
YAL024C	-0.542614292363976
YAL026C	0.2734845268688271
YAL027W	0.008325436695180446
YAL028W	-0.30560691796290057
YAL029C	-0.17627048170257725
YAL030W	0.40736967987680767
YAL031C	-0.0602867856847395
YAL034C	-0.1238808990825855
YAL034W-A	
YAL035W	-2.416634094351457
YAL036C	-0.113143027017244
YAL037W	0.26443059661735013
YAL039C	-3.711786276535041
YAL040C	0.5494234567885034
YAL042C-A	-0.28083383692981123
YAL042W	-0.05710737023406963
YAL044C	-0.07658548238104336
YAL045C	-0.24181354677530015
YAL046C	0.391056301076721
YAL047C	-2.401578363894687
YAL048C	-0.32931247113475853
YAL049C	-0.23125978083365947
YAL051W	0.011408020946749085
YAL053W	0.08870473048514345
YAL054C	0.0718645426966044
YAL055W	0.16717307438567683
YAL056C-A	-0.25844692958535675
YAL056W	-0.09895455529518271
YAL058W	-0.7094609157515098
YAL059W	0.18037287540647004
YAL060W	0.08355452954051437
YAL061W	0.07504290482019414
YAL062W	0.17544014046873233
YAL064C-A	-0.08995751362031124
YAL065C	0.07804421503649409
YAL066W	0.048564473209873865
YAL067C	-0.07856580352876404
YAL068C	0.06915221630192546
YAR002C-A	-0.03594934959755471
YAR002W	0.15495337867111872
YAR003W	0.24859426337381677
YAR014C	-0.28922631021693584
YAR015W	0.06504731962039903
YAR018C	0.23063935712209582
YAR020C	0.18407213471352135
YAR023C	-0.1772854493288457
YAR027W	-0.048856751151120696
YAR028W	0.3787654492639158
YAR029W	0.26608856802722686
YAR030C	0.24089331553125667
YAR031W	-0.1171376219921184
YAR035W	0.37054230759552315
YAR042W	0.16597384902904347
YAR047C	-0.053154542179686286
YAR050W	-0.033089435481432825
YBL001C	-0.07773809733595134
YBL002W	-0.1587631643470478
YBL003C	-2.5478334954452526
YBL005W	-0.48663580980962845
YBL006C	-1.5505772373718707
YBL007C	-2.032043306722062
YBL008W	-0.5754149093773309
YBL009W	0.09860221052564365
YBL010C	0.11293154968231084
YBL011W	-0.04483646497358787
YBL012C	0.44886758397987275
YBL013W	-0.1658033649304442
YBL015W	-0.19808984173903363
YBL016W	-3.693374399476104
YBL017C	0.042443296601317695
YBL019W	-0.2911189660479882
YBL021C	0.05868470294772409
YBL022C	-0.4730984569315206
YBL024W	-0.7120960165694408
YBL025W	
YBL027W	-4.7229847675244985
YBL028C	-0.04039325936942414
YBL029W	-0.2515341130541039
YBL031W	-0.3991353015210482
YBL032W	-0.21783524508351776
YBL033C	0.802787622128487
YBL036C	0.3184000196306892
YBL037W	-0.282541435830932
YBL038W	-2.40392512006164
YBL039C	1.099622214778135
YBL042C	-0.6601663372178155
YBL043W	0.20846670744507143
YBL044W	-0.754968367849251
YBL045C	0.017165829660067435
YBL046W	0.033276040639533704
YBL047C	-0.04589109215473076
YBL048W	-0.23909751971899973
YBL049W	0.13327560844361225
YBL051C	-0.5024824835484819
YBL052C	-0.23357931249017014
YBL053W	0.08451002066872744
YBL054W	0.23207712387642052
YBL055C	-0.16475392341047687
YBL056W	-0.19546302076911584
YBL057C	0.1079149296449911
YBL058W	
YBL059W	-0.025682968033426647
YBL060W	0.2039027399485241
YBL061C	-0.21599186819834715
YBL062W	-0.042616338563804486
YBL063W	-0.4396473637917303
YBL064C	-0.034387713369214104
YBL065W	-2.474395069355973
YBL066C	-0.2201946421269795
YBL067C	-0.1112089417848501
YBL068W	-0.08063125055604148
YBL069W	-0.21697612058509588
YBL070C	0.05948226010500195
YBL071C	0.14085978924897136
YBL072C	0.29441485557082203
YBL075C	
YBL078C	-0.23237513421176348
YBL079W	-0.7408575498166888
YBL080C	-2.4584639094587746
YBL081W	-0.39688464255074724
YBL082C	-0.27243782977349135
YBL083C	-1.2468274543286715
YBL085W	-0.2587588648791393
YBL086C	0.015901513009980706
YBL087C	-0.7325733372431743
YBL088C	-0.34574758857708193
YBL089W	0.06347964537274707
YBL090W	0.5341643707213221
YBL091C	-0.12819757457936473
YBL091C-A	0.06149056995936071
YBL093C	
YBL094C	-0.27266032525645234
YBL095W	-3.8491529637612443
YBL096C	-0.1887548630701943
YBL098W	0.005461314436259421
YBL099W	1.3264376489830894
YBL100C	-0.14859259539917297
YBL101C	-0.06396340049746188
YBL102W	0.05234812859221517
YBL103C	0.1929942897839208
YBL104C	-0.019829813646620623
YBL106C	0.03488255480559194
YBL107C	0.019111095334501633
YBR001C	0.2538417088438532
YBR003W	
YBR005W	0.13374159388532592
YBR006W	0.9967335047785449
YBR007C	0.3137091847688551
YBR008C	-0.050989185742113766
YBR009C	0.00810222132363708
YBR010W	-4.592157223457551
YBR012C	
YBR013C	0.00787402770469186
YBR014C	0.04955061038521112
YBR015C	-2.3052103668327892
YBR016W	0.023212429721812998
YBR017C	-0.03939880265078956
YBR018C	0.0061192305472175385
YBR019C	-0.17067955522426534
YBR020W	-0.03223233238633371
YBR021W	0.04992481826511393
YBR022W	0.23214596036320642
YBR023C	-0.35469505019465386
YBR024W	-0.32134200729651213
YBR025C	-3.7356587608676888
YBR026C	-0.4473619787299997
YBR027C	0.08545905559138516
YBR028C	0.07039642051014512
YBR030W	-0.6145953589205141
YBR031W	0.5521409137987224
YBR032W	-0.04574053155704607
YBR033W	-0.039995701154884385
YBR034C	-0.16917022763939987
YBR035C	-2.8322086981247514
YBR036C	-2.311433004026577
YBR037C	-0.1825385849143344
YBR039W	
YBR040W	-0.10169301376610754
YBR041W	-0.5374408054592147
YBR042C	0.06216281700665136
YBR043C	-0.03050312735907458
YBR044C	-0.6525644345319815
YBR045C	-0.15725100257772873
YBR046C	0.04796990493611795
YBR047W	-2.3489156858048093
YBR048W	-0.07500027044390585
YBR050C	0.02767296064543248
YBR051W	0.1716319906430808
YBR052C	0.03698352506641788
YBR053C	-0.06210388113546097
YBR054W	
YBR056W	-0.437199910293389
YBR057C	0.05802931305492484
YBR058C	-0.032608240907904026
YBR059C	0.6298316730471525
YBR061C	5.846438136353164
YBR062C	-0.2589726791319463
YBR063C	-0.3148355485327926
YBR064W	0.11381128337535797
YBR065C	-0.10160968343184373
YBR066C	-0.2594076987946949
YBR067C	0.14673542459475572
YBR068C	-0.45031988001342765
YBR069C	0.054745300499363964
YBR071W	-0.1713895594536501
YBR072W	0.2593028595595787
YBR073W	-0.0650085542325645
YBR074W	0.02361514715008204
YBR076W	-3.9810253618141394
YBR077C	0.05448159387586888
YBR078W	-0.3009146662079027
YBR081C	-0.3900733880971584
YBR082C	-0.07917965610568228
YBR083W	-0.029920232490263213
YBR084C-A	0.8990678198583247
YBR084W	-0.06625070616975395
YBR085W	0.06719038833000342
YBR086C	0.07641073612373155
YBR089C-A	-0.21342219243179522
YBR090C	0.1983194961374201
YBR092C	-0.10299224734452565
YBR093C	0.3772778866207834
YBR094W	0.18113433379562086
YBR095C	
YBR096W	
YBR097W	-4.230389201609845
YBR098W	1.6754156296935168
YBR099C	0.1343752089377389
YBR101C	-0.01584328556739716
YBR103W	-0.01628365681585613
YBR104W	0.2992868676643464
YBR105C	-0.13689963976954422
YBR106W	-0.7702179369198929
YBR107C	-0.10737880629314497
YBR108W	-4.473497340804755
YBR111C	-5.640893381267421
YBR112C	0.46757947594212246
YBR113W	-0.332304814127418
YBR114W	0.2681768333932543
YBR115C	
YBR116C	0.015337580814745615
YBR117C	-4.46390391578864
YBR118W	
YBR119W	-0.16837578644882056
YBR120C	0.15016219725850843
YBR121C	
YBR122C	
YBR125C	-0.1766054387680896
YBR126C	-0.29995257187337
YBR127C	-0.6029904958112241
YBR128C	-0.01772074883163669
YBR129C	-0.08516134010564945
YBR130C	-0.15546603229085107
YBR131W	-3.8491144271008233
YBR132C	
YBR133C	-6.282619432856296
YBR134W	0.2612644156416706
YBR137W	0.2638264665784899
YBR138C	0.031515016427227725
YBR139W	-0.43176204386048805
YBR141C	0.044163554530531036
YBR144C	-0.04899910139514309
YBR145W	0.06035441639443863
YBR146W	
YBR147W	0.2082338934009939
YBR148W	0.20321100165773626
YBR149W	
YBR150C	0.037351216131654555
YBR151W	0.3850757898116583
YBR156C	7.27123054295969
YBR157C	0.3764042935204018
YBR158W	-4.103538453657878
YBR159W	
YBR161W	0.01443866569140807
YBR162C	2.0560725636143387
YBR162W-A	0.022458665765248045
YBR163W	-0.5378782267731624
YBR164C	-3.528525058243162
YBR165W	
YBR166C	
YBR168W	1.0386185101706011
YBR169C	0.008718415968750878
YBR170C	
YBR171W	-0.542118245652962
YBR172C	0.16267584102854832
YBR173C	1.6463947561341188
YBR174C	-0.08843693566990735
YBR175W	0.0494154710394592
YBR176W	0.1787718894750434
YBR177C	-0.2024797552034152
YBR178W	-0.015060432458093614
YBR179C	0.27806486570937905
YBR180W	-0.1796563016507791
YBR181C	0.7845920983361366
YBR182C	-0.06793719463857427
YBR183W	-0.01520750248595764
YBR184W	-0.04546596959939491
YBR185C	0.14034296937522178
YBR186W	0.08287085739283231
YBR187W	0.6214215170098449
YBR188C	0.04640230739171103
YBR189W	0.17898919383371817
YBR191W	0.5567322673958219
YBR194W	1.2232769450196261
YBR195C	0.009675791796130258
YBR197C	0.019489877489830564
YBR199W	0.05080828252814073
YBR200W	-0.13000917926299702
YBR201W	
YBR203W	-0.09615775383045795
YBR204C	-0.1759748548624622
YBR205W	-0.20025082596864843
YBR206W	-0.00413884113030366
YBR207W	0.027024453729699204
YBR208C	-0.3238456147635521
YBR209W	-4.835901829827024
YBR210W	0.03899030215029943
YBR212W	0.11118092430603344
YBR213W	-0.17057640672119906
YBR214W	-0.013238919838118354
YBR215W	-0.032866504306910106
YBR216C	-0.0918233993970782
YBR217W	0.30934151413193206
YBR218C	-0.20489804907524625
YBR219C	0.19318003773911785
YBR220C	-0.2209941741015736
YBR221C	-0.021892251563930567
YBR222C	0.1910979773769627
YBR223C	-0.1850423381604589
YBR224W	0.05679637873644771
YBR225W	-0.14646639655212843
YBR226C	0.19042713588809354
YBR227C	0.021227577237512077
YBR228W	-0.14214286018863687
YBR229C	-0.4979611253921462
YBR230C	0.20781799756804095
YBR231C	0.01289773045092117
YBR232C	0.012960441242518479
YBR233W	0.008092030743631929
YBR235W	0.30673492716669887
YBR238C	-4.018505469824013
YBR239C	0.14280238679553542
YBR240C	0.09400451581385
YBR241C	0.05981509789356194
YBR242W	0.1752451352393998
YBR244W	0.14946659439791787
YBR245C	-0.060258895582690035
YBR246W	-0.24417765495116925
YBR248C	0.03997871908340044
YBR249C	0.04461045978200911
YBR250W	0.035989969284044715
YBR251W	-0.41380608434647437
YBR255W	0.1385083443579343
YBR258C	0.17601660899967198
YBR259W	0.04015851676985802
YBR260C	0.09634945370519953
YBR261C	-0.41262639736767387
YBR262C	-0.11212954721273057
YBR263W	0.11665563710591173
YBR264C	-0.12128032410406164
YBR266C	-0.7849178295823618
YBR267W	-2.0112636272036593
YBR268W	0.17926391961414587
YBR269C	0.06865056625669305
YBR270C	0.3366185819908973
YBR271W	-0.09843692085555905
YBR272C	
YBR273C	0.17377920991102344
YBR274W	-2.7333489958992963
YBR275C	0.06233407447160695
YBR276C	0.18745897303141257
YBR277C	-0.1234013318913362
YBR278W	0.34262971245003365
YBR279W	-0.25878458687651934
YBR280C	-0.7551112397194955
YBR281C	-0.11157995468933418
YBR282W	-0.04542129689706893
YBR283C	0.6020183921395478
YBR284W	0.09972219875047583
YBR285W	0.2248618372514148
YBR286W	0.0070092285733987444
YBR287W	-4.363977908036506
YBR288C	-2.1727033576991
YBR289W	
YBR290W	-0.2541844427801081
YBR291C	0.036630781271467294
YBR292C	0.08491761940282985
YBR293W	-0.4450488718213085
YBR294W	0.1545317225442137
YBR295W	0.1205301331554765
YBR296C	0.09677143052376269
YBR297W	0.07388595552190066
YBR298C	-3.816333640835571
YBR299W	-0.8742432845905485
YBR300C	-2.576115471229282
YBR301W	-0.10769861475600659
YCL001W	-0.10797659230922087
YCL001W-A	-0.14511449445051508
YCL002C	0.325149503898636
YCL005W	0.18659152664149267
YCL007C	1.4837781372780772
YCL008C	
YCL009C	-0.15032807637394216
YCL010C	-0.15795674260313972
YCL011C	-0.14998830021158097
YCL014W	0.1274138323055883
YCL016C	-7.166049326048611
YCL022C	0.5074689961969284
YCL023C	-0.1750287039617313
YCL024W	-0.435969943278929
YCL025C	-0.6391620182919061
YCL026C-A	-0.0265368971660202
YCL027W	-0.08190782918991721
YCL028W	-4.93313354871798
YCL029C	-1.1436360193377912
YCL030C	1.755165553542972
YCL032W	
YCL033C	
YCL034W	
YCL035C	0.03763488940369506
YCL036W	-2.4050422725111478
YCL037C	0.011391913317899969
YCL038C	-0.36334084556425744
YCL039W	-3.2138985654545915
YCL040W	0.9683236232250654
YCL041C	-0.10603201083933261
YCL042W	-0.05533250254269779
YCL044C	-3.43483527600971
YCL045C	-2.4545389248009406
YCL046W	-0.47751272177652
YCL047C	
YCL048W	-4.605457820480691
YCL049C	0.033961620186862045
YCL050C	0.015221220227867212
YCL051W	0.07062174153371875
YCL055W	-0.5577290655319256
YCL056C	-0.1579903767101925
YCL057W	-0.1532755390853302
YCL058C	0.8427665307977875
YCL061C	-0.49972706971496206
YCL063W	-0.07584996604892402
YCL064C	-0.2596906643399953
YCL069W	-0.2387664355786536
YCL076W	-0.017318043066940146
YCR001W	-0.8473370909134399
YCR002C	-0.3659418073269882
YCR003W	0.024474006116496912
YCR004C	0.08251635292849188
YCR005C	0.11553824762234814
YCR006C	-0.01994940330436124
YCR007C	0.17319706376460509
YCR008W	-0.16840300457164128
YCR009C	-5.806625504391061
YCR010C	0.1627644505546957
YCR011C	
YCR014C	
YCR015C	-0.31606614399376787
YCR016W	-0.024094137987797963
YCR017C	-0.20482286846685033
YCR019W	-0.23853482729849754
YCR020C	-0.0388339230194358
YCR020C-A	0.035877388229172164
YCR020W-B	2.353348164437454
YCR021C	0.18768364901581788
YCR022C	0.08363532649438775
YCR023C	0.10297436343889546
YCR024C	1.1302064881912464
YCR024C-A	1.5999487531635586
YCR025C	-0.3510567509288218
YCR026C	
YCR027C	-0.22016562865410227
YCR028C	0.030354145285772356
YCR028C-A	-0.07338431063242347
YCR030C	-0.3842753211895443
YCR031C	-2.2374319999083063
YCR032W	-0.14576201890956947
YCR033W	-0.08513704366943335
YCR034W	-0.22336966641054526
YCR036W	0.22180681190020107
YCR037C	0.032213114817035746
YCR043C	0.20384421785131057
YCR044C	-0.9939765632819313
YCR045C	-0.10951702763978693
YCR046C	0.63192866019749
YCR047C	0.09374218181640218
YCR048W	0.09638339936253537
YCR049C	0.16193642570221078
YCR050C	-0.16456885611686434
YCR051W	0.5715405116653339
YCR053W	0.24206352984242388
YCR059C	0.26188091366389693
YCR060W	0.08219599395605899
YCR061W	0.18823469423183747
YCR063W	0.048315254081763764
YCR064C	-0.05978216914426188
YCR065W	-0.19840243019928477
YCR066W	-3.868947121086363
YCR067C	0.0014983517969403121
YCR068W	-0.29548866358614545
YCR069W	0.12154336947816273
YCR071C	-1.7191734094847573
YCR073C	-0.5014619076113451
YCR073W-A	-0.30891116428870924
YCR075C	-0.04678737721674113
YCR076C	0.008931830269633246
YCR077C	0.12421782949791565
YCR079W	-0.25673200001763574
YCR081W	0.408089142453642
YCR082W	-0.7312370507432943
YCR083W	-0.18354753381311611
YCR084C	-0.4972004429726618
YCR085W	-0.393272780358316
YCR086W	0.23041364673731646
YCR087C-A	-0.06231627591009725
YCR087W	-0.5611684759238335
YCR088W	-0.09150235494728468
YCR089W	-0.29036511245724905
YCR090C	0.1603655617112261
YCR091W	-0.1416592414687098
YCR092C	0.43239544091356785
YCR094W	0.07732034567497856
YCR095C	0.3654942665387612
YCR098C	-0.3891758130644522
YCR099C	-0.0802786622294047
YCR100C	-0.3673743325045859
YCR101C	-0.014334519457180903
YCR102C	0.33796659696259
YCR102W-A	0.034377277846028925
YCR105W	-0.025926477986616004
YCR106W	-0.0315031464965466
