ORF	het | growth (culture turbidity) | bovine pancreatic trypsin inhibitor [1.75 uM] | Bleackley MR~Anderson MA, 2014
YOL050C	7.758
YOR320C	5.748
YHL024W	7.341
YOR322C	4.424
YOR318C	4.283
YOL013C	4.147
YOR337W	4.068
YOR357C	3.891
YOR376W	3.858
YOL039W	4.823
YOR367W	3.623
YOR356W	3.615
YOL004W	3.447
YGL168W	6.539
YOR352W	3.325
YHR187W	3.771
YOL002C	3.193
YLR417W	5.723
YLR038C	4.797
YOR339C	3.089
YGL167C	5.803
YOL051W	3.854
YOR200W	5.141
YJL176C	6.063
YHR039C-B	5.381
YDR050C	6.638
YNL238W	5.237
YPL075W	3.606
YOR316C	2.945
YJR090C	3.865
YOL052C	3.736
YML097C	6.069
YOL148C	5.749
YPL269W	3.719
YHR026W	5.713
YBL025W	3.841
YCL007C	2.824
YGL223C	3.833
YOL143C	3.833
YDR335W	4.928
YOR368W	2.907
YDR229W	5.733
YDR495C	5.331
YER070W	2.805
YNL025C	5.011
YOR331C	3.819
YOL011W	2.894
YAL035W	5.314
YOR314W	2.886
YER011W	5.909
YER053C-A	3.952
YMR275C	4.717
YNL229C	5.022
YCR084C	5.667
YGR020C	5.445
YBR127C	5.695
YBR058C-A	3.920
YGL007C-A	3.913
YBR112C	2.750
YDR276C	4.834
YCL005W-A	3.362
YGL038C	3.762
YOL063C	3.603
YPL234C	3.602
YKR055W	5.402
YEL036C	2.720
YEL051W	5.151
YCR047C	5.561
YNL035C	4.846
YPL002C	5.442
YLR331C	5.579
YBL058W	5.588
YGR006W	5.314
YPL084W	5.298
YHL023C	6.185
YHL025W	4.193
YOL086C	5.022
YNL323W	4.585
YOR141C	4.625
YBR101C	3.681
YGL007W	5.435
YKL213C	5.208
YPL267W	3.477
YJL189W	3.691
YKL077W	5.734
YAL010C	5.014
YOL001W	2.720
YMR145C	4.652
YBR021W	6.027
YPL065W	5.134
YNL215W	4.653
YOL003C	2.701
YGR037C	2.807
YMR123W	5.371
YLR360W	4.669
YMR216C	4.588
YJL188C	5.228
YBL024W	5.242
YOR343C	2.672
YHR108W	6.516
YEL046C	4.803
YGR105W	5.507
YCR026C	5.321
YOL080C	3.346
YLR244C	3.548
YDR364C	5.422
YLR039C	3.895
YPL265W	3.304
YCR009C	6.352
YJR059W	5.093
YKR024C	4.840
YJR102C	4.814
YER051W	5.208
YPR099C	5.140
YKL081W	5.233
YGR167W	2.393
YEL045C	4.561
YLR418C	4.342
YGR072W	5.121
YFR010W	5.110
YNL037C	4.218
YBR132C	5.010
YGR262C	3.440
YOL048C	2.468
YPL031C	3.438
YNR006W	4.190
YOR315W	2.509
YOR374W	2.507
YHR064C	3.651
YEL062W	4.438
YOR290C	2.488
YER017C	4.977
YKL118W	4.976
YNL021W	4.087
YNR047W	4.085
YPL051W	4.473
YLR262C	4.169
YCR081W	4.815
YOR291W	2.463
YER092W	3.592
YMR198W	3.567
YFR012W	4.936
YLR358C	4.723
YKL002W	3.990
YJL098W	4.772
YLR083C	4.910
YDR123C	4.990
YMR077C	4.300
YDL185W	3.353
YKL073W	4.861
YMR080C	4.286
YAL002W	4.494
YPR173C	5.087
YLR240W	3.328
YAL023C	4.461
YOL072W	3.028
YOR214C	3.799
YCR034W	4.641
YOR354C	2.390
YGR285C	4.186
YKL041W	5.132
YOR093C	2.381
YKL080W	4.685
YKL119C	4.673
YDR225W	4.287
YOR132W	4.544
YOR303W	2.087
YDL189W	4.531
YJL184W	3.269
YLR119W	4.810
YER026C	2.840
YNL041C	3.809
YOR384W	2.345
YOR191W	3.650
YOL129W	3.343
YCL008C	5.384
YOL041C	2.904
YOL131W	3.322
YDL181W	4.379
YLR261C	3.757
YNL059C	2.089
YOR069W	3.511
YOL014W	2.268
YEL027W	3.939
YOL062C	2.820
YPR170C	4.591
YOR375C	2.253
YGR122W	4.146
YOR371C	2.247
YKL039W	4.666
YOR284W	3.421
YKL063C	4.271
YPL254W	2.790
YLR226W	2.019
YGL203C	3.890
YEL044W	2.015
YLR322W	3.894
YPL120W	3.868
YNL023C	3.550
YOR359W	2.225
YOR360C	2.224
YOR321W	2.223
YDL075W	4.538
YDR186C	3.865
YOL145C	2.915
YDR470C	4.037
YGL005C	4.076
YCR020W-B	4.100
YPL180W	3.815
YOR383C	2.195
YJL140W	1.930
YBR082C	4.995
YLR125W	2.190
YPL249C-A	2.888
YLR181C	4.495
YDL146W	4.084
YKR035C	3.876
YEL033W	3.780
YOR182C	3.298
YOR382W	2.181
YPL271W	2.716
YNL133C	4.490
YOL110W	3.080
YCR094W	4.375
YNL220W	1.953
YOR385W	2.177
YPL042C	3.638
YHL022C	4.347
YMR271C	3.054
YPR160W	3.616
YNL024C	3.400
YJL154C	3.938
YER090W	3.033
YDR221W	3.673
YOR289W	2.148
YGR085C	3.791
YOR189W	3.209
YBR085C-A	3.039
YJL062W	3.916
YMR071C	3.659
YOR068C	3.948
YMR004W	3.884
YPL270W	2.646
YOR302W	1.747
YML118W	3.867
YLR037C	2.976
YJL121C	3.869
YNL204C	3.278
YGR076C	3.673
YOL162W	3.571
YPL102C	4.553
YLR398C	3.312
YBR290W	3.860
YDR159W	3.558
YKR099W	3.564
YNL136W	4.275
YAL009W	3.892
YHL029C	4.147
YBL107C	3.269
YGL110C	3.815
YLR362W	3.282
YOR183W	3.106
YAL014C	3.878
YNL040W	3.258
YDL173W	3.862
YMR084W	3.566
YDR414C	3.582
YKL131W	3.811
YGL115W	3.776
YOL128C	2.886
YNL179C	3.166
YGR272C	1.822
YNL307C	1.822
YJL110C	3.713
YGL014W	3.711
YGL045W	2.743
YNL089C	3.380
YOR251C	3.022
YMR073C	3.493
YGL186C	2.762
YJR040W	2.948
YDR322W	3.522
YPR139C	3.302
YNL190W	3.118
YGL031C	3.118
YGR036C	3.450
YOR081C	3.720
YPL057C	3.280
YDR206W	3.362
YLR309C	3.362
YLR027C	4.041
YOR285W	2.962
YOR216C	2.959
YHR111W	4.103
YNL081C	4.050
YKR035W-A	3.417
YLR242C	3.102
YLR414C	3.096
YMR230W	3.400
YBR097W	2.911
YGL234W	3.352
YNL198C	3.033
YJL004C	2.909
YJR105W	3.308
YPR051W	3.562
YOL081W	2.485
YJL029C	3.584
YOR279C	2.908
YGL213C	3.333
YHL031C	3.863
YOR235W	2.905
YGR233C	3.876
YJR033C	3.643
YJL129C	2.936
YNL135C	3.970
YMR307W	3.431
YGR042W	3.292
YOL108C	2.749
YBR150C	3.843
YBR081C	4.435
YMR154C	3.257
YHR112C	3.955
YMR276W	3.416
YDR360W	3.934
YNL224C	2.967
YNL199C	2.964
YML082W	3.954
YMR142C	2.715
YPR040W	3.464
YJR079W	3.195
YGL214W	3.088
YKR091W	2.174
YGR180C	2.724
YDL172C	3.519
YGL149W	3.737
YMR039C	3.282
YOL079W	2.410
YJR073C	3.154
YLL007C	3.154
YJR055W	3.055
YNL027W	2.945
YJR018W	3.430
YER155C	2.315
YGR100W	3.126
YMR054W	4.068
YOR089C	1.946
YLR447C	3.293
YLR365W	2.920
YML071C	3.364
YAL047C	3.288
YLR357W	2.901
YHL020C	3.659
YBR289W	3.672
YDR363W-A	3.653
YCR019W	4.017
YLR371W	2.489
YNL326C	3.316
YJL180C	3.354
YDR179W-A	2.139
YGR204W	3.061
YGR200C	3.601
YOR267C	3.504
YGL058W	2.801
YMR090W	3.189
YOR248W	2.699
YOR241W	2.696
YDR408C	3.192
YNL237W	2.792
YGL206C	2.802
YHR158C	3.644
YNL191W	2.792
YNR002C	2.843
YDR200C	2.991
YPL086C	3.073
YPL101W	3.331
YJL123C	3.251
YDR532C	3.433
YDR432W	3.167
YML131W	3.240
YPL250C	2.335
YHL027W	3.540
YNL022C	2.823
YPR115W	2.871
YPR014C	3.233
YGL046W	2.752
YGR063C	3.571
YOR123C	2.933
YBR164C	3.663
YGL211W	2.371
YMR189W	3.163
YLR384C	2.781
YJL175W	3.548
YLR435W	3.213
YJR075W	2.959
YPL136W	3.293
YDL106C	3.329
YNL230C	2.716
YML052W	3.718
YDR388W	3.117
YNL148C	3.146
YOR222W	2.618
YNL183C	2.713
YOR079C	3.290
YDR290W	3.230
YPR163C	2.806
YOR096W	3.169
YGR104C	2.868
YHR156C	3.501
YNL122C	3.590
YDR048C	3.893
YER078C	2.509
YLR320W	2.894
YGL042C	2.692
YOR042W	3.268
YJL155C	3.216
YHR181W	2.500
YOR253W	2.584
YML026C	3.680
YGL082W	2.671
YDR203W	2.862
YPL090C	2.958
YOR100C	2.802
YGL244W	2.954
YOL018C	1.849
YJR014W	3.165
YLR062C	3.646
YOL151W	1.779
YOR040W	3.232
YOL049W	2.267
YPL048W	2.727
YPL080C	2.932
YMR238W	3.083
YGL050W	2.637
YPL236C	2.260
YHR016C	2.460
YOR036W	3.203
YLR308W	2.812
YGL197W	2.809
YDR074W	3.318
YHR139C-A	3.362
YML022W	3.312
YML024W	3.619
YGL078C	2.610
YML035C	2.790
YHR139C	3.343
YDR030C	3.102
YHL030W	3.332
YNL205C	2.601
YHR138C	3.328
YLR131C	3.679
YPR120C	2.672
YOR227W	2.504
YOR128C	1.530
YHR110W	3.313
YCR086W	3.085
YER174C	3.481
YPR001W	2.662
YDR289C	3.144
YGR034W	2.693
YDL047W	3.848
YJL204C	3.106
YDR463W	3.280
YNL193W	2.577
YDL187C	3.183
YHR059W	2.791
YML112W	2.705
YHR014W	3.298
YCR028C	3.071
YOL109W	2.412
YNL294C	3.154
YKR088C	2.781
YPR147C	2.629
YDR247W	2.986
YMR070W	2.966
YHR177W	3.254
YCL011C	3.613
YOR365C	1.801
YLR041W	2.389
YOR107W	2.623
YGR197C	3.252
YNR010W	2.613
YOR121C	2.618
YOR221C	2.449
YFR033C	3.280
YOR252W	2.443
YPL003W	2.593
YNL225C	2.684
YLR238W	2.561
YLR260W	2.558
YLR404W	2.558
YPR138C	2.586
YGR056W	2.596
YJR151W-A	2.611
YOL057W	2.191
YFR034C	3.265
YNL051W	3.645
YLL044W	2.370
YOR187W	2.432
YER151C	3.422
YDR176W	2.680
YGR206W	3.217
YHR081W	3.185
YDR223W	2.673
YMR194W	2.979
YMR060C	3.098
YPL129W	3.140
YDR069C	3.463
YJR104C	3.558
YLR025W	3.502
YCL033C	3.537
YPR135W	2.557
YHR159W	3.160
YOR080W	3.059
YOR091W	1.779
YPR106W	2.553
YLR247C	2.527
YPL001W	2.550
YLR061W	3.494
YOR124C	2.553
YOR101W	2.548
YPL058C	2.542
YOR386W	1.773
YOL059W	2.169
YOR071C	3.043
YKR082W	2.901
YHR094C	3.131
YJR142W	3.545
YOL153C	3.167
YGR240C	3.205
YOR345C	2.550
YNL096C	2.278
YML100W-A	2.889
YDR448W	2.684
YOR226C	2.386
YCL036W	3.484
YOR035C	3.024
YDR222W	2.616
YHR073W	3.096
YLR048W	3.464
YOR220W	2.375
YLR412W	2.487
YDR239C	2.609
YDL135C	3.049
YEL052W	2.874
YMR199W	2.932
YGR148C	3.278
YCR031C	2.918
YCR051W	2.918
YGR138C	3.275
YER014C-A	1.451
YMR310C	3.071
YOR190W	2.355
YPL046C	2.481
YKL185W	2.474
YNL057W	3.259
YJL006C	2.642
YHR087W	3.057
YNL269W	2.991
YAR043C	3.254
YKR026C	2.854
YNL219C	2.426
YHR060W	3.047
YFL013C	3.728
YNL296W	1.442
YOR286W	2.340
YPR200C	3.142
YNL171C	2.845
YNL064C	3.236
YCL050C	3.418
YKR100C	2.268
YOR296W	1.743
YNL001W	2.496
YEL031W	2.838
YBL093C	1.436
YLR407W	2.441
YOL136C	2.280
YCR027C	2.869
YHL002W	2.593
YEL053C	2.824
YMR195W	2.892
YER122C	2.626
YOR199W	2.314
YNL143C	3.206
YOR138C	2.314
YLL030C	2.270
YOR209C	2.312
YJR119C	3.488
YNL044W	2.471
YPL060W	2.423
YDR163W	2.527
YGR123C	3.204
YOR223W	2.294
YDR486C	3.108
YLR216C	2.974
YJL066C	2.767
YNL295W	3.028
YPL230W	2.102
YGR055W	2.373
YMR278W	3.026
YOL113W	2.249
YDR251W	2.790
YJR001W	2.827
YLR030W	2.246
YLR387C	2.388
YNR004W	2.442
YHR012W	3.017
YNR008W	2.434
YLR381W	2.379
YNR067C	3.016
YMR232W	2.855
YJL051W	2.534
YJL053W	2.531
YNL045W	2.431
YGR068C	2.343
YNL097C	3.402
YOR126C	2.338
YHR143W	2.908
YNL145W	3.142
YOR378W	1.712
YLR217W	2.931
YKL054C	2.931
YHR043C	2.899
YJR118C	3.450
YOL138C	2.225
YKR104W	2.514
YNL325C	3.005
YMR312W	2.223
YOL082W	2.079
YKL139W	3.098
YOR155C	2.249
YPL253C	2.078
YKL057C	2.910
YLR231C	2.351
YDR105C	3.287
YOR355W	1.703
YPL246C	2.074
YPR174C	3.015
YOR280C	2.237
YPR049C	2.702
YGR079W	2.294
YDR207C	2.437
YMR063W	2.746
YOR113W	2.290
YMR222C	2.824
YGR152C	3.137
YMR091C	2.743
YHR125W	2.849
YOL061W	2.067
YNL053W	2.989
YGL104C	2.227
YOR363C	1.695
YLR363C	2.333
YHR090C	2.160
YDR433W	1.920
YPR114W	2.318
YOR029W	2.845
YPL181W	2.995
YGR064W	2.273
YDR344C	3.263
YGL084C	2.296
YPL005W	2.315
YOL124C	2.194
YLR399C	2.581
YOR172W	2.220
YOR311C	1.691
