orf	het | growth (culture turbidity) | bovine pancreatic trypsin inhibitor [1.75 uM] | Bleackley MR~Anderson MA, 2014
YBR056W-A	-0.1692
YBR057C	-0.1185
YBR058C	-0.113
YBR058C-A	-0.001899999999999985
YBR059C	-0.1361
YBR061C	-0.1369
YBR062C	-0.14835
YBR063C	-0.1326
YBR064W	-0.12420000000000003
YBR065C	-0.1386
YBR066C	-0.1418
YBR067C	-0.141
YBR068C	-0.13760000000000003
YBR069C	-0.14550000000000002
YBR071W	-0.12160000000000003
YBR072C-A	-0.1473
YBR072W	-0.13019999999999998
YBR073W	-0.1397
YBR074W	-0.14682499999999998
YBR076W	-0.1391
YBR077C	-0.1268
YBR078W	-0.1157
YBR081C	-0.06830000000000001
YBR082C	-0.05299999999999999
YBR083W	-0.11860000000000001
YBR084C-A	-0.09840000000000002
YBR084W	-0.1411
YBR085C-A	-0.05700000000000002
YBR085W	-0.1316
YBR089C-A	-0.1385
YBR090C	-0.1335
YBR092C	-0.1296
YBR093C	-0.1547
YBR094W	-0.1311
YBR095C	-0.10869999999999999
YBR097W	-0.0666
YBR098W	-0.129025
YBR099C	-0.13
YBR101C	-0.009099999999999983
YBR103W	-0.13380000000000003
YBR104W	-0.1298
YBR105C	-0.13535
YBR106W	-0.16910000000000003
YBR107C	-0.13390000000000002
YBR108W	-0.1477
YBR111C	-0.1206
YBR111W-A	-0.1464
YBR112C	-0.0023999999999999994
YBR113W	-0.13180000000000003
YBR114W	-0.13749999999999998
YBR115C	-0.1572
YBR116C	-0.15910000000000002
YBR119W	-0.14889999999999998
YBR120C	-0.1505
YBR121C	-0.15650000000000003
YBR122C	-0.12695
YBR125C	-0.1381
YBR126C	-0.1994
YBR127C	-0.0016999999999999932
YBR128C	-0.1616
YBR129C	-0.1446
YBR130C	-0.1483
YBR131W	-0.1532
YBR132C	-0.026800000000000032
YBR133C	-0.10785
YBR134W	-0.148
YBR137W	-0.14780000000000001
YBR138C	-0.1583
YBR139W	-0.15739999999999998
YBR141C	-0.14429999999999998
YBR144C	-0.14839999999999998
YBR145W	-0.1627
YBR146W	-0.14539999999999997
YBR147W	-0.1522
YBR148W	-0.1377
YBR149W	-0.13529999999999998
YBR150C	-0.06800000000000002
YBR151W	-0.12839999999999996
YBR156C	-0.133
YBR157C	-0.13624999999999998
YBR158W	-0.15090000000000003
YBR159W	-0.14150000000000001
YBR161W	-0.16010000000000002
YBR162C	-0.15460000000000002
YBR162W-A	-0.09980000000000003
YBR163W	-0.1477
YBR164C	-0.07619999999999999
YBR165W	-0.14700000000000002
YBR166C	-0.13419999999999999
YBR168W	-0.12329999999999999
YBR169C	-0.13510000000000003
YBR170C	-0.14490000000000003
YBR171W	-0.12779999999999997
YBR172C	-0.13330000000000003
YBR173C	-0.12420000000000002
YBR174C	-0.12789999999999999
YBR175W	-0.1253
YBR176W	-0.15259999999999999
YBR177C	-0.1397
YBR178W	-0.14490000000000003
YBR179C	-0.159
YBR180W	-0.15550000000000003
YBR181C	-0.12530000000000002
YBR182C	-0.1387
YBR182C-A	-0.13130000000000003
YBR183W	-0.1688
YBR184W	-0.1593
YBR185C	-0.1528
YBR186W	-0.139
YBR187W	-0.14640000000000003
YBR188C	-0.13930000000000003
YBR189W	-0.15040000000000003
YBR191W	-0.10289999999999999
YBR194W	-0.17869999999999997
YBR195C	-0.1583
YBR196C-A	-0.1006
YBR196C-B	-0.1552
YBR197C	-0.1618
YBR199W	-0.1469
YBR200W	-0.1393
YBR200W-A	-0.1371
YBR201W	-0.13895
YBR203W	-0.14990000000000003
YBR204C	-0.15520000000000003
YBR205W	-0.1473
YBR206W	-0.1529
YBR207W	-0.15150000000000002
YBR208C	-0.15650000000000003
YBR209W	-0.13840000000000002
YBR210W	-0.16259999999999997
YBR212W	-0.14179999999999998
YBR213W	-0.1559
YBR214W	-0.14450000000000002
YBR215W	-0.1467
YBR216C	-0.16310000000000002
YBR217W	-0.15159999999999998
YBR218C	-0.1474
YBR219C	-0.1401
YBR220C	-0.13029999999999997
YBR221C	-0.10980000000000001
YBR221W-A	-0.13370000000000004
YBR222C	-0.15799999999999997
YBR223C	-0.14589999999999997
YBR224W	-0.17270000000000002
YBR225W	-0.1926
YBR226C	-0.128
YBR227C	-0.1589
YBR228W	-0.15100000000000002
YBR229C	-0.1315
YBR230C	-0.1507
YBR230W-A	-0.1439
YBR231C	-0.13399999999999998
YBR232C	-0.1367
YBR233W	-0.13299999999999998
YBR235W	-0.1488
YBR238C	-0.1713
YBR239C	-0.1272
YBR240C	-0.1625
YBR241C	-0.15199999999999997
YBR242W	-0.1527
YBR244W	-0.1525
YBR245C	-0.14440000000000003
YBR246W	-0.11220000000000001
YBR248C	-0.12380000000000001
YBR249C	-0.14330000000000004
YBR250W	-0.1434
YBR251W	-0.11220000000000001
YBR255W	-0.1605
YBR258C	-0.1375
YBR259W	-0.14120000000000002
YBR260C	-0.1431
YBR261C	-0.15009999999999998
YBR262C	-0.12109999999999999
YBR263W	-0.13690000000000002
YBR264C	-0.1286
YBR266C	-0.10550000000000001
YBR267W	-0.16870000000000002
YBR268W	-0.1172
YBR269C	-0.12990000000000002
YBR270C	-0.1358
YBR271W	-0.12969999999999998
YBR272C	-0.1236
YBR273C	-0.12619999999999998
YBR274W	-0.1417
YBR275C	-0.13419999999999999
YBR276C	-0.14579999999999999
YBR277C	-0.11860000000000001
YBR278W	-0.11780000000000002
YBR279W	-0.09819999999999998
YBR280C	-0.1527
YBR281C	-0.12209999999999999
YBR282W	-0.11359999999999999
YBR283C	-0.0974
YBR284W	-0.1516
YBR285W	-0.1201
YBR286W	-0.13229999999999997
YBR287W	-0.13369999999999999
YBR288C	-0.1326
YBR289W	-0.07310000000000001
YBR290W	-0.059399999999999994
YBR291C	-0.11220000000000001
YBR292C	-0.10849999999999999
YBR293W	-0.112
YBR294W	-0.1789
YBR295W	-0.11810000000000002
YBR296C	-0.1252
YBR296C-A	-0.1336
YBR297W	-0.11939999999999999
YBR298C	-0.12789999999999999
YBR299W	-0.17070000000000002
YBR300C	-0.1427
YBR301W	-0.17099999999999999
YCL001W	-0.10500000000000002
YCL001W-A	-0.14629999999999999
YCL001W-B	-0.13570000000000002
YCL002C	-0.14245000000000002
YCL005W	-0.10789999999999998
YCL005W-A	-0.002700000000000008
YCL007C	0.0024000000000000132
YCL008C	-0.042899999999999994
YCL009C	-0.12319999999999999
YCL010C	-0.12219999999999998
YCL011C	-0.08280000000000001
YCL012C	-0.18419999999999997
YCL014W	-0.13513333333333333
YCL016C	-0.1386
YCL021W-A	-0.1356
YCL022C	-0.23770000000000002
YCL023C	-0.1397
YCL024W	-0.12959999999999997
YCL025C	-0.12930000000000003
YCL026C-A	-0.1606
YCL026C-B	-0.14459999999999998
YCL027W	-0.12769999999999998
YCL028W	-0.13080000000000003
YCL029C	-0.1192
YCL030C	-0.10519999999999999
YCL032W	-0.10439999999999999
YCL033C	-0.0845
YCL034W	-0.10909999999999999
YCL035C	-0.1318
YCL036W	-0.0857
YCL037C	-0.1427
YCL038C	-0.15389999999999998
YCL039W	-0.1426
YCL040W	-0.1446
YCL042W	-0.14149999999999996
YCL044C	-0.14500000000000002
YCL045C	-0.13240000000000002
YCL046W	-0.1385
YCL047C	-0.13040000000000002
YCL048W	-0.12020000000000002
YCL049C	-0.1314
YCL050C	-0.08720000000000001
YCL051W	-0.11579999999999999
YCL055W	-0.13360000000000002
YCL056C	-0.09340000000000001
YCL057C-A	-0.1698
YCL057W	-0.131
YCL058C	-0.11839999999999999
YCL061C	-0.1315
YCL063W	-0.1069
YCL064C	-0.1209
YCL069W	-0.1132
YCL076W	-0.10039999999999999
YCR001W	-0.1211
YCR002C	-0.13949999999999996
YCR003W	-0.1304
YCR004C	-0.14679999999999999
YCR005C	-0.11800000000000001
YCR006C	-0.1325
YCR007C	-0.1377
YCR008W	-0.13320000000000004
YCR009C	-0.02110000000000002
YCR010C	-0.127
YCR011C	-0.1372
YCR014C	-0.1169
YCR015C	-0.1347
YCR016W	-0.12379999999999998
YCR017C	-0.09800000000000002
YCR019W	-0.07369999999999999
YCR020C	-0.1335
YCR020C-A	-0.09520000000000002
YCR020W-B	-0.05249999999999999
YCR021C	-0.1006
YCR022C	-0.1335
YCR023C	-0.12910000000000002
YCR024C	-0.11710000000000001
YCR024C-A	-0.0937
YCR025C	-0.11279999999999998
YCR026C	-0.0175
YCR027C	-0.0878
YCR028C	-0.08200000000000002
YCR028C-A	-0.1475
YCR030C	-0.1125
YCR031C	-0.08639999999999999
YCR032W	-0.1246
YCR033W	-0.1189
YCR034W	-0.037000000000000005
YCR036W	-0.1355
YCR037C	-0.14389999999999997
YCR043C	-0.1285
YCR044C	-0.2622
YCR045C	-0.11360000000000002
YCR046C	-0.13689999999999997
YCR047C	-0.004600000000000007
YCR048W	-0.1177
YCR049C	-0.09410000000000002
YCR050C	-0.1125
YCR051W	-0.08639999999999999
YCR053W	-0.13740000000000002
YCR059C	-0.0914
YCR060W	-0.14459999999999998
YCR061W	-0.16399999999999998
YCR063W	-0.1339
YCR065W	-0.11560000000000001
YCR066W	-0.11339999999999999
YCR067C	-0.1638
YCR068W	-0.1151
YCR069W	-0.1336
YCR071C	-0.1476
YCR073C	-0.12899999999999998
YCR073W-A	-0.1103
YCR075C	-0.1102
YCR075W-A	-0.21070000000000003
YCR076C	-0.1139
YCR077C	-0.12430000000000002
YCR079W	-0.12399999999999999
YCR081W	-0.032
YCR082W	-0.1091
YCR083W	-0.12009999999999997
