orf	het | growth (culture turbidity) | bovine pancreatic trypsin inhibitor [1.75 uM] | Bleackley MR~Anderson MA, 2014
YAL002W	2.2589447667810525
YAL004W	-0.539172943321817
YAL005C	-0.2950925315592469
YAL007C	-0.7832533550843863
YAL008W	-0.6297594878934917
YAL009W	1.6172900760650168
YAL010C	2.812529205830181
YAL011W	0.1553238983943637
YAL012W	0.19055199906112535
YAL013W	0.36669250239493884
YAL014C	1.6021923186364042
YAL015C	-0.8360955060845309
YAL016C-B	-0.8008674054177692
YAL016W	-0.04346324108237003
YAL017W	-0.9115842932275954
YAL018C	-0.886421364179907
YAL019W	-0.9694590300372762
YAL020C	-1.231153492133228
YAL021C	-0.9241657577514378
YAL022C	-0.038430655272831654
YAL023C	2.223716666114289
YAL024C	-1.5683367413722424
YAL026C	-0.375613904511847
YAL027W	-0.8939702428942131
YAL028W	-0.6448572453221048
YAL029C	-0.2372177947495647
YAL030W	-0.931714636465744
YAL031C	-0.579433629798117
YAL034C	-0.5140100142741293
YAL035W	3.132098404735814
YAL036C	-0.3982605406547662
YAL037C-A	-1.0046871307040393
YAL037W	-1.447554681943341
YAL039C	-1.1531484120853954
YAL040C	-1.7017002653249864
YAL042C-A	-1.0751433320375654
YAL042W	-0.8134488699416124
YAL044C	-0.3529672683689278
YAL044W-A	-0.5894988014171917
YAL045C	0.17293794872774385
YAL046C	-0.5567869936551978
YAL047C	1.307786048778458
YAL048C	-1.0147523023231133
YAL049C	-0.7794789157272336
YAL051W	-0.6373083666077992
YAL053W	-0.5467218220361224
YAL054C	-0.15166383598742628
YAL055W	-1.4676850251814917
YAL056C-A	0.09493286867991227
YAL056W	0.2660407862041888
YAL058W	-2.610082003946512
YAL059W	0.39185543144262724
YAL060W	-0.5819499227028861
YAL061W	-0.44858639875014017
YAL062W	-0.29005994574970856
YAL064C-A	0.18551941325158872
YAL065C	0.2861711294423388
YAL066W	-0.90151912160852
YAL067C	-1.3972288238479669
YAL067W-A	-0.5567869936551978
YAL068C	-1.1908928056569286
YAR002C-A	-0.24225038055910167
YAR002W	-0.7002156892270178
YAR003W	-0.4913633781312101
YAR014C	0.3666925023949399
YAR015W	0.5252189553953716
YAR018C	-0.9191331719419008
YAR020C	0.12512838353713798
YAR023C	-1.0373989384660325
YAR027W	-1.0852085036566392
YAR028W	-1.3947125309431971
YAR029W	-1.7243469014679056
YAR030C	0.024476667346387225
YAR031W	-0.5970476801314979
YAR035C-A	-0.1667615934160393
YAR035W	-0.23973408765433318
YAR042W	-0.20702227989233932
YAR047C	0.1024817473942188
YAR050W	-2.8139017292327817
YBL001C	0.27610595782326414
YBL002W	-0.5240751858932039
