ORF	hap alpha | growth (CFU) | dessication [unknown] | Rodriguez~Cordero, 2012
YBL025W	-1.000
YBL033C	-1.000
YBL038W	-1.000
YBL045C	-1.000
YBL053W	-1.000
YBL057C	-1.000
YBL080C	-1.000
YBR073W	-1.000
YBR146W	-1.000
YBR172C	-1.000
YBR194W	-1.000
YBR267W	-1.000
YBR268W	-1.000
YBR282W	-1.000
YCL003W	-1.000
YCR021C	-1.000
YCR045C	-1.000
YCR050C	-1.000
YCR068W	-1.000
YCR071C	-1.000
YCR094W	-1.000
YDL020C	-1.000
YDL039C	-1.000
YDL044C	-1.000
YDL045W-A	-1.000
YDL056W	-1.000
YDL068W	-1.000
YDL091C	-1.000
YDL093W	-1.000
YDL107W	-1.000
YDL114W	-1.000
YDL133W	-1.000
YDR010C	-1.000
YDR175C	-1.000
YDR197W	-1.000
YDR204W	-1.000
YDR337W	-1.000
YDR350C	-1.000
YDR363W-A	-1.000
YDR405W	-1.000
YDR432W	-1.000
YDR433W	-1.000
YDR511W	-1.000
YEL024W	-1.000
YER087W	-1.000
YER145C	-1.000
YER153C	-1.000
YER154W	-1.000
YFL036W	-1.000
YFR032C	-1.000
YFR032C-A	-1.000
YGR180C	-1.000
YGR222W	-1.000
YGR231C	-1.000
YGR240C	-1.000
YGR243W	-1.000
YHR011W	-1.000
YHR038W	-1.000
YHR039C-B	-1.000
YHR079C-B	-1.000
YIL084C	-1.000
YIR021W	-1.000
YJL140W	-1.000
YKR006C	-1.000
YKR009C	-1.000
YKR033C	-1.000
YKR085C	-1.000
YKR089C	-1.000
YKR090W	-1.000
YKR098C	-1.000
YLL018C-A	-1.000
YLR136C	-1.000
YLR138W	-1.000
YLR144C	-1.000
YLR350W	-1.000
YLR428C	-1.000
YLR429W	-1.000
YLR434C	-1.000
YLR435W	-1.000
YLR437C	-1.000
YLR439W	-1.000
YLR441C	-1.000
YLR453C	-1.000
YLR454W	-1.000
YLR456W	-1.000
YMR008C	-1.000
YMR009W	-1.000
YMR158C-B	-1.000
YMR158W	-1.000
YMR175W	-1.000
YMR320W	-1.000
YNL003C	-1.000
YNL073W	-1.000
YNL081C	-1.000
YNL248C	-1.000
YNL280C	-1.000
YNL294C	-1.000
YNR036C	-1.000
YOR150W	-1.000
YOR155C	-1.000
YOR158W	-1.000
YOR305W	-1.000
YOR306C	-1.000
YOR318C	-1.000
YOR333C	-1.000
YOR342C	-1.000
YPL029W	-1.000
YPL059W	-1.000
YPL069C	-1.000
YPL104W	-1.000
