ORF	hap a | growth (culture turbidity) | selenomethionine [0.2 mM] | Bockhorn J~Kinzy TG, 2008
YBR035C	6.500
YOR008C-A	4.600
YDR443C	4.200
YJR021C	4.100
YNL025C	3.500
YDR071C	3.500
YNL031C	3.300
YJL065C	2.200
YOR273C	6.900
YBR294W	6.200
YBR069C	3.900
YNL268W	2.200
YBR043C	3.100
YGR055W	3.000
YDR388W	2.500
YJR058C	2.000
YIL105C	4.700
YNL047C	2.800
YOL151W	4.400
YPL223C	2.000
YML076C	3.200
YNL259C	2.800
YJL095W	2.000
YPR065W	2.300
YGL127C	4.200
YPR030W	2.000
YNL257C	2.200
YBR290W	4.900
YOR267C	4.600
YPL224C	4.300
YBR036C	3.100
YOR087W	2.500
YJL093C	2.000
YAL012W	7.000
YNL141W	4.100
YPR060C	3.600
YPR074C	2.000
YDR034C	3.000
YCR060W	6.900
YGL029W	3.000
YFR031C-A	2.200
YPR057W	2.000
YNL265C	2.000
