orf	hap a | growth (culture turbidity) | selenomethionine [0.2 mM] | Bockhorn J~Kinzy TG, 2008
YAL012W	18.89431616811118
YBR035C	17.544722156103237
YBR036C	8.367482874449237
YBR043C	8.367482874449237
YBR069C	10.526833293661943
YBR290W	13.226021317677827
YBR294W	16.734965748898475
YCR060W	18.624397365709594
YDR034C	8.097564072047648
YDR071C	9.44715808405559
YDR388W	6.747970060039707
YDR443C	11.336589700866709
YFR031C-A	5.938213652834943
YGL029W	8.097564072047648
YGL127C	11.336589700866709
YGR055W	8.097564072047648
YIL105C	12.68618371287465
YJL065C	5.938213652834943
YJL093C	5.398376048031766
YJL095W	5.398376048031766
YJR021C	11.06667089846512
YJR058C	5.398376048031766
YML076C	8.637401676850825
YNL025C	9.44715808405559
YNL031C	8.907320479252412
YNL047C	7.557726467244471
YNL141W	11.06667089846512
YNL257C	5.938213652834943
YNL259C	7.557726467244471
YNL265C	5.398376048031766
YNL268W	5.938213652834943
YOL151W	11.876427305669885
YOR008C-A	12.41626491047306
YOR087W	6.747970060039707
YOR267C	12.41626491047306
YOR273C	18.624397365709594
YPL223C	5.398376048031766
YPL224C	11.606508503268296
YPR030W	5.398376048031766
YPR057W	5.398376048031766
YPR060C	9.717076886457178
YPR065W	6.20813245523653
YPR074C	5.398376048031766
