orf	hap alpha | replicative lifespan | standard [standard] | McCormick MA~Kennedy BK, 2015
YAL010C	0.7682481751824818
YAL012W	1.161592505854801
YAL016W	0.4515218316123294
YAL017W	1.048125
YAL023C	0.983754512635379
YAL024C	0.9261777128910386
YAL040C	0.7643312101910827
YAL047C	0.2022857142857143
YAL048C	1.4319148936170212
YAL054C	1.0817124425764832
YAL056C-A	1.0
YAL062W	1.0283806343906512
YAL064C-A	1.0
YAR002C-A	1.0
YAR050W	1.0
YBL001C	1.0458715596330275
YBL002W	1.1743119266055047
YBL003C	1.1009174311926606
YBL005W	1.0
YBL006C	1.110091743119266
YBL007C	0.46440568475452193
YBL008W	1.093028624192059
YBL009W	1.1072088724584104
YBL010C	0.8990825688073395
YBL011W	0.9963031423290203
YBL012C	0.8623853211009175
YBL013W	1.018348623853211
YBL015W	1.10250569476082
YBL016W	1.1221374045801527
YBL017C	1.1009174311926606
YBL019W	1.0240295748613677
YBL021C	0.7522935779816513
YBL022C	0.9724770642201834
YBL024W	1.1264623955431756
YBL025W	0.4678899082568807
YBL027W	1.1823190664436674
YBL028C	0.34862385321100914
YBL029W	1.1009174311926606
YBL031W	0.9353049907578558
YBL032W	0.6972477064220183
YBL036C	1.210720887245841
YBL037W	0.8715596330275229
YBL038W	1.0642201834862384
YBL039C	1.3167835941716135
YBL042C	1.2181146025878005
YBL043W	0.8613678373382625
YBL044W	0.8715596330275229
YBL045C	1.0400890868596884
YBL046W	1.146788990825688
YBL047C	0.6898263027295285
YBL048W	0.9816513761467889
YBL049W	0.7706422018348624
YBL051C	0.8165137614678899
YBL052C	1.165682436467388
YBL053W	1.3604436229205175
YBL054W	0.8715596330275229
YBL055C	0.8165137614678899
YBL056W	0.9531249999999999
YBL057C	1.0703124999999998
YBL058W	0.39843749999999994
YBL059W	0.8281249999999999
YBL060W	1.171875
YBL061C	0.7734375
YBL062W	0.6171875
YBL063W	1.04959630911188
YBL064C	1.0013679890560874
YBL065W	0.6875
YBL066C	0.8671874999999999
YBL067C	1.3359375
YBL068W	1.0703124999999998
YBL069W	0.6953125
YBL070C	0.7890624999999999
YBL071C	1.1874999999999998
YBL072C	1.0470980719226808
YBL075C	0.96875
YBL078C	1.109353316680544
YBL079W	0.4053314121037464
YBL080C	1.1479473276529821
YBL081W	1.0234375
YBL082C	1.0912250217202433
YBL083C	1.4071246819338423
YBL085W	1.00253807106599
YBL086C	0.703125
YBL087C	1.2803517803517803
YBL088C	0.9050980392156862
YBL089W	1.016360669114647
YBL090W	0.9284210526315789
YBL091C	1.2779138956947846
YBL091C-A	1.0
YBL093C	1.0
YBL094C	0.7109374999999999
YBL095W	1.0
YBL096C	1.0
YBL098W	1.0
YBL099W	0.26792025862068963
YBL100C	1.0
YBL101C	1.0
YBL102W	1.0
YBL103C	1.0748211563269614
YBL104C	1.0
YBL106C	1.0
YBL107C	1.0
YBR001C	1.0
YBR003W	0.8388316273761547
YBR005W	1.0
YBR006W	1.0
YBR007C	1.2357775987107171
YBR008C	1.0
YBR009C	1.0
YBR010W	1.0
YBR011C	0.3063213589529379
YBR012C	1.0
YBR013C	1.379371474617244
YBR014C	1.0
YBR015C	1.234970857618651
YBR016W	1.0
YBR018C	1.0
YBR019C	1.0
YBR020W	0.873469387755102
YBR021W	0.9727403156384505
YBR022W	1.0
YBR023C	1.0
YBR024W	0.9812181850096543
YBR025C	1.0
YBR026C	0.9929103366100684
YBR027C	1.0
YBR028C	0.8913996093131302
YBR030W	1.2003424657534247
YBR031W	1.2160879629629628
YBR032W	1.0
YBR033W	1.0
YBR034C	1.2234589041095891
YBR035C	1.0
YBR036C	1.0
YBR037C	1.354530201342282
YBR039W	1.0
YBR040W	1.0
YBR041W	1.0
YBR042C	1.4907139909203466
YBR043C	1.0
YBR044C	1.0
YBR045C	1.0
YBR046C	1.1641304347826085
YBR047W	1.0
YBR048W	0.9348106712564545
YBR050C	1.0
YBR051W	1.0
YBR052C	1.0
YBR053C	1.0
YBR054W	1.2616187640111085
YBR056W	1.0
YBR057C	1.0
YBR058C	1.0
YBR059C	1.2219101123595506
YBR062C	1.0
YBR063C	1.0
YBR064W	1.0
YBR065C	1.0
YBR066C	1.0
YBR067C	1.0
YBR068C	1.0100430416068866
YBR069C	0.9110644257703082
YBR071W	1.0
YBR072W	1.0
YBR073W	1.0
YBR074W	1.1045918367346939
YBR076W	1.0
YBR077C	1.0
YBR078W	1.0
YBR081C	0.13073236385122936
YBR083W	1.007727975270479
YBR084C-A	1.4562486500496783
YBR084W	1.0
YBR085W	1.1080036380172806
YBR089C-A	0.8544018058690745
YBR090C	1.0
YBR092C	0.935626102292769
YBR093C	0.8270270270270271
YBR094W	1.0
YBR095C	1.0
YBR096W	0.933947157726181
YBR097W	1.1106467742591162
