ORF	hap alpha | replicative lifespan | standard [standard] | McCormick MA~Kennedy BK, 2015
YAL010C	0.768
YAL012W	1.162
YAL016W	0.452
YAL017W	1.048
YAL023C	0.984
YAL024C	0.926
YAL040C	0.764
YAL047C	0.202
YAL048C	1.432
YAL054C	1.082
YAL056C-A	1.000
YAL062W	1.028
YAL064C-A	1.000
YAR002C-A	1.000
YAR050W	1.000
YBL001C	1.046
YBL002W	1.174
YBL003C	1.101
YBL005W	1.000
YBL006C	1.110
YBL007C	0.464
YBL008W	1.093
YBL009W	1.107
YBL010C	0.899
YBL011W	0.996
YBL012C	0.862
YBL013W	1.018
YBL015W	1.103
YBL016W	1.122
YBL017C	1.101
YBL019W	1.024
YBL021C	0.752
YBL022C	0.972
YBL024W	1.126
YBL025W	0.468
YBL027W	1.182
YBL028C	0.349
YBL029W	1.101
YBL031W	0.935
YBL032W	0.697
YBL036C	1.211
YBL037W	0.872
YBL038W	1.064
YBL039C	1.317
YBL042C	1.218
YBL043W	0.861
YBL044W	0.872
YBL045C	1.040
YBL046W	1.147
YBL047C	0.690
YBL048W	0.982
YBL049W	0.771
YBL051C	0.817
YBL052C	1.166
YBL053W	1.360
YBL054W	0.872
YBL055C	0.817
YBL056W	0.953
YBL057C	1.070
YBL058W	0.398
YBL059W	0.828
YBL060W	1.172
YBL061C	0.773
YBL062W	0.617
YBL063W	1.050
YBL064C	1.001
YBL065W	0.688
YBL066C	0.867
YBL067C	1.336
YBL068W	1.070
YBL069W	0.695
YBL070C	0.789
YBL071C	1.187
YBL072C	1.047
YBL075C	0.969
YBL078C	1.109
YBL079W	0.405
YBL080C	1.148
YBL081W	1.023
YBL082C	1.091
YBL083C	1.407
YBL085W	1.003
YBL086C	0.703
YBL087C	1.280
YBL088C	0.905
YBL089W	1.016
YBL090W	0.928
YBL091C	1.278
YBL091C-A	1.000
YBL093C	1.000
YBL094C	0.711
YBL095W	1.000
YBL096C	1.000
YBL098W	1.000
YBL099W	0.268
YBL100C	1.000
YBL101C	1.000
YBL102W	1.000
YBL103C	1.075
YBL104C	1.000
YBL106C	1.000
YBL107C	1.000
YBR001C	1.000
YBR003W	0.839
YBR005W	1.000
YBR006W	1.000
YBR007C	1.236
YBR008C	1.000
YBR009C	1.000
YBR010W	1.000
YBR011C	0.306
YBR012C	1.000
YBR013C	1.379
YBR014C	1.000
YBR015C	1.235
YBR016W	1.000
YBR018C	1.000
YBR019C	1.000
YBR020W	0.873
YBR021W	0.973
YBR022W	1.000
YBR023C	1.000
YBR024W	0.981
YBR025C	1.000
YBR026C	0.993
YBR027C	1.000
YBR028C	0.891
YBR030W	1.200
YBR031W	1.216
YBR032W	1.000
YBR033W	1.000
YBR034C	1.223
YBR035C	1.000
YBR036C	1.000
YBR037C	1.355
YBR039W	1.000
YBR040W	1.000
YBR041W	1.000
YBR042C	1.491
YBR043C	1.000
YBR044C	1.000
YBR045C	1.000
YBR046C	1.164
YBR047W	1.000
YBR048W	0.935
YBR050C	1.000
YBR051W	1.000
YBR052C	1.000
YBR053C	1.000
YBR054W	1.262
YBR056W	1.000
YBR057C	1.000
YBR058C	1.000
YBR059C	1.222
YBR062C	1.000
YBR063C	1.000
YBR064W	1.000
YBR065C	1.000
YBR066C	1.000
YBR067C	1.000
YBR068C	1.010
YBR069C	0.911
YBR071W	1.000
YBR072W	1.000
YBR073W	1.000
YBR074W	1.105
YBR076W	1.000
YBR077C	1.000
YBR078W	1.000
YBR081C	0.131
YBR083W	1.008
YBR084C-A	1.456
YBR084W	1.000
YBR085W	1.108
YBR089C-A	0.854
YBR090C	1.000
YBR092C	0.936
YBR093C	0.827
YBR094W	1.000
YBR095C	1.000
YBR096W	0.934
YBR097W	1.111
YBR098W	0.847
YBR099C	1.000
YBR101C	1.000
YBR103W	1.015
