orf	hap a | growth (spot assay) | valproate [2-6 mM], minimal complete [standard] | Deranieh RM~Greenberg ML, 2015
YAL021C	-7.5006172585500765
YAL047C	-7.5006172585500765
YBL024W	-7.5006172585500765
YBR077C	-7.5006172585500765
YBR140C	-7.5006172585500765
YBR147W	-7.5006172585500765
YBR156C	-7.5006172585500765
YBR191W	-7.5006172585500765
YBR282W	-7.5006172585500765
YCL008C	-7.5006172585500765
YCR009C	-7.5006172585500765
YCR061W	-7.5006172585500765
YCR083W	-7.5006172585500765
YDL002C	-7.5006172585500765
YDL020C	-7.5006172585500765
YDR007W	-7.5006172585500765
YDR027C	-7.5006172585500765
YDR388W	-7.5006172585500765
YDR432W	-7.5006172585500765
YDR484W	-7.5006172585500765
YDR532C	-7.5006172585500765
YEL027W	-7.5006172585500765
YEL031W	-7.5006172585500765
YER017C	-7.5006172585500765
YER068W	-7.5006172585500765
YER083C	-7.5006172585500765
YER120W	-7.5006172585500765
YER151C	-7.5006172585500765
YFR011C	-7.5006172585500765
YGL084C	-7.5006172585500765
YGL115W	-7.5006172585500765
YGL167C	-7.5006172585500765
YGL173C	-7.5006172585500765
YGR078C	-7.5006172585500765
YGR105W	-7.5006172585500765
YGR188C	-7.5006172585500765
YGR208W	-7.5006172585500765
YHR026W	-7.5006172585500765
YIL090W	-7.5006172585500765
YIL166C	-7.5006172585500765
YIR030C	-7.5006172585500765
YJL029C	-7.5006172585500765
YJL101C	-7.5006172585500765
YJL129C	-7.5006172585500765
YJL183W	-7.5006172585500765
YJR018W	-7.5006172585500765
YJR074W	-7.5006172585500765
YJR102C	-7.5006172585500765
YJR144W	-7.5006172585500765
YKL054C	-7.5006172585500765
YKL080W	-7.5006172585500765
YKL139W	-7.5006172585500765
YKL212W	-7.5006172585500765
YKR020W	-7.5006172585500765
YLR246W	-7.5006172585500765
YLR268W	-7.5006172585500765
YML009W-B	-7.5006172585500765
YML042W	-7.5006172585500765
YMR091C	-7.5006172585500765
YNL041C	-7.5006172585500765
YNL065W	-7.5006172585500765
YNL078W	-7.5006172585500765
YNL080C	-7.5006172585500765
YNL085W	-7.5006172585500765
YNL119W	-7.5006172585500765
YNL120C	-7.5006172585500765
YNL133C	-7.5006172585500765
YNL142W	-7.5006172585500765
YNR051C	-7.5006172585500765
YNR052C	-7.5006172585500765
YOR036W	-7.5006172585500765
YOR270C	-7.5006172585500765
YPL084W	-7.5006172585500765
YPL129W	-7.5006172585500765
YPL144W	-7.5006172585500765
YPL224C	-7.5006172585500765
YPL234C	-7.5006172585500765
YPL271W	-7.5006172585500765
YPR124W	-7.5006172585500765
YPR139C	-7.5006172585500765
YPR141C	-7.5006172585500765
