orf	hom | chronological lifespan | time [1 week] | Powers RW 3rd~Fields S, 2006	hom | chronological lifespan | time [2 weeks] | Powers RW 3rd~Fields S, 2006	hom | chronological lifespan | time [5 weeks] | Powers RW 3rd~Fields S, 2006	hom | chronological lifespan | time [7 weeks] | Powers RW 3rd~Fields S, 2006
YBL036C	1.136859925	0.23660911	0.08398844	0.054604443
YBL037W	0.771297938	0.415340855	0.236328736	-0.115668068
YBL038W	0.002504478	0.018287695	0.016078941	0.138621875
YBL039C	2.201653885	0.579231573	0.349833404	0.525145365
YBL042C	2.300169068	4.257796973	4.372353926	5.71427978
YBL043W	2.310987308	3.773859867	2.734051219	2.424597833
YBL044W	2.103328637	3.156027602	2.456299128	1.530025138
YBL045C	2.271978636	3.475980483	2.069901509	1.207155105
YBL046W	1.681372724	0.914955454	0.035854312	1.471176751
YBL047C	0.592979222	0.381536242	0.904293725	0.656182648
YBL048W	1.502514951	1.703500575	1.340989905	1.146407765
YBL049W	1.284739276	1.124893091	1.243807072	0.344531975
YBL051C	1.033959882	1.045792438	0.891373974	-0.114835692
YBL052C	0.668015921	0.785340164	0.44448233	0.164822893
YBL053W	1.911156254	2.222312118	1.210511205	0.320300119
YBL054W	2.291007189	1.984649588	1.418347929	0.387454217
YBL055C	2.142713361	1.449723207	0.790808324	0.733143281
YBL056W	2.002254637	0.639152733	0.22948821	3.321906063
YBL057C	2.204664854	2.654974972	2.567774622	1.180140655
YBL058W	0.005516093	0.024493529	0.017046871	1.076936083
YBL059W	1.504880778	1.326712909	0.190762012	2.074904694
YBL060W	1.591782681	1.12902205	0.743719001	0.763977958
YBL061C	1.126050709	0.609479089	0.349381256	0.635981061
YBL062W	1.349548608	1.020209247	0.656707571	0.153317796
YBL063W	1.443097404	1.4498179	0.432187957	0.519174215
YBL064C	0.963271102	1.280789171	1.009256032	0.045533107
YBL065W	1.979575796	3.334717839	0.711329826	0.534183303
YBL066C	1.840441123	1.963495619	5.572554039	3.691360386
YBL067C	1.760453211	0.764815878	0.448603476	0.969772773
YBL068W	2.328652417	2.390149018	3.081863322	1.26037387
YBL069W	2.122729393	1.993225843	1.020842932	1.229369618
YBL070C	1.704544713	1.577730841	0.755391169	2.476663202
YBL071C	0.365009499	0.401599278	0.130695477	2.504423863
