ORF	hom | chronological lifespan | time [1 week] | Powers RW 3rd~Fields S, 2006	hom | chronological lifespan | time [2 weeks] | Powers RW 3rd~Fields S, 2006	hom | chronological lifespan | time [5 weeks] | Powers RW 3rd~Fields S, 2006	hom | chronological lifespan | time [7 weeks] | Powers RW 3rd~Fields S, 2006
YJL129C	1.571	7.315	7.768	190.226
YIL094C	1.802	9.421	6.906	145.067
YDR019C	1.291	1.536	0.090	107.190
YER091C-A	1.234	3.729	4.852	95.751
YHR204W	2.045	9.678	6.559	69.374
YDL173W	1.003	5.399	5.624	38.794
YDL172C	1.028	6.454	6.122	32.527
YLL007C	2.482	7.816	4.796	28.666
YGR057C	1.414	2.986	2.432	34.782
YGL197W	2.614	10.432	8.790	20.792
YGR027C	2.028	5.009	6.195	23.620
YML121W	1.145	2.472	0.974	29.620
YHL034C	2.070	8.162	8.161	14.273
YLL013C	2.302	6.892	7.865	15.180
YBR077C	0.901	2.996	3.745	22.830
YJR066W	2.172	3.520	7.798	15.064
YEL014C	1.958	4.377	6.392	15.492
YKL046C	2.426	4.305	5.080	16.731
YDR221W	1.381	2.586	3.623	18.027
YHR158C	1.846	2.835	4.369	15.846
YPL182C	2.235	5.584	6.051	10.882
YGL203C	2.049	2.894	3.189	15.682
YJL165C	2.292	8.706	8.606	4.168
YGR163W	1.099	1.073	1.292	18.627
YLR152C	1.823	2.598	5.245	13.020
YOR179C	1.162	1.376	2.710	6.402
YNL142W	0.150	1.028	5.506	13.136
YPR158W	1.774	2.741	4.170	12.440
YHR139C	2.086	2.815	4.675	11.783
YGR043C	1.658	3.453	5.116	10.600
YKR007W	1.082	1.231	0.980	16.100
YPL133C	2.061	4.414	4.214	9.633
YGR044C	1.958	3.218	3.911	11.099
YOL116W	2.265	4.030	3.696	9.951
YCR037C	1.200	6.021	6.540	4.994
YHR142W	2.049	2.139	4.028	11.231
YHR125W	1.871	2.358	3.489	11.506
YDR490C	2.251	4.782	6.059	6.288
YKL175W	1.192	2.102	2.428	12.593
YGL252C	0.897	0.519	0.980	15.567
YKR095W	1.235	2.957	4.563	9.523
YBL102W	2.205	2.928	7.922	6.151
YHR167W	1.881	3.435	2.966	10.587
YGL139W	0.979	3.601	5.398	7.803
YIL156W	2.259	7.863	8.511	0.427
YHR124W	1.687	1.795	4.434	10.542
YHR195W	1.426	2.124	1.850	12.626
YLR428C	1.960	1.921	3.369	11.115
YPR138C	1.869	2.882	3.076	10.005
YHR209W	1.789	1.950	4.246	9.752
YPR021C	1.893	1.837	6.771	7.270
YER040W	0.174	1.248	2.178	12.268
YKR034W	1.611	2.236	3.902	9.474
