orf	hap a | growth (colony size) | expression of clogging-prone Pdi1-DHFR [standard] | Ast T~Schuldiner M, 2016
YAL002W	0.5524609048713633
YAL004W	1.8200521345477356
YAL005C	2.554438332328369
YAL007C	-0.4350902656853161
YAL008W	-0.4534762217382599
YAL009W	0.6779515162868764
YAL010C	0.5225452132957443
YAL011W	1.6894816465863491
YAL012W	1.4962550587714336
YAL013W	-1.9461452132382657
YAL014C	0.7813040223887786
YAL015C	0.7698658289610006
YAL017W	0.47798479890249795
YAL018C	0.16466117365535365
YAL019W	1.7271634281849968
YAL020C	0.5983121930599604
YAL021C	1.5061973430931304
YAL022C	0.9220521933921022
YAL023C	1.3722859304836736
YAL026C	1.2879628938975547
YAL027W	-0.2713659765639981
YAL028W	0.30877053442812974
YAL029C	0.7424990484157095
YAL030W	0.8510517065884172
YAL031C	1.7542652167527701
YAL034C	0.5764530463959983
YAL036C	1.773447150749893
YAL037W	0.8910800989798461
YAL039C	0.3862136384900435
YAL040C	0.44186737258625414
YAL042C-A	-0.08792009891112182
YAL042W	0.07418992947495631
YAL044C	-1.1147355874024893
YAL045C	0.1609921324700044
YAL046C	-0.13794304334113
YAL048C	-0.20038771510430511
YAL049C	0.45993192515904746
YAL051W	0.809951496545581
YAL053W	1.4658029287481447
YAL054C	-0.01490356105906596
YAL055W	-0.045646174418668
YAL056C-A	1.272755057297237
YAL056W	0.9360737298384374
YAL058W	1.2449727369705412
YAL059W	1.2132634476225213
YAL060W	0.3124080678854563
YAL061W	0.40966003632149917
YAL062W	0.9034674430768707
YAL064C-A	1.025152889950371
YAL065C	1.2827294429468925
YAL066W	1.7788142944982106
YAL067C	0.7053709637124395
YAL068C	0.6858806674098264
YAR002C-A	0.8582142505883308
YAR002W	1.6183609930884963
YAR014C	2.17092201181618
YAR015W	0.26861953811058187
YAR018C	1.3798980007254897
YAR020C	0.600129564921011
YAR023C	0.03597424369221703
YAR027W	-0.1429852225585574
YAR028W	-0.7000129645550114
YAR029W	-0.5352298946520628
YAR030C	1.4564084232011558
YAR031W	0.19017027956299742
YAR035C-A	-0.8462977747908234
YAR035W	0.6091440778806124
YAR042W	0.536395027101875
YAR047C	1.6195476979220889
YAR050W	-0.07721445382273201
YBL001C	0.20971148939000062
YBL005W	-0.10590414403691936
YBL006C	2.6624447994168614
YBL007C	-0.17662811278413373
YBL008W	-0.5234602762629877
YBL008W-A	-0.4393889175732931
YBL009W	0.6190495061847616
YBL010C	0.4379106083120037
YBL011W	-0.30660309815416226
YBL012C	-0.7512279497621143
YBL013W	-0.05855556196148888
YBL015W	0.0995877104093743
YBL017C	-0.031657678907029675
YBL019W	0.7994817859921433
YBL021C	0.28577478165201886
YBL022C	2.62384385509335
YBL024W	-0.5659406304620395
YBL027W	3.2107164223294467
YBL028C	1.0261966482006573
YBL029C-A	-0.526443719631955
YBL029W	0.6816960642877914
YBL031W	0.42291320832827384
YBL032W	2.5441193604207264
YBL036C	-0.5321875964184677
YBL037W	0.015166543618251534
YBL038W	1.1819292564257164
YBL039C	0.6925232610258155
YBL039W-B	-2.696261997559861
YBL042C	2.775790421235068
YBL043W	-0.754595846922066
YBL044W	0.22875573922890718
YBL045C	0.7815833088676417
YBL046W	-0.22834440870758702
YBL047C	-0.2523686574461374
YBL048W	0.3038437156368839
YBL049W	-0.6629854251336698
YBL051C	-1.421479663313468
YBL052C	0.30785766809581755
YBL053W	0.7140155953666366
YBL054W	0.05054981116057439
YBL055C	0.060431132838956556
YBL056W	0.021414596814799437
YBL057C	-0.6309423163223454
YBL058W	-1.4026138319392414
YBL059W	0.6433739649002723
YBL060W	0.520371351970858
YBL061C	0.7265233395350201
YBL062W	-0.3765566746018049
YBL063W	-0.041978512533986496
YBL064C	-0.08443221053638747
YBL065W	-0.06302985552123995
YBL066C	-0.1929320278945008
YBL067C	0.11633389387262098
YBL068W	0.04542340257355706
YBL069W	-0.14434498446637276
YBL070C	-0.1675411922352852
YBL071C	-0.24083706415119846
YBL071C-B	1.6737598002886482
YBL071W-A	-0.10743977611643832
YBL072C	1.5648629149735893
YBL075C	-0.014968123974271339
YBL078C	0.6301611748839455
YBL079W	0.3628681751963375
YBL080C	4.128588467647753
YBL081W	-0.9013124956583018
YBL082C	1.8708882609987367
