orf	hap a | growth (colony size) | lanthanum(3+) [4.5 mM] | YPD | Grosjean N~Blaudez D, 2022	hap a | growth (colony size) | ytterbium [3.8 mM] | YPD | Grosjean N~Blaudez D, 2022
YAL016W	-1.0	0.0
YAL020C	0.0	1.0
YAL026C	-2.0	0.0
YAL053W	-2.0	1.0
YAL058W	2.0	1.0
YAR003W	-1.0	0.0
YAR018C	0.0	2.0
YAR020C	1.0	1.0
YBL006C	-1.0	0.0
YBL007C	1.0	0.0
YBL016W	1.0	0.0
YBL024W	2.0	0.0
YBL025W	2.0	0.0
YBL047C	2.0	0.0
YBL071C-B	-2.0	0.0
YBL071W-A	-3.0	0.0
YBL083C	0.0	2.0
YBR012C	1.0	0.0
YBR015C	1.0	1.0
YBR026C	-2.0	0.0
YBR032W	0.0	1.0
YBR036C	-3.0	-3.0
YBR041W	2.0	0.0
YBR042C	2.0	0.0
YBR048W	-1.0	0.0
YBR058C-A	2.0	2.0
YBR085C-A	2.0	1.0
YBR085W	1.0	2.0
YBR089C-A	1.0	0.0
YBR094W	2.0	0.0
YBR101C	2.0	3.0
YBR105C	2.0	1.0
YBR111W-A	-1.0	0.0
YBR126C	0.0	2.0
YBR127C	-2.0	0.0
YBR132C	1.0	0.0
YBR147W	1.0	0.0
YBR173C	0.0	1.0
YBR178W	1.0	0.0
YBR181C	-2.0	0.0
YBR191W	1.0	2.0
YBR275C	1.0	0.0
YBR276C	1.0	0.0
YBR279W	1.0	1.0
YBR281C	1.0	0.0
YBR282W	1.0	0.0
YBR284W	1.0	0.0
YBR287W	-2.0	0.0
YBR290W	0.0	1.0
YCL005W-A	-3.0	0.0
YCL007C	-2.0	0.0
YCL008C	2.0	2.0
YCL032W	0.0	1.0
YCL058C	-2.0	0.0
YCR004C	1.0	0.0
YCR023C	1.0	0.0
YCR024C-A	1.0	0.0
YCR025C	1.0	0.0
YCR026C	1.0	0.0
YCR028C	-2.0	0.0
YCR028C-A	2.0	0.0
YCR034W	3.0	3.0
YCR047C	-3.0	0.0
YCR050C	1.0	0.0
YCR059C	1.0	0.0
YCR061W	1.0	0.0
YCR063W	-1.0	-1.0
YCR068W	2.0	1.0
YCR071C	2.0	0.0
YCR081W	2.0	0.0
YCR088W	2.0	0.0
YCR094W	-2.0	-2.0
YDL006W	-2.0	2.0
YDL025C	1.0	0.0
YDL040C	2.0	0.0
YDL041W	0.0	1.0
YDL042C	0.0	1.0
YDL047W	-2.0	0.0
YDL052C	-2.0	0.0
YDL068W	0.0	2.0
YDL073W	0.0	2.0
YDL075W	-2.0	0.0
YDL077C	-2.0	0.0
YDL081C	0.0	2.0
YDL083C	-2.0	0.0
