orf	hap a | growth (colony size) | lanthanum(3+) [4.5 mM] | YPD | Grosjean N~Blaudez D, 2022	hap a | growth (colony size) | ytterbium [3.8 mM] | YPD | Grosjean N~Blaudez D, 2022
YAL016W	-1.6202987588787396	0.07102721297953554
YAL020C	-0.04765584584937465	2.41492524130421
YAL026C	-3.1929416719081045	0.07102721297953554
YAL053W	-3.1929416719081045	2.41492524130421
YAL058W	3.097629980209355	2.41492524130421
YAR003W	-1.6202987588787396	0.07102721297953554
YAR018C	-0.04765584584937465	4.758823269628885
YAR020C	1.5249870671799903	2.41492524130421
YBL006C	-1.6202987588787396	0.07102721297953554
YBL007C	1.5249870671799903	0.07102721297953554
YBL016W	1.5249870671799903	0.07102721297953554
YBL024W	3.097629980209355	0.07102721297953554
YBL025W	3.097629980209355	0.07102721297953554
YBL047C	3.097629980209355	0.07102721297953554
YBL071C-B	-3.1929416719081045	0.07102721297953554
YBL071W-A	-4.76558458493747	0.07102721297953554
YBL083C	-0.04765584584937465	4.758823269628885
YBR012C	1.5249870671799903	0.07102721297953554
YBR015C	1.5249870671799903	2.41492524130421
YBR026C	-3.1929416719081045	0.07102721297953554
YBR032W	-0.04765584584937465	2.41492524130421
YBR036C	-4.76558458493747	-6.960666871994489
YBR041W	3.097629980209355	0.07102721297953554
YBR042C	3.097629980209355	0.07102721297953554
YBR048W	-1.6202987588787396	0.07102721297953554
YBR058C-A	3.097629980209355	4.758823269628885
YBR085C-A	3.097629980209355	2.41492524130421
YBR085W	1.5249870671799903	4.758823269628885
YBR089C-A	1.5249870671799903	0.07102721297953554
YBR094W	3.097629980209355	0.07102721297953554
YBR101C	3.097629980209355	7.10272129795356
YBR105C	3.097629980209355	2.41492524130421
YBR111W-A	-1.6202987588787396	0.07102721297953554
YBR126C	-0.04765584584937465	4.758823269628885
YBR127C	-3.1929416719081045	0.07102721297953554
YBR132C	1.5249870671799903	0.07102721297953554
YBR147W	1.5249870671799903	0.07102721297953554
YBR173C	-0.04765584584937465	2.41492524130421
YBR178W	1.5249870671799903	0.07102721297953554
YBR181C	-3.1929416719081045	0.07102721297953554
YBR191W	1.5249870671799903	4.758823269628885
YBR275C	1.5249870671799903	0.07102721297953554
YBR276C	1.5249870671799903	0.07102721297953554
YBR279W	1.5249870671799903	2.41492524130421
YBR281C	1.5249870671799903	0.07102721297953554
YBR282W	1.5249870671799903	0.07102721297953554
YBR284W	1.5249870671799903	0.07102721297953554
YBR287W	-3.1929416719081045	0.07102721297953554
YBR290W	-0.04765584584937465	2.41492524130421
YCL005W-A	-4.76558458493747	0.07102721297953554
YCL007C	-3.1929416719081045	0.07102721297953554
YCL008C	3.097629980209355	4.758823269628885
YCL032W	-0.04765584584937465	2.41492524130421
YCL058C	-3.1929416719081045	0.07102721297953554
