orf	hap a | growth (spot assay) | acetic acid [70-110 mM], pH [4.5] | Mira NP~Sa Correia I, 2010
YHR067W	-1.0
YHR098C	-2.0
YHR116W	-1.0
YHR141C	-1.0
YHR147C	-2.0
YHR155W	-1.0
YHR158C	-1.0
YHR167W	-1.0
YHR168W	-1.0
YHR178W	-2.0
YHR200W	-1.0
YHR203C	-1.0
YHR205W	-2.0
YHR206W	-1.0
YHR207C	-1.0
YIL005W	-2.0
YIL006W	-2.0
YIL007C	-2.0
YIL010W	-2.0
YIL017C	-2.0
YIL028W	-2.0
YIL029C	-2.0
YIL036W	-2.0
YIL040W	-2.0
YIL041W	-2.0
YIL042C	-2.0
YIL050W	-2.0
YIL053W	-2.0
YIL064W	-2.0
YIL065C	-2.0
YIL073C	-2.0
YIL077C	-2.0
YIL084C	-1.0
YIL092W	-2.0
YIL097W	-1.0
YIL098C	-2.0
YIL128W	-2.0
YIL130W	-2.0
YIL148W	-1.0
YJL004C	-2.0
YJL006C	-2.0
YJL024C	-2.0
YJL046W	-1.0
YJL053W	-2.0
YJL062W	-2.0
YJL063C	-1.0
YJL096W	-1.3333333333333333
YJL102W	-1.0
YJL120W	-2.0
YJL121C	-2.0
YJL127C	-1.0
YJL128C	-2.0
YJL129C	-2.0
YJL136C	-1.0
YJL140W	-2.0
YJL154C	-1.0
YJL166W	-1.0
YJL175W	-2.0
YJL183W	-2.0
YJL184W	-2.0
YJL188C	-1.0
YJL189W	-2.0
YJR032W	-2.0
YJR033C	-2.0
YJR059W	-2.0
YJR060W	-2.0
YJR096W	-1.0
YJR114W	-2.0
YJR144W	-1.0
YJR145C	-1.0
YKL006W	-1.0
YKL032C	-2.0
YKL056C	-1.0
YKL074C	-2.0
YKL077W	-1.0
YKL081W	-2.0
YKL087C	-2.0
YKL096C-B	-2.0
YKL118W	-2.0
YKL119C	-1.0
YKL121W	-1.0
YKL126W	-2.0
YKL139W	-1.0
YKL143W	-2.0
YKL212W	-2.0
YKL213C	-2.0
YKR001C	-2.0
YKR006C	-2.0
YKR019C	-2.0
YKR023W	-2.0
YKR035C	-2.0
YKR035W-A	-1.0
YKR055W	-2.0
YLL014W	-1.0
YLL028W	-1.0
YLL029W	-1.0
YLL033W	-1.0
YLL043W	-1.0
YLL049W	-2.0
YLL061W	-1.0
YLR006C	-2.0
YLR014C	-1.0
YLR015W	-2.0
YLR017W	-1.0
YLR018C	-1.0
YLR025W	-2.0
YLR038C	-2.0
YLR039C	-2.0
YLR044C	0.0
YLR047C	-1.0
YLR052W	-2.0
YLR055C	-2.0
YLR056W	-2.0
YLR065C	-1.0
YLR068W	-1.0
YLR085C	-1.0
YLR087C	-1.0
YLR113W	-2.0
YLR119W	-2.0
YLR131C	-1.0
YLR138W	-2.0
YLR139C	-2.0
YLR148W	-1.0
YLR177W	-1.0
YLR182W	-2.0
YLR184W	-2.0
YLR185W	-1.0
YLR188W	-1.0
YLR190W	-1.0
YLR191W	-1.0
YLR192C	-1.0
YLR200W	-2.0
YLR202C	-2.0
YLR203C	-2.0
YLR216C	-1.0
YLR239C	-1.0
YLR240W	-2.0
YLR242C	-1.0
YLR261C	-2.0
YLR262C	-2.0
YLR268W	-1.5
YLR295C	-1.0
YLR318W	-1.0
YLR330W	-1.0
YLR337C	-1.0
YLR338W	-1.0
YLR342W	-2.0
YLR357W	-1.0
YLR358C	-2.0
YLR370C	-2.0
YLR371W	-2.0
YLR372W	-2.0
YLR373C	-2.0
YLR374C	-2.0
YLR414C	-2.0
YLR417W	0.0
YLR427W	-2.0
YML008C	-2.0
YML038C	-1.0
YML041C	-2.0
YML042W	-1.0
YML048W	-2.0
YML063W	-1.0
YML071C	-1.0
YML110C	-1.0
YML121W	-1.0
YML128C	-1.0
YMR004W	-1.0
YMR032W	-1.0
YMR037C	-2.0
YMR038C	-1.0
YMR058W	-1.0
YMR060C	-1.0
YMR063W	-2.0
YMR067C	-1.0
YMR070W	-1.0
YMR071C	-1.0
YMR077C	-1.0
YMR078C	-1.0
YMR082C	-1.0
YMR123W	-2.0
YMR145C	-1.0
YMR154C	-2.0
YMR180C	-1.0
YMR183C	-2.0
YMR202W	-2.0
YMR213W	-2.0
YMR241W	-1.0
YMR242C	-1.0
YMR251W-A	-1.0
YMR263W	-2.0
YMR269W	-2.0
YMR272C	-1.0
YMR275C	-1.0
YMR282C	-1.0
YMR285C	-1.0
YMR286W	-1.0
YMR287C	-1.0
YMR289W	-1.0
YMR297W	-1.0
