orf	hap a | growth (spot assay) | acetic acid [70-110 mM], pH [4.5] | Mira NP~Sa Correia I, 2010
YAL002W	-1.7196498667485454
YAL011W	-1.7196498667485454
YAL012W	-1.7196498667485454
YAL013W	-1.7196498667485454
YAL021C	-3.4392997334970907
YAL023C	-1.7196498667485454
YAL044C	-1.7196498667485454
YAL056C-A	-1.7196498667485454
YAL056W	-1.7196498667485454
YAR003W	-1.7196498667485454
YBL024W	-3.4392997334970907
YBL094C	-3.4392997334970907
YBL099W	-3.4392997334970907
YBL100C	-3.4392997334970907
YBL103C	-3.4392997334970907
YBR011C	-3.4392997334970907
YBR015C	-1.7196498667485454
YBR058C	-1.7196498667485454
YBR077C	-1.7196498667485454
YBR078W	-1.7196498667485454
YBR082C	-1.7196498667485454
YBR093C	-1.7196498667485454
YBR095C	-3.4392997334970907
YBR101C	-3.4392997334970907
YBR103W	-1.7196498667485454
YBR106W	-1.7196498667485454
YBR119W	-1.7196498667485454
YBR120C	-1.7196498667485454
YBR122C	-2.579474800122818
YBR126C	-3.4392997334970907
YBR132C	-1.7196498667485454
YBR147W	-1.7196498667485454
YBR163W	-3.4392997334970907
YBR164C	-3.4392997334970907
YBR171W	-3.4392997334970907
YBR174C	-3.4392997334970907
YBR175W	-3.4392997334970907
YBR176W	0.0
YBR178W	-3.4392997334970907
YBR187W	-3.4392997334970907
YBR191W	-3.4392997334970907
YBR196C-A	-1.7196498667485454
YBR197C	-1.7196498667485454
YBR199W	-1.7196498667485454
YBR204C	0.0
YBR208C	-3.4392997334970907
YBR209W	-1.7196498667485454
YBR213W	-3.4392997334970907
YBR215W	-3.4392997334970907
YBR217W	-3.4392997334970907
YBR218C	-3.4392997334970907
YBR227C	-1.7196498667485454
YBR229C	-1.7196498667485454
YBR238C	-3.4392997334970907
YBR240C	-1.7196498667485454
YBR241C	-1.7196498667485454
YBR246W	-1.7196498667485454
YBR248C	-3.4392997334970907
YBR253W	-3.4392997334970907
YBR260C	-3.4392997334970907
YBR279W	-1.7196498667485454
YBR283C	-3.4392997334970907
YBR288C	-1.7196498667485454
YCL001W-B	-1.7196498667485454
YCL008C	-3.4392997334970907
YCL032W	-3.4392997334970907
YCL033C	-1.7196498667485454
YCL036W	-1.7196498667485454
YCL045C	-1.7196498667485454
YCL046W	-1.7196498667485454
YCL050C	-1.7196498667485454
YCL056C	-1.7196498667485454
YCL063W	-1.7196498667485454
YCR009C	-3.4392997334970907
YCR017C	-1.7196498667485454
YCR020W-B	-1.7196498667485454
YCR024C	-3.4392997334970907
YCR024C-A	-3.4392997334970907
YCR032W	-1.7196498667485454
YCR033W	-1.7196498667485454
YCR044C	-1.7196498667485454
YCR047C	-1.7196498667485454
YCR063W	-1.7196498667485454
YCR068W	-1.7196498667485454
YCR077C	-1.7196498667485454
YCR081W	-1.7196498667485454
YCR084C	-3.4392997334970907
YCR100C	-3.4392997334970907
YCR101C	-3.4392997334970907
YDL006W	-1.7196498667485454
YDL040C	-1.7196498667485454
YDL067C	-1.7196498667485454
YDL069C	-1.7196498667485454
YDL074C	-1.7196498667485454
YDL075W	-3.4392997334970907
YDL077C	-3.4392997334970907
YDL081C	-3.4392997334970907
YDL095W	-1.7196498667485454
YDL099W	-1.7196498667485454
YDL107W	-1.7196498667485454
YDL114W	-3.4392997334970907
YDL115C	-3.4392997334970907
YDL117W	-3.4392997334970907
YDL118W	-1.7196498667485454
YDL119C	-1.7196498667485454
YDL127W	-3.4392997334970907
YDL138W	-3.4392997334970907
YDL142C	-3.4392997334970907
YDL160C	-1.7196498667485454
YDL167C	-1.7196498667485454
YDL170W	-3.4392997334970907
YDL172C	-1.7196498667485454
YDL173W	-3.4392997334970907
YDL175C	-3.4392997334970907
YDL177C	-3.4392997334970907
YDL184C	-3.4392997334970907
YDL185W	-1.7196498667485454
YDL189W	-3.4392997334970907
YDL192W	-3.4392997334970907
YDL226C	-3.4392997334970907
YDL232W	-1.7196498667485454
YDR025W	-3.4392997334970907
YDR027C	-3.4392997334970907
YDR029W	-3.4392997334970907
YDR043C	-3.4392997334970907
YDR057W	-1.7196498667485454
YDR069C	-3.4392997334970907
YDR074W	-3.4392997334970907
YDR079C-A	-1.7196498667485454
YDR092W	-3.4392997334970907
YDR114C	-3.4392997334970907
YDR115W	-3.4392997334970907
YDR123C	-3.4392997334970907
YDR126W	-3.4392997334970907
YDR127W	-3.4392997334970907
YDR129C	-3.4392997334970907
YDR136C	-3.4392997334970907
YDR137W	-3.4392997334970907
YDR138W	-3.4392997334970907
YDR140W	-3.4392997334970907
YDR144C	-1.7196498667485454
YDR148C	-1.7196498667485454
YDR149C	-1.7196498667485454
YDR150W	-1.7196498667485454
YDR162C	-1.7196498667485454
YDR168W	-3.4392997334970907
YDR174W	-3.4392997334970907
YDR195W	-3.4392997334970907
YDR200C	-1.7196498667485454
YDR203W	-1.7196498667485454
YDR207C	-3.4392997334970907
YDR241W	-3.4392997334970907
YDR268W	-1.7196498667485454
YDR271C	-1.7196498667485454
YDR298C	-1.7196498667485454
YDR310C	-1.7196498667485454
YDR315C	-1.7196498667485454
YDR320C	-1.7196498667485454
YDR322W	-1.7196498667485454
YDR334W	-1.7196498667485454
YDR372C	-1.7196498667485454
YDR378C	-1.7196498667485454
YDR392W	-3.4392997334970907
YDR414C	-1.7196498667485454
YDR415C	-1.7196498667485454
YDR417C	-1.7196498667485454
YDR432W	-1.7196498667485454
YDR463W	-3.4392997334970907
YDR469W	-3.4392997334970907
YDR477W	-3.4392997334970907
YDR484W	-2.579474800122818
YDR486C	-1.7196498667485454
YDR497C	-1.7196498667485454
YDR505C	-1.7196498667485454
YDR507C	-1.7196498667485454
YDR518W	-1.7196498667485454
YDR524C-B	-1.7196498667485454
YDR525W	-3.4392997334970907
YDR529C	-1.7196498667485454
YEL017C-A	-1.7196498667485454
YEL027W	-3.4392997334970907
YEL029C	-3.4392997334970907
YEL031W	-3.4392997334970907
YEL036C	-3.4392997334970907
YEL042W	-1.7196498667485454
YEL043W	-1.7196498667485454
YEL044W	-3.4392997334970907
YEL045C	-3.4392997334970907
YEL046C	-3.4392997334970907
YEL050C	-3.4392997334970907
YEL051W	-3.4392997334970907
YEL057C	-1.7196498667485454
YEL062W	-1.7196498667485454
YER014C-A	-3.4392997334970907
YER019W	-1.7196498667485454
YER044C	-1.7196498667485454
YER048C	-1.7196498667485454
YER050C	-3.4392997334970907
YER058W	-1.7196498667485454
YER083C	-3.4392997334970907
YER084W	-1.7196498667485454
YER085C	-1.7196498667485454
YER087W	-3.4392997334970907
YER091C-A	-3.4392997334970907
YER122C	-1.7196498667485454
YER151C	-1.7196498667485454
YER153C	-1.7196498667485454
YER154W	-1.7196498667485454
YER155C	-1.7196498667485454
YER169W	-1.7196498667485454
YER178W	-1.7196498667485454
YFL001W	-3.4392997334970907
YFL018C	-1.7196498667485454
YFL033C	-3.4392997334970907
YFR010W	-3.4392997334970907
YFR033C	-1.7196498667485454
YGL005C	-3.4392997334970907
YGL007C-A	-3.4392997334970907
YGL007W	-3.4392997334970907
YGL012W	-3.4392997334970907
YGL020C	-1.7196498667485454
YGL024W	-3.4392997334970907
YGL025C	-3.4392997334970907
YGL034C	-1.7196498667485454
YGL035C	-1.7196498667485454
YGL062W	-1.7196498667485454
YGL066W	-3.4392997334970907
YGL070C	-1.7196498667485454
YGL084C	-3.4392997334970907
YGL100W	-3.4392997334970907
YGL115W	-3.4392997334970907
YGL124C	-1.7196498667485454
YGL127C	-3.4392997334970907
YGL129C	-1.7196498667485454
YGL133W	-3.4392997334970907
YGL135W	-3.4392997334970907
YGL136C	-3.4392997334970907
YGL143C	-3.4392997334970907
YGL151W	-3.4392997334970907
YGL152C	-3.4392997334970907
YGL153W	-3.4392997334970907
YGL157W	-1.7196498667485454
YGL166W	-3.4392997334970907
YGL167C	-3.4392997334970907
YGL168W	-3.4392997334970907
YGL173C	-3.4392997334970907
YGL174W	-3.4392997334970907
YGL181W	-3.4392997334970907
YGL188C-A	-3.4392997334970907
YGL192W	-1.7196498667485454
YGL195W	-3.4392997334970907
YGL212W	-1.7196498667485454
YGL220W	-1.7196498667485454
YGL240W	-3.4392997334970907
YGL242C	-1.7196498667485454
YGL244W	-3.4392997334970907
YGL252C	-3.4392997334970907
YGL253W	-3.4392997334970907
YGL258W	-1.7196498667485454
YGL262W	-1.7196498667485454
YGR053C	-1.7196498667485454
YGR092W	-3.4392997334970907
YGR129W	-1.7196498667485454
YGR157W	-1.7196498667485454
YGR159C	-3.4392997334970907
YGR167W	-1.7196498667485454
YGR187C	-1.7196498667485454
YGR220C	-1.7196498667485454
YGR222W	-1.7196498667485454
YGR223C	-1.7196498667485454
YGR224W	-1.7196498667485454
YGR236C	-3.4392997334970907
YGR240C	-3.4392997334970907
YHL011C	-3.4392997334970907
YHL023C	-3.4392997334970907
YHL025W	-3.4392997334970907
YHL027W	-1.7196498667485454
YHR010W	-3.4392997334970907
YHR012W	-3.4392997334970907
YHR013C	-3.4392997334970907
YHR021C	-3.4392997334970907
YHR034C	-3.4392997334970907
YHR038W	-3.4392997334970907
YHR041C	-3.4392997334970907
YHR064C	-3.4392997334970907
YHR067W	-1.7196498667485454
YHR098C	-3.4392997334970907
YHR116W	-1.7196498667485454
YHR141C	-1.7196498667485454
YHR147C	-3.4392997334970907
YHR155W	-1.7196498667485454
