Line,Ca44,Cd111,Co59,Cu65,Fe57,K39,Mg25,Mn55,Mo95,Na23,Ni60,P31,S34,Zn66
YBL077W_ko,-0.850648708,-0.809242529,-0.720174443,-0.049759714,0.545442188,-0.373113502,-0.741604885,-0.310245414,-1.107610951,0.743956173,0.335088597,-0.947579594,0.495585736,-0.101356722
YBL084C_ko,-1.170154078,-0.233062103,0.176824442,0.780213863,0.754155381,0.186106397,-0.829620318,-0.298962143,-1.028949195,1.205138297,0.226482222,-0.94897929,0.878393418,0.774373755
YBL092W_ko,-0.215980216,-0.55876302,-0.109614696,0.579450467,0.112854736,-0.821127073,-0.734961678,-1.245945571,-1.014484586,-2.003564736,0.080920971,0.508955729,1.264661723,0.158665189
YBL097W_ko,0.427932714,-0.326608534,-0.581702753,-1.141318921,-2.108402,-0.147760116,0.296982523,0.13077897,-0.151637987,0.301444331,-0.037446611,-0.128486041,-0.170035002,1.268068437
YBL103C_ko,2.029501605,0.243733022,1.204618899,1.040655693,-1.451462362,-1.552934635,0.27619566,1.261359055,1.987321278,-0.422757633,0.316652559,0.378716143,0.817931529,1.13950192
YBL105C_ko,1.670169116,-1.208541494,-0.627489635,-1.840848998,-1.484266792,-1.140918549,0.408824076,0.830537463,0.187020643,0.094477399,-0.580760376,0.689689651,-0.099049175,-2.70084758
YBR011C_ko,-0.005384038,0.090152526,-0.133759031,0.000925136,-0.747145359,-0.998624081,0.486314212,-0.469201925,-0.469868314,0.20855837,-0.229081913,0.312884641,0.968774305,-2.789900343
YBR017C_ko,-0.137154856,-0.755727122,-0.941733992,-3.692092126,-3.740583781,-1.074008864,-0.495623151,1.614002999,0.501491352,0.2881042,0.365879243,-0.218745166,0.350156503,-1.594933669
YBR021W_ko,0.162438116,-0.701440921,0.813106408,0.463547394,-1.42799668,-0.960982899,-0.598196831,-0.047527045,-0.123681845,0.018019236,0.751738276,0.530940695,0.236210175,0.803026265
YBR029C_ko,0.042626818,-0.153399213,-0.701873737,-0.815656518,-2.515871761,-1.596433355,-1.288948313,-1.145693458,0.297524988,-0.530532057,-0.470449895,-0.898096061,-0.36523051,0.637894637
YBR038W_ko,1.603483199,-0.739616079,-2.411907195,0.255683892,-3.934762834,-1.073456678,-0.13467017,5.209276583,-0.200508507,0.492551697,-3.036975104,-0.450619724,3.387581533,-1.46831526
YBR039W_ko,0.67572582,-0.622619929,-0.274065156,-0.947407639,-1.161785889,-1.902074156,-1.052746993,-0.785828944,0.516536492,-0.015802503,0.259186539,-0.639737742,-0.154400826,-0.574629834
YBR049C_ko,0.764256933,-0.791824311,-0.541995689,0.421115102,-2.197862408,-0.84913887,-1.101316232,0.389599367,0.77264521,-0.084312571,0.338104421,-0.529819095,-0.13581499,-0.950010875
YBR055C_ko,0.452447389,-0.325436185,-0.614143988,0.873940096,-2.477084986,-1.218251814,-0.689509994,0.735921339,0.934256834,-0.489205943,0.09935297,-0.427004307,-0.20886436,0.873541309
YBR060C_ko,0.506655383,-0.611248237,-0.264544045,0.199048838,-1.380405206,-1.446445207,-0.358843784,0.251599159,-0.2899672,0.19345051,-0.324556652,-0.358649779,0.436915837,-0.329822657
YBR061C_ko,0.751305847,1.089729604,-0.669613607,0.089300071,-4.040560825,-1.148509157,0.30497652,-1.472743712,0.230682102,-1.501768319,-1.76063747,1.246256528,-0.370704521,1.150860717
YBR070C_ko,0.686644234,0.099565982,0.312651488,1.694112627,-2.664794641,-0.629468916,0.975755617,0.790359762,1.343161308,1.417657432,0.965602997,0.515337368,0.263311726,0.878634418
YBR079C_ko,0.431283783,-0.536368456,-0.212928163,-0.076082928,-3.214601153,-0.603457428,-0.008402664,0.998676123,0.333491154,0.471312074,-2.809130391,0.12071309,-0.235405293,1.552443589
YBR080C_ko,-1.565045069,1.903496038,1.39923716,0.615764534,-0.00214658,1.166818227,1.608684878,-1.008815755,-0.498802976,-0.828787275,-1.769880206,0.663430838,0.712264195,0.539977051
YBR081C_ko,-0.629462647,0.160957436,0.188791375,0.263872859,0.322339134,-0.329120227,-0.385703901,-1.161532178,-0.060538652,-1.085716801,0.829045676,-0.238477238,0.45309959,-0.295883759
YBR082C_ko,-1.036621871,2.008262413,1.659629685,-0.729923185,0.161227941,0.661316241,-0.024177329,-1.475856348,1.65651303,0.09102595,-0.031903085,-0.225320037,0.252315039,-0.26331715
YBR085W_ko,-0.677555946,2.387475728,2.321078129,2.066309682,-0.107415838,0,-0.558383505,-3.106627487,1.756978056,-3.39835999,1.440751832,-0.505713839,-3.40501768,0.14927453
YBR087W_ko,-1.569907591,0.909897705,0.865960806,0.055513664,0.298777537,0.354945625,-0.303088898,-1.121183681,-0.87921493,-0.055754033,0.513945272,-0.94962518,0.235163206,-0.470931039
YBR088C_ko,-0.747820499,0.567464921,-0.294387777,0.551315656,0.26213016,0.812925654,0.122512193,-0.819359082,0.045588646,0.434659747,0.335917442,-0.478339904,0.444157627,-3.25753268
YBR089W_ko,-1.317922639,-0.067085136,-0.136784898,0.062566553,-0.450751989,0.010434672,-1.097533825,-1.716011358,-0.248887037,-0.000239717,-0.820305098,-1.337808843,0.068644456,-0.122836415
YBR091C_ko,0.242044516,-1.775001092,1.472845389,1.086493553,-0.900272112,-1.464927609,-2.055095038,-3.85788847,0.048867572,-4.585304327,1.169063196,-0.870325151,1.361315133,-0.084475738
