Piims Datasets Upload Template,,,,,,,,,,,,,,,,
Tube,Tray,Line, Ca44, Cd111, Co59, Cu65, Fe57, K39, Mg25, Mn55, Mo95, Na23, Ni60, P31, S34, Zn66
7,360,BLANK,28.94866372,0.177667759,0.030717364,0.984954806,9.482099843,941.576159,173.0298112,0.652641078,0.357483153,-25.63566328,0.819811724,1306.150381,378.8568424,8.999299098
19,360,BLANK,10.52252899,0.179288701,0.031081535,0.848420873,9.706117827,973.8810791,174.897624,0.624432646,0.686242587,-21.38083466,0.696734473,1300.817888,466.9044539,5.999882252
6,369,BLANK,13.22371412,0.057314609,0.02546125,0.545932867,5.756907009,58.00732268,164.3709895,0.177937699,0.309249498,135.6816941,0.542182321,815.0101242,192.460751,2.468616927
54,369,BLANK,10.68994686,0.175446992,0.028895179,0.714669868,4.772287727,750.9493856,262.4461839,0.290826291,0.439714893,137.9412953,0.578855128,1633.11463,294.2201386,18.89989616
78,369,BLANK,14.3152109,0.057284289,0.02513263,0.47788796,4.807312874,111.4206517,169.8495455,0.205379965,0.242983158,164.9588634,0.52835261,832.8428929,262.8132793,3.018494093
5,372,BLANK,14.15862272,0.046198539,0.009631728,0.856952066,4.04794707,1983.838524,-7.82184015,0.506532814,0.258517705,134.7098672,0.399185651,514.0716189,142.1717797,2.792645699
17,372,BLANK,14.18533174,0.044039159,0.009330839,0.701084147,4.26296916,1942.663238,-12.78494554,0.491130139,0.201800617,129.3042464,0.348452303,478.2680237,117.7952416,2.853174683
29,372,BLANK,14.16071755,0.043481512,0.009535091,0.692977708,3.543126563,1953.61892,-11.91075352,0.49037228,0.497583078,129.1722678,0.339047917,487.3451908,122.9547236,2.779925757
41,372,BLANK,15.89399218,0.04320979,0.009847042,0.692941322,4.295145351,1957.251025,-11.54579769,0.492303125,0.200968972,130.9724909,0.480699225,489.429535,119.1266019,2.594305596
6,372,BLANK,14.3068316,0.041251624,0.008950095,0.863751505,4.097321336,1924.186016,-14.67163831,0.486178923,0.188342263,127.8675787,0.359376452,476.7631236,106.2415615,5.689071957
18,372,BLANK,14.1235344,0.044417472,0.009040063,0.692835872,3.694428482,1952.408473,-11.66134517,0.495456416,0.14998253,128.9930112,0.329406159,495.255227,93.35199148,2.580836328
30,372,BLANK,14.35134663,0.042405822,0.009052018,0.729880382,3.054035002,1945.639655,-13.27871099,0.487817508,0.161069941,127.9057965,0.356972059,491.2185144,93.49698454,3.926538862
7,372,BLANK,14.35082293,0.045704116,0.009742751,0.700802466,5.696992694,1982.469152,-8.558979649,0.506215693,0.040395325,130.9337615,0.336665309,502.3779551,104.0322738,2.697927272
31,372,BLANK,14.32568502,0.045149034,0.009383496,0.663904181,3.790262992,1978.84641,-9.201795064,0.49952009,0.231870964,131.7464266,0.319516664,523.4812805,99.35974483,2.883437104
43,372,BLANK,16.49509063,0.051304529,0.011735081,0.783034448,3.782335856,2037.644061,-3.650521427,0.518152494,0.417911598,137.0322829,1.032496994,580.1406018,87.46482647,4.139107399
7,384,BLANK,8.915374355,0.062969386,0.016453552,0.056599491,5.716164655,1167.035358,-12.55071936,0.272497566,0.29595452,-33.57637352,0.4425865,490.4180963,18.06509997,2.533833092
19,384,BLANK,8.399323088,0.063397736,0.01663183,0.006801775,4.268490116,1190.386051,-10.8699103,0.262493184,0.221269344,-33.04369912,0.432292516,507.8402939,39.89969614,0.309155226
31,384,BLANK,7.388069985,0.06284857,0.016324021,0.005278464,3.833867424,1185.351088,-11.54290189,0.254145246,1.497489551,-32.27578667,0.443486515,504.5303378,54.97761286,0.186398282
43,384,BLANK,4.70702759,0.066868011,0.022779805,-0.005657078,6.710153207,1180.821361,-11.9399442,0.587274455,0.496900173,-35.85096217,0.522452924,776.6278519,-26.06472443,0.25521956
4,389,BLANK,3.832429564,0.059182462,0.024795824,0.347763417,5.919697345,854.9258742,87.47897601,0.425245131,0.410620766,134.5473043,0.466081855,755.5530279,271.6021475,7.638793777
16,389,BLANK,3.704645234,0.058226912,0.024351175,0.134457492,5.044905687,786.1534828,81.83999423,0.285978871,0.408206123,102.7578022,0.435751222,735.7888331,268.988246,2.558662467
59,393,BLANK,3.717214184,-0.019657713,0.017429305,-0.091183539,4.916433406,896.8376706,-22.47682049,0.127388862,0.376544081,48.47139863,0.469710545,66.25821339,94.17638729,-0.223043846
71,393,BLANK,7.059448395,-0.02099768,0.017965319,0.000394146,4.301546352,941.4293514,-22.94862046,0.138220888,0.454958686,50.79507795,0.436811287,82.87893062,78.54725383,-0.060491372
83,393,BLANK,1.011327867,-0.017437539,0.018377159,-0.051360975,12.1103794,970.8545567,-21.09272278,0.132998343,0.333717368,51.28634192,0.204361289,96.73460952,65.05258838,0.11416544
10,396,BLANK,1.003472273,0.07202992,0.011885145,0.020392836,4.437071834,641.8876673,-33.48151831,-0.303454076,0.325514952,-279.0739608,0.20592145,118.7695496,-151.9162101,1.761240191
22,396,BLANK,0.834838854,0.068890531,0.011373847,0.011203981,7.956230575,633.7941326,-34.88332247,-0.339352568,0.445456026,-282.2530706,0.234757644,118.3361631,-125.0116229,1.451890766
34,396,BLANK,4.272066378,0.070380104,0.011450706,0.062487484,5.787797217,629.7844102,-34.98944876,-0.304981128,0.502674817,-282.3175045,0.26650206,116.5977149,-152.2946592,1.508680624
46,396,BLANK,8.292662633,0.075133581,0.011875007,0.048362896,4.448843485,630.2289507,-36.17304347,-0.333497345,0.486970799,-282.3711604,0.253072652,105.0885608,-51.62494589,1.642255976
7,401,BLANK,8.028168173,0.104258754,0.015691155,0.141694561,4.057976023,-462.8676634,52.08087502,-0.214734827,0.52398165,-126.7572554,0.239368119,-254.1720166,39.88258423,3.176251473
19,401,BLANK,9.276715302,0.103936043,0.015708005,0.155051974,3.38802745,-453.888973,54.15664504,-0.214333022,0.47106371,-123.7164595,0.261474536,-242.4122873,22.43284481,2.442240924
31,401,BLANK,7.91468391,0.101988738,0.015677815,0.122121456,3.429214375,-468.3144365,51.80173085,-0.210788744,0.500994521,-126.8413343,0.273884286,-254.182579,22.28262059,2.333939809
43,401,BLANK,7.801645718,0.107204494,0.016344084,0.151395418,4.069429687,-465.683852,51.61342389,-0.21683404,1.176727222,-127.0205478,0.152350562,-248.5416439,20.85549048,2.304270164
