orf	hap a | growth (colony size) | SGEPH E. purpurea extract [2.1 mg/mL] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEPH E. purpurea extract [0.8 mg/mL], UV [10 W/m2] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEPR E. purpurea extract [4.5 mg/mL] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEPR E. purpurea extract [2.3 mg/mL], UV [10 W/m2] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SG1 E. purpurea extract [5.2 mg/mL] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SG1 E. purpurea extract [4.5 mg/mL], UV [10 W/m2] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SG7a E. pallida extract [1.8 mg/mL] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SG7a E. pallida extract [1.8 mg/mL], UV [10 W/m2] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEPF E. purpurea extract [1.3 mg/mL] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEPF E. purpurea extract [0.8 mg/mL], UV [10 W/m2] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEPLS E. purpurea extract [4.0 mg/mL] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEPLS E. purpurea extract [2.1 mg/mL], UV [10 W/m2] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEARa E. pallida extract [0.6 mg/mL] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEARa E. pallida extract [0.6 mg/mL], UV [10 W/m2] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEARb E. pallida extract [1.3 mg/mL] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEARb E. pallida extract [0.3 mg/mL], UV [10 W/m2] | YPD | Mir-Rashed N~Smith ML, 2010
YAL004W	-24.418	0.0	0.0	0.0	0.0	-105.83	0.0	0.0	-59.33	-65.554	0.0	0.0	0.0	0.0	0.0	0.0
YAL005C	0.0	0.0	0.0	-35.325	0.0	0.0	0.0	0.0	0.0	-58.985	0.0	0.0	0.0	0.0	0.0	0.0
YAL008W	-61.631	0.0	0.0	0.0	0.0	0.0	-38.155	0.0	0.0	-53.989	-45.218	0.0	0.0	0.0	0.0	0.0
YAL010C	0.0	0.0	0.0	0.0	0.0	0.0	-37.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YAL012W	0.0	-47.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YAL013W	0.0	0.0	0.0	0.0	0.0	0.0	-70.791	0.0	0.0	-49.151	-43.224	0.0	0.0	0.0	-38.153	0.0
YAL014C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-38.106	0.0	0.0	-63.736	0.0	0.0	0.0	0.0	0.0
YAL015C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-52.563	0.0	0.0	0.0	0.0
YAL021C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-40.908	0.0
YAL023C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-67.592	0.0	0.0	0.0	0.0	0.0
YAL027W	-26.858	-32.853	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-60.884	0.0	0.0	0.0	0.0	0.0	0.0
YAL030W	-22.687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-59.395	0.0	0.0	0.0	0.0	0.0	0.0
YAL039C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-132.57	0.0	0.0	0.0
YAL042W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-45.893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YAL043C-A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YAL045C	0.0	-33.803	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YAL047C	0.0	-28.841	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-40.994	0.0
YAL058C-A	-23.384	0.0	0.0	0.0	-40.014	-46.716	-85.502	0.0	0.0	0.0	-78.771	-43.633	0.0	0.0	0.0	0.0
