orf	hap a | growth (colony size) | SGEPH E. purpurea extract [2.1 mg/mL] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEPH E. purpurea extract [0.8 mg/mL], UV [10 W/m2] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEPR E. purpurea extract [4.5 mg/mL] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEPR E. purpurea extract [2.3 mg/mL], UV [10 W/m2] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SG1 E. purpurea extract [5.2 mg/mL] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SG1 E. purpurea extract [4.5 mg/mL], UV [10 W/m2] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SG7a E. pallida extract [1.8 mg/mL] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SG7a E. pallida extract [1.8 mg/mL], UV [10 W/m2] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEPF E. purpurea extract [1.3 mg/mL] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEPF E. purpurea extract [0.8 mg/mL], UV [10 W/m2] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEPLS E. purpurea extract [4.0 mg/mL] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEPLS E. purpurea extract [2.1 mg/mL], UV [10 W/m2] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEARa E. pallida extract [0.6 mg/mL] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEARa E. pallida extract [0.6 mg/mL], UV [10 W/m2] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEARb E. pallida extract [1.3 mg/mL] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEARb E. pallida extract [0.3 mg/mL], UV [10 W/m2] | YPD | Mir-Rashed N~Smith ML, 2010
YAL004W	-3.7628287362301536	0.0	0.0	0.0	0.0	-8.748484736858234	0.0	0.0	-4.056515131330999	-4.824526354224755	0.0	0.0	0.0	0.0	0.0	0.0
YAL008W	-9.497374799025334	0.0	0.0	0.0	0.0	0.0	-2.8625245927373952	0.0	0.0	-3.9733861143216322	-3.6224779181222915	0.0	0.0	0.0	0.0	0.0
YAL027W	-4.1388342287521285	-3.7636524916727403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.480832024752417	0.0	0.0	0.0	0.0	0.0	0.0
YAL030W	-3.496080577395917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.37124725888854	0.0	0.0	0.0	0.0	0.0	0.0
YAL056C-A	-3.6034887037433827	0.0	0.0	0.0	-3.4318008676162637	-3.861799234310397	-6.414665908222585	0.0	0.0	0.0	-6.3104561919680435	-4.481087371148256	0.0	0.0	0.0	0.0
YAR014C	-5.4950737122299556	0.0	0.0	0.0	0.0	-4.49261929503954	-3.0014682579385394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YAR018C	-5.0179782184397785	0.0	0.0	0.0	0.0	0.0	-4.11324265027966	-4.386103845763715	0.0	0.0	-4.720084401296989	0.0	0.0	0.0	0.0	0.0
YBL058W	-4.436710711147611	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBL065W	-7.8175240309999054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBL093C	-4.172428162100403	-3.3239697149692433	-4.081575603672314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBL103C	-3.6435548627826093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR001C	-3.5175005624207345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.332665603206862	0.0	0.0	0.0	0.0	0.0
YBR053C	-5.548854825709533	0.0	0.0	0.0	0.0	-3.104997025428821	0.0	0.0	0.0	-5.353830340855387	0.0	-4.421624359485183	0.0	0.0	0.0	0.0
YBR119W	-3.6264496948850935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR168W	-5.224627138715175	-3.7474994766870204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR194W	-6.681802522849515	0.0	0.0	0.0	0.0	0.0	-2.842043156128371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR206W	-5.563802585043398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR219C	-5.584452067009769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR235W	-3.6910178511829246	-3.3969446833799073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR239C	-6.0586196491778495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR240C	-4.4057364881980545	-3.740740413678811	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR242W	-3.9847336170627945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR245C	-5.576747036425302	0.0	0.0	-4.6155086226898945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR259W	-4.3115810144558715	0.0	0.0	0.0	0.0	0.0	0.0	-2.8734927010713647	0.0	-4.159069367696088	0.0	0.0	0.0	-3.6896039659099378	-3.7975844799110026	0.0
YBR269C	-4.544118837495076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YCL023C	-5.805432344172274	0.0	0.0	0.0	0.0	-2.931812904444998	-4.033717658317882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YCL035C	-4.2095664095175325	-6.983028570599697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YCL038C	-4.667399326846543	0.0	0.0	-4.19284335479965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YCR002C	-5.065287106228403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YDL018C	-3.475739296652925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-5.761629197554549	0.0	0.0	0.0
YDL095W	-4.357348896127604	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.5740906240680235	0.0	-5.645303431707546	0.0	0.0	0.0
YDL114W	-3.5435435657962318	0.0	0.0	0.0	0.0	0.0	-3.3218939566826466	0.0	0.0	0.0	0.0	0.0	-4.179084893109885	0.0	0.0	0.0
YDL156W	-4.15686400031978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YDL184C	-3.588078642574449	0.0	0.0	0.0	0.0	0.0	0.0	-2.8187441906338804	0.0	-3.5345318773529932	0.0	0.0	0.0	0.0	0.0	0.0
YDL190C	-4.059472413732121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YDL192W	-8.040507616114372	0.0	0.0	0.0	0.0	-3.6772899464651014	-3.069889760456597	-2.852726024698526	0.0	-3.7824775295997393	0.0	0.0	0.0	0.0	0.0	0.0
YDL197C	-5.7189819010145575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YDL201W	-4.265196730337382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.6324813860498657	0.0	0.0	0.0	0.0
YDL218W	-6.416287168908793	-4.574281811097947	0.0	0.0	0.0	0.0	0.0	0.0	-3.8810723902725908	0.0	0.0	-9.057890678168675	0.0	0.0	0.0	0.0
YDL229W	-6.073721509123405	0.0	0.0	0.0	0.0	0.0	-4.39240538149643	0.0	0.0	0.0	0.0	-3.848355739272281	0.0	0.0	0.0	0.0
YDL231C	-4.594509737517488	0.0	0.0	0.0	0.0	-2.7694579576133855	-4.524897019047845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YDR004W	-3.492690363938751	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YDR061W	-3.998448571503145	0.0	0.0	0.0	0.0	0.0	0.0	-3.8911297648097496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.136161868464703
YDR076W	-3.678843902859467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YDR245W	-5.62575103094251	0.0	0.0	-5.436383422591994	0.0	-4.106984963588688	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-7.988517066363222	0.0	-4.694380063123518
YDR250C	-4.683579891073924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YDR296W	-3.7142870435480138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.613295886438813	0.0	0.0	-5.2583697559888884	0.0	0.0
YDR377W	-4.094145051362221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YDR380W	-4.89716333887534	0.0	0.0	-4.30450181422847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.98873100957756	0.0	0.0	0.0	0.0
